"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"purchases_tax_17","17%","purchase","17.0","percent","Standard Purchases Tax 17%","Standard Purchases Tax 17%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_19_5","19.5% T","purchase","19.5","percent","Purchases Tax Telecommunication Services 19.5%","Purchases Tax Telecommunication Services 19.5%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_17","17% S","purchase","17.0","percent","Purchases Tax Services 17%","Purchases Tax Services 17%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_16","16% S","purchase","16.0","percent","Purchases Tax Services 16%","Purchases Tax Services 16%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_16_punjab","16% S Pun","purchase","16.0","percent","Standard Purchases Service Tax Punjab 16%","Standard Purchases Service Tax Punjab 16%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_16_ict","16% S ICT","purchase","16.0","percent","Standard Purchases Service Tax Islamabad Capital Territory 16%","Standard Purchases Service Tax Islamabad Capital Territory 16%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_16_ajk","16% S AJK","purchase","16.0","percent","Standard Purchases Service Tax Azad Jammu and Kashmir 16%","Standard Purchases Service Tax Azad Jammu and Kashmir 16%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_15","15% S","purchase","15.0","percent","Purchases Tax Services 15%","Purchases Tax Services 15%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_15_kp","15% S KP","purchase","15.0","percent","Standard Purchases Service Tax Khyber Pakhtunkhwa 15%","Standard Purchases Service Tax Khyber Pakhtunkhwa 15%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_15_balochistan","15% S Balo","purchase","15.0","percent","Standard Purchases Service Tax Balochistan 15%","Standard Purchases Service Tax Balochistan 15%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_13","13% S","purchase","13.0","percent","Purchases Tax Services 13%","Purchases Tax Services 13%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_13_sindh","13% S Sindh","purchase","13.0","percent","Standard Purchases Tax Services 13% Sindh","Standard Purchases Tax Services 13% Sindh","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_10","10% S","purchase","10.0","percent","Purchases Tax Services 10%","Purchases Tax Services 10%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_8","8% S","purchase","8.0","percent","Purchases Tax Services 8%","Purchases Tax Services 8%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_5","5% S","purchase","5.0","percent","Purchases Tax Services 5%","Purchases Tax Services 5%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_3","3% S","purchase","3.0","percent","Purchases Tax Services 3%","Purchases Tax Services 3%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_2","2% S","purchase","2.0","percent","Purchases Tax Services 2%","Purchases Tax Services 2%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_1","1% S","purchase","1.0","percent","Purchases Tax Services 1%","Purchases Tax Services 1%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"purchases_tax_services_0","0% S","purchase","0.0","percent","Purchases Tax Services 0%","Purchases Tax Services 0%","tax_group_taxes_purchases","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
