"id","sequence","active","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override"
"account_tax_template_s_irpf195a","1000","True","19.5% Withholding (leases)","Withholding 19,5% (Lease)","sale","19.5% WH lease","Retenciones a cuenta 19,5% (Arrendamientos)","Retencions a compte 19,5% (arrendaments)","-19.5","percent","tax_group_retenciones_19-5","","retencion","","","","","base","","invoice","","","Retención 19,5% (Arrend.)","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_p_irpf19","1000","True","19% Withholding income tax","","purchase","19% WHI","Retenciones IRPF 19%","Retencions IRPF 19%","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf20a","1000","True","20% Withholding (leases)","","purchase","20% WH lease","Retenciones 20% (Arrendamientos)","Retencions 20% (arrendaments)","-20.0","percent","tax_group_retenciones_20","","retencion","","","","","base","+mod115[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod115[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod115[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod115[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf18","1000","True","18% Withholding income tax","","purchase","18% WHI","Retenciones IRPF 18%","Retencions IRPF 18%","-18.0","percent","tax_group_retenciones_18","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf19a","1000","True","19% Withholding (leases)","","purchase","19% WH lease","Retenciones 19% (Arrendamientos)","Retencions 19% (arrendaments)","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","+mod115[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod115[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod115[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod115[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf195a","1000","True","19.5% Withholding (leases)","","purchase","19.5% WH lease","Retenciones 19,5% (Arrendamientos)","Retencions 19,5% (arrendaments)","-19.5","percent","tax_group_retenciones_19-5","","retencion","","","","","base","+mod115[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod115[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod115[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod115[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf7","1000","True","7% Withholding income tax","","purchase","7% WHI","Retenciones IRPF 7%","Retencions IRPF 7%","-7.0","percent","tax_group_retenciones_7","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf9","1000","True","9% Withholding income tax","","purchase","9% WHI","Retenciones IRPF 9%","Retencions IRPF 9%","-9.0","percent","tax_group_retenciones_9","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf24","1000","True","24% Withholding income tax","","purchase","24% WHI","Retenciones IRPF 24%","Retencions IRPF 24%","-24.0","percent","tax_group_retenciones_24","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf24_rdc","1000","True","24% Withholding on capital","","purchase","24% WH RDC","Retenciones IRPF 24% (Rendimientos del capital)","Retencions IRPF 24% (rendiments del capital)","-24.0","percent","tax_group_retenciones_24","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_s_irpf20","1000","True","20% Withholding income tax","Withholding 20%","sale","20% WHI","Retenciones a cuenta IRPF 20%","Retencions a compte IRPF 20%","-20.0","percent","tax_group_retenciones_20","","retencion","","","","","base","","invoice","","","Retención 20%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf20a","1000","True","20% Withholding (leases)","Withholding 20% (Lease)","sale","20% WH lease","Retenciones a cuenta 20% (Arrendamientos)","Retencions a compte 20% (arrendaments)","-20.0","percent","tax_group_retenciones_20","","retencion","","","","","base","","invoice","","","Retención 20% (Arrend.)","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf24","1000","True","24% Withholding income tax","Withholding 24%","sale","24% WHI","Retenciones a cuenta IRPF 24%","Retencions a compte IRPF 24%","-24.0","percent","tax_group_retenciones_24","","retencion","","","","","base","","invoice","","","Retención 24%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf24_rdc","1000","True","24% Withholding on Capital","Retención 24% RC","sale","24% WH RDC","Retención 24% (Rendimientos del capital)","Retenció 24% (rendiments del capital)","-24.0","percent","tax_group_retenciones_24","","retencion","","","","","base","","invoice","","","Retención 24%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf1","1000","True","1% Withholding income tax","Withholding 1%","sale","1% WHI","Retenciones a cuenta IRPF 1%","Retencions a compte IRPF 1%","-1.0","percent","tax_group_retenciones_1","","retencion","","","","","base","","invoice","","","Retención 1%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf2","1000","True","2% Withholding income tax","Withholding 2%","sale","2% WHI","Retenciones a cuenta IRPF 2%","Retencions a compte IRPF 2%","-2.0","percent","tax_group_retenciones_2","","retencion","","","","","base","","invoice","","","Retención 2%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf21","1000","True","21% Withholding income tax","Withholding 21%","sale","21% WHI","Retenciones a cuenta IRPF 21%","Retencions a compte IRPF 21%","-21.0","percent","tax_group_retenciones_21","","retencion","","","","","base","","invoice","","","Retención 21%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf21a","1000","True","21% Withholding (leases)","Withholding 21% (Lease)","sale","21% WH lease","Retenciones a cuenta 21% (Arrendamientos)","Retencions a compte 21% (arrendaments)","-21.0","percent","tax_group_retenciones_21","","retencion","","","","","base","","invoice","","","Retención 21% (Arrend.)","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf7","1000","True","7% Withholding income tax","Withholding 7%","sale","7% WHI","Retenciones a cuenta IRPF 7%","Retencions a compte IRPF 7%","-7.0","percent","tax_group_retenciones_7","","retencion","","","","","base","","invoice","","","Retención 7%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf15","1000","True","15% Withholding income tax","Withholding 15%","sale","15% WHI","Retenciones a cuenta IRPF 15%","Retencions a compte IRPF 15%","-15.0","percent","tax_group_retenciones_15","","retencion","","","","","base","","invoice","","","Retención 15%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_p_irpf1","1000","True","1% Withholding income tax","","purchase","1% WHI","Retenciones IRPF 1%","Retencions IRPF 1%","-1.0","percent","tax_group_retenciones_1","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf15","1000","True","15% Withholding income tax","","purchase","15% WHI","Retenciones IRPF 15%","Retencions IRPF 15%","-15.0","percent","tax_group_retenciones_15","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf21t","1000","True","15% Withholding income tax (workers)","","purchase","15% WHI worker","Retenciones IRPF (Trabajadores)","Retencions IRPF (treballadors)","-15.0","percent","tax_group_retenciones_15","","retencion","","","","","base","+mod111[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf21te","1000","True","15% Withholding income tax (workers) in cash","","purchase","15% WHI worker cash","Retenciones IRPF (Trabajadores) en especie","Retencions IRPF (treballadors) en especie","-15.0","percent","tax_group_retenciones_15","","retencion","","","","","base","+mod111[05]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[06]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[05]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[06]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf15e","1000","True","15% Withholding income tax in cash","","purchase","15% WHI cash","Retenciones IRPF 15% en especie","Retencions IRPF 15% en especie","-15.0","percent","tax_group_retenciones_15","","retencion","","","","","base","+mod111[11]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[12]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[11]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[12]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf7e","1000","True","7% Withholding income tax in cash","","purchase","7% WHI cash","Retenciones IRPF 7% en especie","Retencions IRPF 7% en especie","-7.0","percent","tax_group_retenciones_7","","retencion","","","","","base","+mod111[11]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[12]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[11]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[12]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf20","1000","True","20% Withholding income tax","","purchase","20% WHI","Retenciones IRPF 20%","Retencions IRPF 20%","-20.0","percent","tax_group_retenciones_20","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf21a","1000","True","21% Withholding (leases)","","purchase","21% WH lease","Retenciones 21% (Arrendamientos)","Retencions 21% (arrendaments)","-21.0","percent","tax_group_retenciones_21","","retencion","","","","","base","+mod115[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod115[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod115[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod115[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf21p","1000","True","21% Withholding income tax","","purchase","21% WHI","Retenciones IRPF 21%","Retencions IRPF 21%","-21.0","percent","tax_group_retenciones_21","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf21td","1000","True","15% Withholding income tax (workers)","","purchase","15% WHI monies","Retenciones IRPF (Trabajadores) dinerarios","Retencions IRPF (Treballadors) dineraris","-15.0","percent","tax_group_retenciones_15","","retencion","","","","","base","+mod111[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf2","1000","True","2% Withholding income tax","","purchase","2% WHI","Retenciones IRPF 2%","Retencions IRPF 2%","-2.0","percent","tax_group_retenciones_2","","retencion","","","","","base","+mod111[08]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[09]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[08]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[09]","refund","account_common_4751","","","",""
"account_tax_template_p_rp19","1000","True","19% Withholding (loans)","","purchase","19% WH L","Retenciones 19% (préstamos)","Retencions 19% (préstecs)","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_4751","","","",""
"account_tax_template_p_rrD19","1000","True","19% Withholding (dividend distribution)","","purchase","19% WH DD","Retenciones 19% (reparto de dividendos)","Retencions 19% (repartiment de dividends)","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_4751","","","",""
"account_tax_template_p_irpf19ca","1000","True","19% Withholding Directors and Administrators (Purchase natural person director)","","purchase","19% WH CA NP","Retenciones IRPF 19% Consejeros y administradores (Compra consejero de persona física)","Retencions IRPF 19% consellers i administradors (Compra conseller de persona física)","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","+mod111[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf19cs","1000","True","19% Withholding Directors and Administrators (Purchase company director)","","purchase","19% WH CA S","Retenciones IRPF 19% Consejeros y administradores (Compra consejero de sociedad)","Retencions IRPF 19% consellers i administradors (Compra conseller de societat)","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","+mod111[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[03]","refund","account_common_4751","","","",""
"account_tax_template_p_irpf35cya","1000","True","35% Withholding Directors and Administrators","","purchase","35% WH CA","Retenciones IRPF 35% Consejeros y administradores","Retencions IRPF 35% consellers i administradors","-35.0","percent","tax_group_retenciones_35","","retencion","","","","","base","+mod111[02]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod111[03]","invoice","account_common_4751","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod111[02]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod111[03]","refund","account_common_4751","","","",""
"account_tax_template_s_irpfnrnue24","1000","True","24% Withholding Non-EU residents","","sale","24% WH Not EU","Retenciones a cuenta IRPF No residentes no-UE 24%","Retencions a compte IRPF No residents no-UE 24%","-24.0","percent","tax_group_retenciones_24","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","100","","",""
"account_tax_template_p_irpfnrnue24p","1000","True","24% Withholding Non-EU residents","","purchase","24% WH Not EU","Retenciones IRPF No residentes no-UE 24%","Retencions IRPF No residents no-UE 24%","-24.0","percent","tax_group_retenciones_24","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_4751","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_4751","100","","",""
"account_tax_template_s_irpfnrue19","1000","True","19% Withholding Non-EU residents","","sale","19% WH Not EU","Retenciones a cuenta IRPF No residentes UE 19%","Retencions a compte IRPF No residents UE 19%","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","100","","",""
"account_tax_template_p_irpfnrue19p","1000","True","19% Withholding Non-EU residents","","purchase","19% WH Not EU","Retenciones IRPF No residentes UE 19%","Retencions IRPF No residents UE 19%","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_4751","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_4751","100","","",""
"account_tax_template_s_irpfnrnue0","1000","True","Exempt Withholding Non-EU residents","","sale","Exempt WH Not EU","Retenciones a cuenta IRPF No residentes no-UE exento por convenio","Retencions a compte IRPF No residents no-UE exempt per conveni","0.0","percent","tax_group_retenciones_0","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","100","","",""
"account_tax_template_p_irpfnrnue0p","1000","True","Exempt Withholding Non-EU residents","","purchase","Exempt WH Not EU","Retenciones IRPF No residentes no-UE exento por convenio","Retencions IRPF No residents no-UE exempt per conveni","0.0","percent","tax_group_retenciones_0","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_4751","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_4751","100","","",""
"account_tax_template_s_irpfnrue0","1000","True","Exempt Withholding EU residents","","sale","Exempt WH EU","Retenciones a cuenta IRPF No residentes UE exento por convenio","Retencions a compte IRPF No residents UE exempt per conveni","0.0","percent","tax_group_retenciones_0","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","100","","",""
"account_tax_template_p_irpfnrue0p","1000","True","Exempt Withholding EU residents","","purchase","Exempt WH EU","Retenciones IRPF No residentes UE exento por convenio","Retencions a compte IRPF No residents UE exempt per conveni","0.0","percent","tax_group_retenciones_0","","retencion","","","","","base","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_4751","100","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_4751","100","","",""
"account_tax_template_s_gd0","","True","Deductible Expenses","Deduct. Exp.","none","Deduct. Exp.","Gastos Deducibles","Despeses Deduïbles","0.0","percent","tax_group_retenciones_0","","","","","","","base","","invoice","","","Gastos Deducibles","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
