"id","sequence","name","type_tax_use","amount","amount_type","description","tax_group_id","active","l10n_ee_kmd_inf_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@et","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"l10n_ee_vat_out_0_eu_g","90","0% EU G","sale","0.0","percent","0% EU","tax_group_vat_0","","","base","invoice","3_1_1||3_1_1_G","","","0% EL K","afpt_eu_ic","l10n_ee_vat_out_24_g,l10n_ee_vat_out_22_g,l10n_ee_vat_out_20_g,l10n_ee_vat_out_9_g,l10n_ee_vat_out_0_g,l10n_ee_vat_out_5_g","Exempt intra-community supplies - Article 138 of the Directive 2006/112/EC"
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3_1_1||3_1_1_G","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_0_eu_g_t","100","0% EU G Trian","sale","0.0","percent","0% EU T","tax_group_vat_0","False","","base","invoice","3_1_1_T","","","0% EL K Kolmn.","afpt_eu_ic","","Exempt triangular transaction - Article 141 of the Directive 2006/112/EC"
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3_1_1_T","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_0_eu_s","110","0% EU S","sale","0.0","percent","0% EU","tax_group_vat_0","","","base","invoice","3_1||3_1_S","","","0% EL T","afpt_eu_ic","l10n_ee_vat_out_13_s,l10n_ee_vat_out_0_s,l10n_ee_vat_out_24_s,l10n_ee_vat_out_22_s,l10n_ee_vat_out_9_s,l10n_ee_vat_out_20_s,l10n_ee_vat_out_5_s","VAT Reverse charge - Article 196 of the Directive 2006/112/EC"
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3_1||3_1_S","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_0_exp_g","120","0% EX G","sale","0.0","percent","0%","tax_group_vat_0","False","","base","invoice","3_2","","","0% EX K","afpt_imp_exp","l10n_ee_vat_out_24_g,l10n_ee_vat_out_22_g,l10n_ee_vat_out_20_g,l10n_ee_vat_out_9_g,l10n_ee_vat_out_0_g,l10n_ee_vat_out_5_g",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3_2","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_0_pas","130","0% Passengers","sale","0.0","percent","0%","tax_group_vat_0","False","","base","invoice","3_2_1","","","0% Reisijad","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3_2_1","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_0_exp_s","140","0% EX S","sale","0.0","percent","0%","tax_group_vat_0","False","","base","invoice","3","","","0% EX T","afpt_imp_exp","l10n_ee_vat_out_13_s,l10n_ee_vat_out_0_s,l10n_ee_vat_out_24_s,l10n_ee_vat_out_22_s,l10n_ee_vat_out_9_s,l10n_ee_vat_out_20_s,l10n_ee_vat_out_5_s",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_exempt","150","0% Exempt","sale","0.0","percent","Exempt","tax_group_vat_0","False","","base","invoice","8","","","0% Maksuvaba","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","8","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_0_kms_41_1","160","20% KMS §41¹","sale","20.0","percent","20% Special","tax_group_vat_20","False","2","base","invoice","9","","","20% KMS §41¹","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","","l10n_ee_201204","100","","","",""
"","","","","","","","","","","tax","invoice","","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","9","","","","","",""
"","","","","","","","","","","tax","refund","","l10n_ee_201204","100","","","",""
"","","","","","","","","","","tax","refund","","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_out_0_kms_41_2","161","22% KMS §41¹","sale","22.0","percent","22% Special","tax_group_vat_22","False","2","base","invoice","9","","","22% KMS §41¹","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","","l10n_ee_201204","100","","","",""
"","","","","","","","","","","tax","invoice","","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","9","","","","","",""
"","","","","","","","","","","tax","refund","","l10n_ee_201204","100","","","",""
"","","","","","","","","","","tax","refund","","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_out_0_kms_41_3","162","24% KMS §41¹","sale","24.0","percent","24% Special","tax_group_vat_24","False","2","base","invoice","9","","","24% KMS §41¹","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","","l10n_ee_201204","100","","","",""
"","","","","","","","","","","tax","invoice","","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","9","","","","","",""
"","","","","","","","","","","tax","refund","","l10n_ee_201204","100","","","",""
"","","","","","","","","","","tax","refund","","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_20_g","170","20% G","purchase","20.0","percent","20%","tax_group_vat_20","False","","base","invoice","","","","20% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_22_g","171","22% G","purchase","22.0","percent","22%","tax_group_vat_22","False","","base","invoice","","","","22% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_24_g","172","24% G","purchase","24.0","percent","24%","tax_group_vat_24","","","base","invoice","","","","24% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_20_s","180","20% S","purchase","20.0","percent","20%","tax_group_vat_20","False","","base","invoice","","","","20% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_22_s","181","22% S","purchase","22.0","percent","22%","tax_group_vat_22","False","","base","invoice","","","","22% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_24_s","181","24% S","purchase","24.0","percent","24%","tax_group_vat_24","","","base","invoice","","","","24% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_13_s","185","13% S","purchase","13.0","percent","13%","tax_group_vat_13","","","base","invoice","","","","13% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_9_g","190","9% G","purchase","9.0","percent","9%","tax_group_vat_9","","","base","invoice","","","","9% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_9_s","200","9% S","purchase","9.0","percent","9%","tax_group_vat_9","False","","base","invoice","","","","9% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_5_g","210","5% G","purchase","5.0","percent","5%","tax_group_vat_5","","","base","invoice","","","","5% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_5_s","220","5% S","purchase","5.0","percent","5%","tax_group_vat_5","False","","base","invoice","","","","5% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_0_g","230","0% G","purchase","0.0","percent","0%","tax_group_vat_0","","","base","invoice","","","","0% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_in_0_s","240","0% S","purchase","0.0","percent","0%","tax_group_vat_0","False","","base","invoice","","","","0% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_in_0_eu_g","250","0% EU G 20%","purchase","20.0","percent","0% EU","tax_group_vat_0","False","","base","invoice","1_1_base_rc||6_1","","","0% EL K 20%","afpt_eu_ic","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_1_base_rc||6_1","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_eu_g_22","251","0% EU G 22%","purchase","22.0","percent","0% EU","tax_group_vat_0","False","","base","invoice","1_base_rc||6_1","","","0% EL K 22%","afpt_eu_ic","l10n_ee_vat_in_5_g,l10n_ee_vat_in_0_g,l10n_ee_vat_in_20_g,l10n_ee_vat_in_22_g,l10n_ee_vat_in_24_g,l10n_ee_vat_in_9_g",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_base_rc||6_1","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_eu_g_24","252","0% EU G 24%","purchase","24.0","percent","0% EU","tax_group_vat_0","","","base","invoice","1_base_24_rc||6_1","","","0% EL K 24%","afpt_eu_ic","l10n_ee_vat_in_5_g,l10n_ee_vat_in_0_g,l10n_ee_vat_in_20_g,l10n_ee_vat_in_22_g,l10n_ee_vat_in_24_g,l10n_ee_vat_in_9_g",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_tax_24","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_base_24_rc||6_1","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_tax_24","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_eu_s","260","0% EU S 20%","purchase","20.0","percent","0% EU","tax_group_vat_0","False","","base","invoice","1_1_base_rc||6","","","0% EL T 20%","afpt_eu_ic","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_1_base_rc||6","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_eu_s_22","261","0% EU S 22%","purchase","22.0","percent","0% EU","tax_group_vat_0","False","","base","invoice","1_base_rc||6","","","0% EL T 22%","afpt_eu_ic","l10n_ee_vat_in_5_s,l10n_ee_vat_in_9_s,l10n_ee_vat_in_0_s,l10n_ee_vat_in_22_s,l10n_ee_vat_in_24_s,l10n_ee_vat_in_20_s,l10n_ee_vat_in_13_s",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_base_rc||6","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_eu_s_24","262","0% EU S 24%","purchase","24.0","percent","0% EU","tax_group_vat_0","","","base","invoice","1_base_24_rc||6","","","0% EL T 24%","afpt_eu_ic","l10n_ee_vat_in_5_s,l10n_ee_vat_in_9_s,l10n_ee_vat_in_0_s,l10n_ee_vat_in_22_s,l10n_ee_vat_in_24_s,l10n_ee_vat_in_20_s,l10n_ee_vat_in_13_s",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_tax_24","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_base_24_rc||6","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_tax_24","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_20_car","270","20% Car","purchase","20.0","percent","20%","tax_group_vat_20","False","","base","invoice","","","","20% Auto","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_3_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_3_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_20_car_part","280","20% Car 50%","purchase","20.0","percent","20%","tax_group_vat_20","False","11","base","invoice","","","","20% Auto 50%","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_4_tax","l10n_ee_201201","50","","","",""
"","","","","","","","","","","tax","invoice","","","50","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_4_tax","l10n_ee_201201","50","","","",""
"","","","","","","","","","","tax","refund","","","50","","","",""
"l10n_ee_vat_in_22_car","271","22% Car","purchase","22.0","percent","22%","tax_group_vat_22","False","","base","invoice","","","","22% Auto","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_3_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_3_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_24_car","271","24% Car","purchase","24.0","percent","24%","tax_group_vat_24","","","base","invoice","","","","24% Auto","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_3_tax","l10n_ee_201201","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_3_tax","l10n_ee_201201","","","","",""
"l10n_ee_vat_in_22_car_part","281","22% Car 50%","purchase","22.0","percent","22%","tax_group_vat_22","False","11","base","invoice","","","","22% Auto 50%","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_4_tax","l10n_ee_201201","50","","","",""
"","","","","","","","","","","tax","invoice","","","50","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_4_tax","l10n_ee_201201","50","","","",""
"","","","","","","","","","","tax","refund","","","50","","","",""
"l10n_ee_vat_in_24_car_part","282","24% Car 50%","purchase","24.0","percent","24%","tax_group_vat_24","False","11","base","invoice","","","","24% Auto 50%","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_4_tax","l10n_ee_201201","50","","","",""
"","","","","","","","","","","tax","invoice","","","50","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_4_tax","l10n_ee_201201","50","","","",""
"","","","","","","","","","","tax","refund","","","50","","","",""
"l10n_ee_vat_in_20_assets","290","20% Fixed Assets","purchase","20.0","percent","20%","tax_group_vat_20","False","","base","invoice","","","","20% Põhivara","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_2_tax","l10n_ee_201202","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_2_tax","l10n_ee_201202","","","","",""
"l10n_ee_vat_in_22_assets","291","22% Fixed Assets","purchase","22.0","percent","22%","tax_group_vat_22","False","","base","invoice","","","","22% Põhivara","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_2_tax","l10n_ee_201202","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_2_tax","l10n_ee_201202","","","","",""
"l10n_ee_vat_in_24_assets","292","24% Fixed Assets","purchase","24.0","percent","24%","tax_group_vat_24","False","","base","invoice","","","","24% Põhivara","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_2_tax","l10n_ee_201202","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_2_tax","l10n_ee_201202","","","","",""
"l10n_ee_vat_in_imp_cus","300","EX VAT Customs","purchase","0.0","percent","Import VAT","tax_group_vat_20","","","base","invoice","5_1_tax","","","EX KM Toll","afpt_imp_exp","",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","5_1_tax","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_in_20_imp_kms_38","310","20% EX KMS §38","purchase","20.0","percent","20%","tax_group_vat_20","False","","base","invoice","","","","20% EX KMS §38","afpt_imp_exp","l10n_ee_vat_in_20_s,l10n_ee_vat_in_20_g",""
"","","","","","","","","","","tax","invoice","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","4_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","4_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_22_imp_kms_38","311","22% EX KMS §38","purchase","22.0","percent","22%","tax_group_vat_22","False","","base","invoice","","","","22% EX KMS §38","afpt_imp_exp","l10n_ee_vat_in_22_g,l10n_ee_vat_in_22_s",""
"","","","","","","","","","","tax","invoice","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","4_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","4_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_24_imp_kms_38","311","24% EX KMS §38","purchase","24.0","percent","24%","tax_group_vat_24","False","","base","invoice","","","","24% EX KMS §38","afpt_imp_exp","l10n_ee_vat_in_24_g,l10n_ee_vat_in_24_s",""
"","","","","","","","","","","tax","invoice","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","4_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","4_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_13_imp_kms_38","312","13% EX KMS §38","purchase","13.0","percent","13%","tax_group_vat_13","False","","base","invoice","","","","13% EX KMS §38","afpt_imp_exp","l10n_ee_vat_in_13_s",""
"","","","","","","","","","","tax","invoice","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","4_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","4_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_9_imp_kms_38","330","9% EX KMS §38","purchase","9.0","percent","9%","tax_group_vat_9","False","","base","invoice","","","","9% EX KMS §38","afpt_imp_exp","l10n_ee_vat_in_9_s,l10n_ee_vat_in_9_g",""
"","","","","","","","","","","tax","invoice","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","4_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","4_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_5_imp_kms_38","350","5% EX KMS §38","purchase","5.0","percent","5%","tax_group_vat_5","False","","base","invoice","","","","5% EX KMS §38","afpt_imp_exp","l10n_ee_vat_in_5_s,l10n_ee_vat_in_5_g",""
"","","","","","","","","","","tax","invoice","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","4_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","5_1_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","4_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_imp","360","0% EX","purchase","0.0","percent","0%","tax_group_vat_0","False","","base","invoice","","","","0% Eksport","afpt_imp_exp","l10n_ee_vat_in_0_g,l10n_ee_vat_in_0_s",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
