id,name,type,description
intrastat_category_2014_01051111,01051111,good,Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g
intrastat_category_2014_01051119,01051119,good,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)
intrastat_category_2014_01051191,01051191,good,"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)"
intrastat_category_2014_01051199,01051199,good,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)
intrastat_category_2014_01051200,01051200,good,"Live domestic turkeys, weighing <= 185 g"
intrastat_category_2014_01051300,01051300,good,"Live domestic ducks, weighing <= 185 g"
intrastat_category_2014_01051400,01051400,good,"Live domestic geese, weighing <= 185 g"
intrastat_category_2014_01051500,01051500,good,"Live domestic guinea fowls, weighing <= 185 g"
intrastat_category_2014_01059400,01059400,good,"Live fowls of the species Gallus domesticus, weighing > 185"
intrastat_category_2014_01059910,01059910,good,"Live domestic ducks, weighing > 185 g"
intrastat_category_2014_01059920,01059920,good,"Live domestic geese, weighing > 185 g"
intrastat_category_2014_01059930,01059930,good,"Live domestic turkeys, weighing > 185 g"
intrastat_category_2014_01059950,01059950,good,"Live domestic guinea fowls, weighing > 185 g"
intrastat_category_2014_01061100,01061100,good,Live primates
intrastat_category_2014_01061200,01061200,good,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
intrastat_category_2014_01061300,01061300,good,Live camels and other camelids [Camelidae]
intrastat_category_2014_01061410,01061410,good,Live domestic rabbits
intrastat_category_2014_01061490,01061490,good,Live rabbits and hares (excl. domestic rabbits)
intrastat_category_2014_01061900,01061900,good,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
intrastat_category_2014_01062000,01062000,good,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
intrastat_category_2014_01063100,01063100,good,Live birds of prey
intrastat_category_2014_01063200,01063200,good,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
intrastat_category_2014_01063300,01063300,good,"Live ostriches, and emus [Dromaius novaehollandiae]"
intrastat_category_2014_01063910,01063910,good,Live pigeons
intrastat_category_2014_01063980,01063980,good,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)"
intrastat_category_2014_01064100,01064100,good,Live bees
intrastat_category_2014_01064900,01064900,good,Live insects (excl. bees)
intrastat_category_2014_01069000,01069000,good,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
intrastat_category_2014_02011000,02011000,good,"Carcases or half-carcases of bovine animals, fresh or chilled"
intrastat_category_2014_02012020,02012020,good,"""Compensated"" quarters of bovine animals with bone in, fresh or chilled"
intrastat_category_2014_02012030,02012030,good,"Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled"
intrastat_category_2014_02012050,02012050,good,"Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled"
intrastat_category_2014_02012090,02012090,good,"Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)"
intrastat_category_2014_02013000,02013000,good,"Fresh or chilled bovine meat, boneless"
intrastat_category_2014_02021000,02021000,good,Frozen bovine carcases and half-carcases
intrastat_category_2014_02022010,02022010,good,"Frozen ""compensated"" bovine quarters, with bone in"
intrastat_category_2014_02022030,02022030,good,"Frozen unseparated or separated bovine forequarters, with bone in"
intrastat_category_2014_02022050,02022050,good,"Frozen unseparated or separated bovine hindquarters, with bone in"
intrastat_category_2014_02022090,02022090,good,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)"
intrastat_category_2014_02023010,02023010,good,"Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece"
intrastat_category_2014_02023050,02023050,good,"Frozen bovine boneless crop, chuck and blade and brisket cuts"
intrastat_category_2014_02023090,02023090,good,"Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)"
intrastat_category_2014_02031110,02031110,good,Fresh or chilled domestic swine carcases and half-carcases
intrastat_category_2014_02031190,02031190,good,Fresh or chilled non-domestic swine carcases and half-carcases
intrastat_category_2014_02031211,02031211,good,"Fresh or chilled with bone in, domestic swine hams and cuts thereof"
intrastat_category_2014_02031219,02031219,good,"Fresh or chilled with bone in, domestic swine shoulders and cuts thereof"
intrastat_category_2014_02031290,02031290,good,"Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine"
intrastat_category_2014_02031911,02031911,good,Fresh or chilled fore-ends and cuts thereof of domestic swine
intrastat_category_2014_02031913,02031913,good,Fresh or chilled loins and cuts thereof of domestic swine
intrastat_category_2014_02031915,02031915,good,"Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine"
intrastat_category_2014_02031955,02031955,good,Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)
intrastat_category_2014_02031959,02031959,good,"Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
intrastat_category_2014_02031990,02031990,good,"Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)"
intrastat_category_2014_02032110,02032110,good,Frozen domestic swine carcases and half-carcases
intrastat_category_2014_02032190,02032190,good,Frozen non-domestic swine carcases and half-carcases
intrastat_category_2014_02032211,02032211,good,"Frozen hams and cuts thereof of domestic swine, with bone in"
intrastat_category_2014_02032219,02032219,good,"Frozen shoulders and cuts thereof of domestic swine, with bone in"
intrastat_category_2014_02032290,02032290,good,"Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in"
intrastat_category_2014_02032911,02032911,good,Frozen fore-ends and cuts thereof of domestic swine
intrastat_category_2014_02032913,02032913,good,"Frozen loins and cuts thereof of domestic swine, with bone in"
intrastat_category_2014_02032915,02032915,good,"Frozen bellies ""streaky"" and cuts thereof of domestic swine"
intrastat_category_2014_02032955,02032955,good,Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)
intrastat_category_2014_02032959,02032959,good,"Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
intrastat_category_2014_02032990,02032990,good,"Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in)"
intrastat_category_2014_02041000,02041000,good,Fresh or chilled lamb carcases and half-carcases
intrastat_category_2014_02042100,02042100,good,Fresh or chilled sheep carcases and half-carcases (excl. lambs)
intrastat_category_2014_02042210,02042210,good,Fresh or chilled sheep short forequarters
intrastat_category_2014_02042230,02042230,good,Fresh or chilled sheep chines and/or best ends
intrastat_category_2014_02042250,02042250,good,Fresh or chilled sheep legs
intrastat_category_2014_02042290,02042290,good,"Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
intrastat_category_2014_02042300,02042300,good,Fresh or chilled boneless cuts of sheep
intrastat_category_2014_02043000,02043000,good,Frozen lamb carcases and half-carcases
intrastat_category_2014_02044100,02044100,good,Frozen sheep carcases and half-carcases (excl. lambs)
intrastat_category_2014_02044210,02044210,good,Frozen sheep short forequarters
intrastat_category_2014_02044230,02044230,good,Frozen sheep chines and/or best ends
intrastat_category_2014_02044250,02044250,good,Frozen sheep legs
intrastat_category_2014_02044290,02044290,good,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
intrastat_category_2014_02044310,02044310,good,"Frozen meat of lambs, boneless, frozen"
intrastat_category_2014_02044390,02044390,good,"Frozen meat of sheep, boneless (excl. lamb)"
intrastat_category_2014_02045011,02045011,good,Fresh or chilled goat carcases and half-carcases
intrastat_category_2014_02045013,02045013,good,Fresh or chilled goat short forequarters
intrastat_category_2014_02045015,02045015,good,Fresh or chilled goat chines and/or best ends
intrastat_category_2014_02045019,02045019,good,Fresh or chilled legs of goat
intrastat_category_2014_02045031,02045031,good,"Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
intrastat_category_2014_02045039,02045039,good,Fresh or chilled boneless cuts of goat
intrastat_category_2014_02045051,02045051,good,Frozen goat carcases and half-carcases
intrastat_category_2014_02045053,02045053,good,Frozen goat short forequarters
intrastat_category_2014_02045055,02045055,good,Frozen goat chines and/or best ends
intrastat_category_2014_02045059,02045059,good,Frozen goat legs
intrastat_category_2014_02045071,02045071,good,"Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
intrastat_category_2014_02045079,02045079,good,Frozen boneless cuts of goat
intrastat_category_2014_02050020,02050020,good,"Fresh or chilled meat of horses, asses, mules or hinnies"
intrastat_category_2014_02050080,02050080,good,"Frozen meat of horses, asses, mules or hinnies"
intrastat_category_2014_02061010,02061010,good,Fresh or chilled edible bovine offal for manufacture of pharmaceutical products
intrastat_category_2014_02061095,02061095,good,Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)
intrastat_category_2014_02061098,02061098,good,"Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt)"
intrastat_category_2014_02062100,02062100,good,Frozen edible bovine tongues
intrastat_category_2014_02062200,02062200,good,Frozen edible bovine livers
intrastat_category_2014_02062910,02062910,good,Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)
intrastat_category_2014_02062991,02062991,good,Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)
intrastat_category_2014_02062999,02062999,good,"Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)"
intrastat_category_2014_02063000,02063000,good,Fresh or chilled edible offal of swine
intrastat_category_2014_02064100,02064100,good,Frozen edible livers of swine
intrastat_category_2014_02064900,02064900,good,"Edible offal of swine, frozen (excl. livers)"
intrastat_category_2014_02068010,02068010,good,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products"
intrastat_category_2014_02068091,02068091,good,"Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
intrastat_category_2014_02068099,02068099,good,Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)
intrastat_category_2014_02069010,02069010,good,"Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products"
intrastat_category_2014_02069091,02069091,good,"Frozen edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
intrastat_category_2014_02069099,02069099,good,Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)
intrastat_category_2014_02071110,02071110,good,"Fresh or chilled, plucked and gutted fowls of species Gallus domesticus, with heads and feet, known as ""83% chickens"""
intrastat_category_2014_02071130,02071130,good,"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
intrastat_category_2014_02071190,02071190,good,"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fresh or chilled fowl, not cut in pieces (excl. ""83% and 70% chickens"")"
intrastat_category_2014_02071210,02071210,good,"Frozen fowls of species Gallus domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
intrastat_category_2014_02071290,02071290,good,"Frozen fowls of species Gallus domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fowl, not cut in pieces (excl. ""70% chickens"")"
intrastat_category_2014_02071310,02071310,good,Fresh or chilled boneless cuts of fowls of the species Gallus domesticus
intrastat_category_2014_02071320,02071320,good,Fresh or chilled halves or quarters of fowls of the species Gallus domesticus
intrastat_category_2014_02071330,02071330,good,"Fresh or chilled whole wings, with or without tips, of fowls of the species Gallus domesticus"
intrastat_category_2014_02071340,02071340,good,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
intrastat_category_2014_02071350,02071350,good,"Fresh or chilled breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
intrastat_category_2014_02071360,02071360,good,"Fresh or chilled legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
intrastat_category_2014_02071370,02071370,good,"Fresh or chilled cuts of fowls of the species Gallus domesticus, with bone in (excl. halves and quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and parts thereof)"
intrastat_category_2014_02071391,02071391,good,Fresh or chilled edible livers of fowls of the species Gallus domesticus
intrastat_category_2014_02071399,02071399,good,Fresh or chilled edible offal of fowls of the species Gallus domesticus (excl. livers)
intrastat_category_2014_02071410,02071410,good,Frozen boneless cuts of fowls of the species Gallus domesticus
intrastat_category_2014_02071420,02071420,good,Frozen halves or quarters of fowls of the species Gallus domesticus
intrastat_category_2014_02071430,02071430,good,"Frozen whole wings, with or without tips, of fowls of the species Gallus domesticus"
intrastat_category_2014_02071440,02071440,good,"Frozen backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
intrastat_category_2014_02071450,02071450,good,"Frozen breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
intrastat_category_2014_02071460,02071460,good,"Frozen legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
intrastat_category_2014_02071470,02071470,good,"Frozen cuts of fowls of the species Gallus domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
intrastat_category_2014_02071491,02071491,good,Frozen edible livers of fowls of the species Gallus domesticus
intrastat_category_2014_02071499,02071499,good,Frozen edible offal of fowls of the species Gallus domesticus (excl. livers)
intrastat_category_2014_02072410,02072410,good,"Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
intrastat_category_2014_02072490,02072490,good,"Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of fresh or chilled turkeys, not cut in pieces (excl. ""80% turkeys"")"
intrastat_category_2014_02072510,02072510,good,"Frozen turkeys of the species domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
intrastat_category_2014_02072590,02072590,good,"Frozen turkeys of the species domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of turkeys, not cut in pieces (excl. ""80% turkeys"")"
intrastat_category_2014_02072610,02072610,good,Fresh or chilled boneless cuts of turkeys of the species domesticus
intrastat_category_2014_02072620,02072620,good,Fresh or chilled halves or quarters of turkeys of the species domesticus
intrastat_category_2014_02072630,02072630,good,"Fresh or chilled whole wings, with or without tips, of turkeys of the species domesticus"
intrastat_category_2014_02072640,02072640,good,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus"
intrastat_category_2014_02072650,02072650,good,"Fresh or chilled breasts and cuts thereof of turkeys of the species domesticus, with bone in"
intrastat_category_2014_02072660,02072660,good,"Fresh or chilled drumsticks and cuts thereof of turkeys of the species domesticus, with bone in"
intrastat_category_2014_02072670,02072670,good,"Fresh or chilled legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)"
intrastat_category_2014_02072680,02072680,good,"Fresh or chilled cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
intrastat_category_2014_02072691,02072691,good,Fresh or chilled edible livers of turkeys of the species domesticus
intrastat_category_2014_02072699,02072699,good,Fresh or chilled edible offal of turkeys of the species domesticus (excl. livers)
intrastat_category_2014_02072710,02072710,good,Frozen boneless cuts of turkeys of the species domesticus
intrastat_category_2014_02072720,02072720,good,Frozen halves and quarters of turkeys of the species domesticus
intrastat_category_2014_02072730,02072730,good,"Frozen whole wings, with or without tips, of turkeys of the species domesticus"
intrastat_category_2014_02072740,02072740,good,"Frozen backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus"
intrastat_category_2014_02072750,02072750,good,"Frozen breasts and cuts thereof of turkeys of the species domesticus, with bone in"
intrastat_category_2014_02072760,02072760,good,"Frozen drumsticks and cuts thereof of turkeys of the species domesticus, with bone in"
intrastat_category_2014_02072770,02072770,good,"Frozen legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)"
intrastat_category_2014_02072780,02072780,good,"Frozen cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
intrastat_category_2014_02072791,02072791,good,Frozen edible livers of turkeys of the species domesticus
intrastat_category_2014_02072799,02072799,good,Frozen edible offal of turkeys of the species domesticus (excl. livers)
intrastat_category_2014_02074120,02074120,good,"Fresh or chilled domestic ducks, not cut in pieces, plucked, bled, gutted but not drawn, with heads and feet ""85 % ducks"""
intrastat_category_2014_02074130,02074130,good,"Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzard ""70 % ducks"""
intrastat_category_2014_02074180,02074180,good,"Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented"
intrastat_category_2014_02074230,02074230,good,"Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards ""70 % ducks"""
intrastat_category_2014_02074280,02074280,good,"Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented"
intrastat_category_2014_02074300,02074300,good,"Fatty livers of domestic ducks, fresh or chilled"
intrastat_category_2014_02074410,02074410,good,"Fresh or chilled cuts of domestic ducks, boneless"
intrastat_category_2014_02074421,02074421,good,Fresh or chilled halves or quarters of domestic ducks
intrastat_category_2014_02074431,02074431,good,Fresh or chilled whole wings of domestic ducks
intrastat_category_2014_02074441,02074441,good,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks"
intrastat_category_2014_02074451,02074451,good,"Fresh or chilled breasts and cuts thereof, of domestic ducks, with bone in"
intrastat_category_2014_02074461,02074461,good,"Fresh or chilled legs and cuts thereof, of domestic ducks, with bone in"
intrastat_category_2014_02074471,02074471,good,"Fresh or chilled paletots of domestic ducks, with bone in"
intrastat_category_2014_02074481,02074481,good,"Fresh or chilled cuts of domestic ducks, with bone in, n.e.s."
intrastat_category_2014_02074491,02074491,good,Fresh or chilled livers of domestic ducks (excl. fatty)
intrastat_category_2014_02074499,02074499,good,Fresh or chilled edible offal of domestic ducks (excl. livers)
intrastat_category_2014_02074510,02074510,good,"Frozen cuts of domestic ducks, boneless"
intrastat_category_2014_02074521,02074521,good,Frozen halves or quarters of domestic ducks
intrastat_category_2014_02074531,02074531,good,Frozen whole wings of domestic ducks
intrastat_category_2014_02074541,02074541,good,"Frozen  backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks"
intrastat_category_2014_02074551,02074551,good,"Frozen breasts and cuts thereof, of domestic ducks, with bone in"
intrastat_category_2014_02074561,02074561,good,"Frozen legs and cuts thereof, of domestic ducks, with bone in"
intrastat_category_2014_02074571,02074571,good,"Frozen paletots of domestic ducks, with bone in"
intrastat_category_2014_02074581,02074581,good,"Frozen cuts of domestic ducks, with bone in, n.e.s."
intrastat_category_2014_02074593,02074593,good,Frozen fatty livers of domestic ducks
intrastat_category_2014_02074595,02074595,good,Frozen livers of domestic ducks (excl. fatty)
intrastat_category_2014_02074599,02074599,good,Frozen edible offal of domestic ducks (excl. livers)
intrastat_category_2014_02075110,02075110,good,"Fresh or chilled domestic geese, not cut in pieces, plucked, bled, not drawn, with heads and feet ""82 % geese"""
intrastat_category_2014_02075190,02075190,good,"Fresh or chilled domestic geese, not cut in pieces, plucked and drawn, without heads and feet, with or without hearts and gizzards, ""75 % geese"" or otherwise presented"
intrastat_category_2014_02075210,02075210,good,"Frozen domestic geese, not cut in pieces, plucked, bled, not drawn, with heads and feet ""82 % geese"""
intrastat_category_2014_02075290,02075290,good,"Frozen domestic geese, not cut in pieces, plucked and drawn, without heads and feet, with or without hearts and gizzards, ""75 % geese"" or otherwise presented"
intrastat_category_2014_02075300,02075300,good,"Fatty livers of domestic geese, fresh or chilled"
intrastat_category_2014_02075410,02075410,good,"Fresh or chilled cuts of domestic geese, boneless"
intrastat_category_2014_02075421,02075421,good,Fresh or chilled halves or quarters of domestic geese
intrastat_category_2014_02075431,02075431,good,Fresh or chilled whole wings of domestic geese
intrastat_category_2014_02075441,02075441,good,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic geese"
intrastat_category_2014_02075451,02075451,good,"Fresh or chilled breasts and cuts thereof, of domestic geese, with bone in"
intrastat_category_2014_02075461,02075461,good,"Fresh or chilled legs and cuts thereof, of domestic geese, with bone in"
intrastat_category_2014_02075471,02075471,good,"Fresh or chilled paletots of domestic geese, with bone in"
intrastat_category_2014_02075481,02075481,good,"Fresh or chilled cuts of domestic geese, with bone in, n.e.s."
intrastat_category_2014_02075491,02075491,good,Fresh or chilled livers of domestic geese (excl. fatty)
intrastat_category_2014_02075499,02075499,good,Fresh or chilled edible offal of domestic geese (excl. livers)
intrastat_category_2014_02075510,02075510,good,"Frozen cuts of domestic geese, boneless"
intrastat_category_2014_02075521,02075521,good,Frozen halves or quarters of domestic geese
intrastat_category_2014_02075531,02075531,good,Frozen whole wings of domestic geese
intrastat_category_2014_02075541,02075541,good,"Frozen  backs, necks, backs with necks attached, rumps and wing-tips of domestic geese"
intrastat_category_2014_02075551,02075551,good,"Frozen breasts and cuts thereof, of domestic geese, with bone in"
intrastat_category_2014_02075561,02075561,good,"Frozen legs and cuts thereof, of domestic geese, with bone in"
intrastat_category_2014_02075571,02075571,good,"Frozen paletots of domestic geese, with bone in"
intrastat_category_2014_02075581,02075581,good,"Frozen cuts of domestic geese, with bone in, n.e.s."
intrastat_category_2014_02075593,02075593,good,Frozen fatty livers of domestic geese
intrastat_category_2014_02075595,02075595,good,Frozen livers of domestic geese (excl. fatty)
intrastat_category_2014_02075599,02075599,good,Frozen edible offal of domestic geese (excl. livers)
intrastat_category_2014_02076005,02076005,good,"Fresh, chilled or frozen domestic guinea fowls, not cut in pieces"
intrastat_category_2014_02076010,02076010,good,"Fresh, chilled or frozen cuts of domestic guinea fowls, boneless"
intrastat_category_2014_02076021,02076021,good,"Fresh, chilled or frozen halves or quarters of domestic guinea fowls"
intrastat_category_2014_02076031,02076031,good,"Fresh, chilled or frozen whole wings of domestic guinea fowls"
intrastat_category_2014_02076041,02076041,good,"Fresh, chilled or frozen backs, necks, backs with necks attached, rumps and wing-tips of domestic guinea fowls"
intrastat_category_2014_02076051,02076051,good,"Fresh, chilled or frozen breasts and cuts thereof, of domestic guinea fowls, with bone in"
intrastat_category_2014_02076061,02076061,good,"Fresh, chilled or frozen legs and cuts thereof, of domestic guinea fowls, with bone in"
intrastat_category_2014_02076081,02076081,good,"Fresh, chilled or frozen cuts of domestic guinea fowls, with bone in, n.e.s."
intrastat_category_2014_02076091,02076091,good,"Fresh, chilled or frozen livers of domestic guinea fowls"
intrastat_category_2014_02076099,02076099,good,"Fresh, chilled or frozen edible offal of domestic guinea fowls (excl. livers)"
