"id","name","type_tax_use","amount","amount_type","invoice_label","invoice_label@ka","description","description@ka","tax_group_id","fiscal_position_ids","is_withholding_tax","l10n_ge_wht_category_ids","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent"
"","","","","","","","","","","","","","","","","base","refund","","2(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_i_g","4% WH I G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Interest","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — პროცენტები","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36,l10n_ge_withholding.wht_category_38","False","on_payment","ge_account_331212","base","invoice","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","2(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","2(T)_W_G","-100"
"ge_tax_wh_5_i_g","5% WH I G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Interest","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — პროცენტები","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_30,l10n_ge_withholding.wht_category_2,l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34","False","on_payment","ge_account_331212","base","invoice","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","2(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","2(T)_W_G","-100"
"ge_tax_wh_10_i_g","10% WH I G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Interest","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — პროცენტები","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","False","on_payment","ge_account_331212","base","invoice","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","2(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","2(T)_W_G","-100"
"ge_tax_wh_15_i_g","15% WH I G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Interest","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — პროცენტები","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_31,l10n_ge_withholding.wht_category_32","False","on_payment","ge_account_331212","base","invoice","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","2(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","2(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","2(T)_W_G","-100"
"ge_tax_wh_5_r_d","5% WH R D","purchase","-5","percent","5% Withholding","5% გადახდის წყაროსთან","Deducted Withholding on Payment - Royalties","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — როიალტი","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34","True","on_invoice","","base","invoice","","3(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","3(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_r_g","4% WH R G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Royalties","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — როიალტი","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36,l10n_ge_withholding.wht_category_38","False","on_payment","ge_account_331212","base","invoice","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","3(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","3(T)_W_G","-100"
"ge_tax_wh_5_r_g","5% WH R G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Royalties","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — როიალტი","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34","False","on_payment","ge_account_331212","base","invoice","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","3(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","3(T)_W_G","-100"
"ge_tax_wh_10_r_g","10% WH R G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Royalties","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — როიალტი","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","False","on_payment","ge_account_331212","base","invoice","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","3(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","3(T)_W_G","-100"
"ge_tax_wh_15_r_g","15% WH R G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Royalties","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — როიალტი","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_31,l10n_ge_withholding.wht_category_32","False","on_payment","ge_account_331212","base","invoice","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","3(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","3(T)_W_G","-100"
"ge_tax_wh_20_r_g","20% WH R G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Royalties","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — როიალტი","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","3(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","3(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","3(T)_W_G","-100"
"ge_tax_wh_10_s_d","10% WH S D","purchase","-10","percent","10% Withholding","10% გადახდის წყაროსთან","Deducted Withholding on Payment - Income from services rendered in Georgia","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — საქართველოში გაწეული მომსახურებიდან მიღებული შემოსავალი","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","True","on_invoice","","base","invoice","","4(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","4(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_s_g","4% WH S G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Income from services rendered in Georgia","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოში გაწეული მომსახურებიდან მიღებული შემოსავალი","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36,l10n_ge_withholding.wht_category_38","False","on_payment","ge_account_331212","base","invoice","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","4(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","4(T)_W_G","-100"
"ge_tax_wh_5_s_g","5% WH S G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Income from services rendered in Georgia","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოში გაწეული მომსახურებიდან მიღებული შემოსავალი","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_27","False","on_payment","ge_account_331212","base","invoice","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","4(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","4(T)_W_G","-100"
"ge_tax_wh_10_s_g","10% WH S G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Income from services rendered in Georgia","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოში გაწეული მომსახურებიდან მიღებული შემოსავალი","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","False","on_payment","ge_account_331212","base","invoice","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","4(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","4(T)_W_G","-100"
"ge_tax_wh_15_s_g","15% WH S G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Income from services rendered in Georgia","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოში გაწეული მომსახურებიდან მიღებული შემოსავალი","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_31,l10n_ge_withholding.wht_category_32","False","on_payment","ge_account_331212","base","invoice","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","4(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","4(T)_W_G","-100"
"ge_tax_wh_20_s_g","20% WH S G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Income from services rendered in Georgia","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოში გაწეული მომსახურებიდან მიღებული შემოსავალი","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_26,l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","4(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","4(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","4(T)_W_G","-100"
"ge_tax_wh_10_oi_d","10% WH OI D","purchase","-10","percent","10% Withholding","10% გადახდის წყაროსთან","Deducted Withholding on Payment - Other Georgian-source income","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — საქართველოს წყაროდან მიღებული სხვა შემოსავალი","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","True","on_invoice","","base","invoice","","5(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","5(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_3_oi_g","3% WH OI G","purchase","3","division","3% Withholding","3% გადახდის წყაროსთან","Gross Withholding on Payment - Other Georgian-source income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოს წყაროდან მიღებული სხვა შემოსავალი","ge_tax_group_wh_3","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_35,l10n_ge_withholding.wht_category_40","False","on_payment","ge_account_331212","base","invoice","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","5(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","5(T)_W_G","-100"
"ge_tax_wh_4_oi_g","4% WH OI G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Other Georgian-source income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოს წყაროდან მიღებული სხვა შემოსავალი","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36,l10n_ge_withholding.wht_category_38","False","on_payment","ge_account_331212","base","invoice","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","5(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","5(T)_W_G","-100"
"ge_tax_wh_5_oi_g","5% WH OI G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Other Georgian-source income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოს წყაროდან მიღებული სხვა შემოსავალი","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_27,l10n_ge_withholding.wht_category_41","False","on_payment","ge_account_331212","base","invoice","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","5(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","5(T)_W_G","-100"
"ge_tax_wh_10_oi_g","10% WH OI G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Other Georgian-source income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოს წყაროდან მიღებული სხვა შემოსავალი","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","False","on_payment","ge_account_331212","base","invoice","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","5(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","5(T)_W_G","-100"
"ge_tax_wh_15_oi_g","15% WH OI G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Other Georgian-source income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოს წყაროდან მიღებული სხვა შემოსავალი","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_31,l10n_ge_withholding.wht_category_32","False","on_payment","ge_account_331212","base","invoice","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","5(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","5(T)_W_G","-100"
"ge_tax_wh_20_oi_g","20% WH OI G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Other Georgian-source income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — საქართველოს წყაროდან მიღებული სხვა შემოსავალი","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_26,l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","5(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","5(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","5(T)_W_G","-100"
"ge_tax_wh_10_p_d","10% WH P D","purchase","-10","percent","10% Withholding","10% გადახდის წყაროსთან","Deducted Withholding on Payment - Profit","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — მოგება","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","True","on_invoice","","base","invoice","","6(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","6(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_p_g","4% WH P G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Profit","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — მოგება","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36,l10n_ge_withholding.wht_category_38","False","on_payment","ge_account_331212","base","invoice","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","6(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","6(T)_W_G","-100"
"ge_tax_wh_10_p_g","10% WH P G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Profit","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — მოგება","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","False","on_payment","ge_account_331212","base","invoice","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","6(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","6(T)_W_G","-100"
"ge_tax_wh_15_p_g","15% WH P G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Profit","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — მოგება","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_31,l10n_ge_withholding.wht_category_32","False","on_payment","ge_account_331212","base","invoice","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","6(T)_W_G","-100"
