"id","name","description","invoice_label","amount","type_tax_use","tax_group_id","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id","fiscal_position_ids"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6","6%","Tax 6%","6%","6","sale","account_tax_group_us_6","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6_1","6.1%","Tax 6.1%","6.1%","6.1","sale","account_tax_group_us_6_1","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6_25","6.25%","Tax 6.25%","6.25%","6.25","sale","account_tax_group_us_6_25","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6_35","6.35%","Tax 6.35%","6.35%","6.35","sale","account_tax_group_us_6_35","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6_5","6.5%","Tax 6.5%","6.5%","6.5","sale","account_tax_group_us_6_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6_625","6.625%","Tax 6.625%","6.625%","6.625","sale","account_tax_group_us_6_625","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6_85","6.85%","Tax 6.85%","6.85%","6.85","sale","account_tax_group_us_6_85","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_6_875","6.875%","Tax 6.875%","6.875%","6.875","sale","account_tax_group_us_6_875","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_7","7%","Tax 7%","7%","7","sale","account_tax_group_us_7","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_7_25","7.25%","Tax 7.25%","7.25%","7.25","sale","account_tax_group_us_7_25","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_purchase_0","0%","Tax 0%","0%","0","purchase","account_tax_group_us_0","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_2_9","2.9%","Tax 2.9%","2.9%","2.9","purchase","account_tax_group_us_2_9","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_4","4%","Tax 4%","4%","4","purchase","account_tax_group_us_4","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_4_2","4.2%","Tax 4.2%","4.2%","4.2","purchase","account_tax_group_us_4_2","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_4_225","4.225%","Tax 4.225%","4.225%","4.225","purchase","account_tax_group_us_4_225","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_4_5","4.5%","Tax 4.5%","4.5%","4.5","purchase","account_tax_group_us_4_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_4_75","4.75%","Tax 4.75%","4.75%","4.75","purchase","account_tax_group_us_4_75","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_4_875","4.875%","Tax 4.875%","4.875%","4.875","purchase","account_tax_group_us_4_875","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_5","5%","Tax 5%","5%","5","purchase","account_tax_group_us_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_5_3","5.3%","Tax 5.3%","5.3%","5.3","purchase","account_tax_group_us_5_3","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_5_5","5.5%","Tax 5.5%","5.5%","5.5","purchase","account_tax_group_us_5_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_5_6","5.6%","Tax 5.6%","5.6%","5.6","purchase","account_tax_group_us_5_6","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_5_75","5.75%","Tax 5.75%","5.75%","5.75","purchase","account_tax_group_us_5_75","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6","6%","Tax 6%","6%","6","purchase","account_tax_group_us_6","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6_1","6.1%","Tax 6.1%","6.1%","6.1","purchase","account_tax_group_us_6_1","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6_25","6.25%","Tax 6.25%","6.25%","6.25","purchase","account_tax_group_us_6_25","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6_35","6.35%","Tax 6.35%","6.35%","6.35","purchase","account_tax_group_us_6_35","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6_5","6.5%","Tax 6.5%","6.5%","6.5","purchase","account_tax_group_us_6_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6_625","6.625%","Tax 6.625%","6.625%","6.625","purchase","account_tax_group_us_6_625","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6_85","6.85%","Tax 6.85%","6.85%","6.85","purchase","account_tax_group_us_6_85","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_6_875","6.875%","Tax 6.875%","6.875%","6.875","purchase","account_tax_group_us_6_875","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_7","7%","Tax 7%","7%","7","purchase","account_tax_group_us_7","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
"account_tax_us_purchase_7_25","7.25%","Tax 7.25%","7.25%","7.25","purchase","account_tax_group_us_7_25","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_paid",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_paid",""
