"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@ar_001","fiscal_position_ids","original_tax_ids","active","include_base_amount","price_include_override"
"jo_standard_purchase_import_16_b","16% EX ONLY B","purchase","0.0","percent","Imports - Only Base","16% Import","jo_tax_group_16","base","invoice","3a_b","","المستوردات - الأساسية فقط","account_fiscal_position_non_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","3a_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_standard_purchase_import_16_t","16% EX ONLY","purchase","100.0","division","Imports - Only Tax","16% Import","jo_tax_group_16","base","invoice","","","المستوردات - الضريبة فقط","account_fiscal_position_non_jordan","","True","True","tax_included"
"","","","","","","","","tax","invoice","3a_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","3a_t","jo_account_200901","","","","","",""
"jo_standard_purchase_import_10_b","10% EX ONLY B","purchase","0.0","percent","Imports - Only Base","10% Import","jo_tax_group_10","base","invoice","3b_b","","المستوردات - الأساسية فقط","account_fiscal_position_non_jordan","","False","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","3b_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_standard_purchase_import_10_t","10% EX ONLY","purchase","100.0","division","Imports - Only Tax","10% Import","jo_tax_group_10","base","invoice","","","المستوردات - الضريبة فقط","account_fiscal_position_non_jordan","","False","True","tax_included"
"","","","","","","","","tax","invoice","3b_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","3b_t","jo_account_200901","","","","","",""
"jo_standard_purchase_import_4_b","4% EX ONLY B","purchase","0.0","percent","Imports - Only Base","4% Import","jo_tax_group_4","base","invoice","3c_b","","المستوردات - الأساسية فقط","account_fiscal_position_non_jordan","","False","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","3c_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_standard_purchase_import_4_t","4% EX ONLY","purchase","100.0","division","Imports - Only Tax","4% Import","jo_tax_group_4","base","invoice","","","المستوردات - الضريبة فقط","account_fiscal_position_non_jordan","","False","True","tax_included"
"","","","","","","","","tax","invoice","3c_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","3c_t","jo_account_200901","","","","","",""
"jo_standard_purchase_import_other_b","16% EX O ONLY B","purchase","0.0","percent","Imports Others - Only Base","16% Import Others","jo_tax_group_16","base","invoice","3d_b","","المستوردات الأخرى - الأساسية فقط","account_fiscal_position_non_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","3d_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_standard_purchase_import_other_t","16% EX O ONLY","purchase","100.0","division","Imports Others - Only Tax","16% Import Others","jo_tax_group_16","base","invoice","","","المستوردات الأخرى - الضريبة فقط","account_fiscal_position_non_jordan","","True","True","tax_included"
"","","","","","","","","tax","invoice","3d_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","3d_t","jo_account_200901","","","","","",""
"jo_standard_purchase_import_0","0% EX","purchase","0.0","percent","Imports","0% Import","jo_tax_group_0","base","invoice","3e_b","","المستوردات","account_fiscal_position_non_jordan","","False","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","3e_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_standard_purchase_import_deferred","0% EX P","purchase","0.0","percent","Imports Deferred Payment","0% Import Deferred","jo_tax_group_0","base","invoice","4_b","","الواردات المؤجلة","account_fiscal_position_non_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","4_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"eg_zero_purchase_exempted","0% EXT","purchase","0.0","percent","Exempt purchases and imports","Exempt","jo_tax_group_exempt","base","invoice","5_b","","المشتريات والمستوردات المعفاة","account_fiscal_position_jordan,account_fiscal_position_non_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","5_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_standard_purchase_ta_16","16% TA","purchase","16.0","percent","Taxable Assets and Expenses","16%","jo_tax_group_16","base","invoice","2f_b","","النفقات والأصول الخاضعة للضريبة","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","2f_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","2f_b","","","","","","",""
"","","","","","","","","tax","refund","2f_t","jo_account_200901","","","","","",""
"jo_standard_purchase_ex_ts_16_b","16% EX TS ONLY B","purchase","0.0","percent","Imports Taxable Services - Only Base","16% Import Services","jo_tax_group_16","base","invoice","3f_b","","خدمات المستوردات الخاضعة للضريبة - الأساسية فقط","account_fiscal_position_non_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","3f_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_standard_purchase_ex_ts_16_t","16% EX TS ONLY","purchase","100.0","division","Imports Taxable Services - Only Tax","16% Import Services","jo_tax_group_16","base","invoice","","","خدمات المستوردات الخاضعة للضريبة - الضريبة فقط","account_fiscal_position_non_jordan","","True","True","tax_included"
"","","","","","","","","tax","invoice","3f_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","3f_t","jo_account_200901","","","","","",""
"jo_standard_sale_16","16%","sale","16.0","percent","","16%","jo_tax_group_16","base","invoice","6a_b","","","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","6a_t","jo_account_200902","","","","","",""
"","","","","","","","","base","refund","6a_b","","","","","","",""
"","","","","","","","","tax","refund","6a_t","jo_account_200902","","","","","",""
"jo_standard_sale_10","10%","sale","10.0","percent","","10%","jo_tax_group_10","base","invoice","6b_b","","","account_fiscal_position_jordan","","False","False",""
"","","","","","","","","tax","invoice","6b_t","jo_account_200902","","","","","",""
"","","","","","","","","base","refund","6b_b","","","","","","",""
"","","","","","","","","tax","refund","6b_t","jo_account_200902","","","","","",""
"jo_standard_sale_4","4%","sale","4.0","percent","","4%","jo_tax_group_4","base","invoice","6c_b","","","account_fiscal_position_jordan","","False","False",""
"","","","","","","","","tax","invoice","6c_t","jo_account_200902","","","","","",""
"","","","","","","","","base","refund","6c_b","","","","","","",""
"","","","","","","","","tax","refund","6c_t","jo_account_200902","","","","","",""
"jo_standard_sale_other","16% O","sale","16.0","percent","Others","16%","jo_tax_group_16","base","invoice","6d_b","","أخرى","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","6d_t","jo_account_200902","","","","","",""
"","","","","","","","","base","refund","6d_b","","","","","","",""
"","","","","","","","","tax","refund","6d_t","jo_account_200902","","","","","",""
"jo_zero_sale_0_e","0% E","sale","0.0","percent","Domestic zero-rated entities","0%","jo_tax_group_0","base","invoice","7a_b","","الكيانات المحلية المعفاة من الضريبة","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","7a_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_zero_sale_0_gs","0%","sale","0.0","percent","Domestic zero-rated goods & services","0%","jo_tax_group_0","base","invoice","7b_b","","السلع والخدمات المحلية المعفاة من الضريبة","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","7b_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_zero_sale_export","0% EX","sale","0.0","percent","Zero-rated exports","0% Export","jo_tax_group_0","base","invoice","8_b","","الصادرات المعفاة من الضريبة","account_fiscal_position_non_jordan","jo_standard_sale_16","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","8_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_zero_sale_no_tax","0% ONLY B","sale","0.0","percent","Non-taxable","0%","jo_tax_group_0","base","invoice","9_b","","غير خاضعة للضريبة","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","9_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_zero_sale_exempted","0% EXT D","sale","0.0","percent","Exempt domestic","Exempt","jo_tax_group_exempt","base","invoice","10_b","","المحلية المعفاة من الضريبة","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","10_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
"jo_zero_sale_non_deductible","0% ONLY","sale","100.0","division","Non-deductible","0%","jo_tax_group_0","base","invoice","","","الضريبة غير القابلة للخصم (للمبيعات المعفاة)","account_fiscal_position_jordan","","True","True","tax_included"
"","","","","","","","","tax","invoice","11_t","jo_account_200902","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","11_t","jo_account_200901","","","","","",""
