"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","repartition_line_ids/use_in_tax_closing","include_base_amount","is_base_affected","fiscal_position_ids","original_tax_ids","description@ja_JP","invoice_label@ja_JP"
"l10n_jp_tax_purchase_10","10","6","General Taxpayer & Simplified Taxpayer: Standard Rate","10","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_9B","1","","False","False","l10n_jp_domestic_fiscal_position","","標準課税・簡易課税共用：１０％","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_10B","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_9B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_10B","","True","","","","","",""
"l10n_jp_tax_purchase_8","8","7","General Taxpayer & Simplified Taxpayer: Reduced Rate","8","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_9A","1","","False","False","l10n_jp_domestic_fiscal_position","","標準課税・簡易課税共用：８％","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_10A","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_9A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_10A","","True","","","","","",""
"l10n_jp_tax_purchase_10_nqi_80","10% NQI 80%","8","General Taxpayer: Standard Rate - Non-qualified Invoice (80%)","10% NQI","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_11B_80","1","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_10","標準課税：１０％（二割特例）","10"
"","","","","","","","","","","80","tax","invoice","l10n_jp_123200","S2_3_12B_80","","True","","","","","",""
"","","","","","","","","","","20","tax","invoice","l10n_jp_512700","S2_3_12B_80","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11B_80","","","","","","","",""
"","","","","","","","","","","80","tax","refund","l10n_jp_123200","S2_3_12B_80","","True","","","","","",""
"","","","","","","","","","","20","tax","refund","l10n_jp_512700","S2_3_12B_80","","False","","","","","",""
"l10n_jp_tax_purchase_8_nqi_80","8% NQI 80%","9","General Taxpayer: Reduced Rate - Non-qualified Invoice (80%)","8% NQI","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_11A_80","1","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_8","標準課税：８％（二割特例）","8"
"","","","","","","","","","","80","tax","invoice","l10n_jp_123200","S2_3_12A_80","","True","","","","","",""
"","","","","","","","","","","20","tax","invoice","l10n_jp_512700","S2_3_12A_80","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11A_80","","","","","","","",""
"","","","","","","","","","","80","tax","refund","l10n_jp_123200","S2_3_12A_80","","True","","","","","",""
"","","","","","","","","","","20","tax","refund","l10n_jp_512700","S2_3_12A_80","","False","","","","","",""
"l10n_jp_tax_purchase_10_nqi_50","10% NQI 50%","10","General Taxpayer: Standard Rate - Non-qualified Invoice (50%)","10% NQI","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_11B_50","1","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_10","標準課税：１０％（経過措置５割）","10"
"","","","","","","","","","","50","tax","invoice","l10n_jp_123200","S2_3_12B_50","","True","","","","","",""
"","","","","","","","","","","50","tax","invoice","l10n_jp_512700","S2_3_12B_50","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11B_50","","","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_123200","S2_3_12B_50","","True","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_512700","S2_3_12B_50","","False","","","","","",""
"l10n_jp_tax_purchase_8_nqi_50","8% NQI 50%","11","General Taxpayer: Reduced Rate - Non-qualified Invoice (50%)","8% NQI","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_11A_50","1","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_8","標準課税：８％（経過措置５割）","8"
"","","","","","","","","","","50","tax","invoice","l10n_jp_123200","S2_3_12A_50","","True","","","","","",""
"","","","","","","","","","","50","tax","invoice","l10n_jp_512700","S2_3_12A_50","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11A_50","","","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_123200","S2_3_12A_50","","True","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_512700","S2_3_12A_50","","False","","","","","",""
"l10n_jp_tax_purchase_10_sp","10% SP","12","General Taxpayer: Specific Tax Purchases","10% Reverse Charge","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_13B","1","","False","False","l10n_jp_overseas_fiscal_position","","標準課税：１０％（特定課税仕入れ）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","","","True","","","","","",""
"","","","","","","","","","","-100","tax","invoice","l10n_jp_514600","","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_13B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","","","True","","","","","",""
"","","","","","","","","","","-100","tax","refund","l10n_jp_514600","","","True","","","","","",""
"l10n_jp_tax_purchase_8_ex","8% EX","13","General Taxpayer: Reduced Rate - Import","8% Import","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","","0","","False","False","l10n_jp_overseas_fiscal_position","","標準課税：８％（輸入）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_15A","","True","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_15A","","True","","","","","",""
"l10n_jp_tax_purchase_10_ex","10% EX","14","General Taxpayer: Standard Rate - Import","10% Import","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","","0","","False","False","l10n_jp_overseas_fiscal_position","","標準課税：１０％（輸入）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_15B","","True","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_15B","","True","","","","","",""
"l10n_jp_tax_purchase_0","0","15","General Taxpayer: Tax-free (Zero-rate)","0","purchase","","percent","0","l10n_jp_tax_group_0","","base","invoice","","","1","","False","False","l10n_jp_domestic_fiscal_position,l10n_jp_overseas_fiscal_position","","標準課税：免税","0"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","","","True","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","","","True","","","","","",""
"l10n_jp_tax_purchase_0_exempt","0% EXEMPT","16","General Taxpayer: Tax-exempt","Tax-exempt","purchase","","percent","0","l10n_jp_tax_group_exempt","","base","invoice","","","1","","False","False","l10n_jp_domestic_fiscal_position,l10n_jp_overseas_fiscal_position","","標準課税：非課税","0"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","","","True","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","","","True","","","","","",""
"l10n_jp_tax_sale_10_type_1","10% Type 1","17","Simplified Taxpayer: Standard Rate","10","sale","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S4_3_1_1B||S5_3_7B","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：１０％（第一種）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_B1","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1B||S5_3_7B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_B1","","True","","","","","",""
"l10n_jp_tax_sale_8_type_1","8% Type 1","18","Simplified Taxpayer: Reduced Rate","8","sale","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S4_3_1_1A||S5_3_7A","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：８％（第一種）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_A1","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1A||S5_3_7A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_A1","","True","","","","","",""
"l10n_jp_tax_sale_10_type_2","10% Type 2","19","Simplified Taxpayer: Standard Rate","10","sale","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S4_3_1_1B||S5_3_8B","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：１０％（第二種）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_B2","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1B||S5_3_8B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_B2","","True","","","","","",""
"l10n_jp_tax_sale_8_type_2","8% Type 2","20","Simplified Taxpayer: Reduced Rate","8","sale","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S4_3_1_1A||S5_3_8A","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：８％（第二種）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_A2","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1A||S5_3_8A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_A2","","True","","","","","",""
"l10n_jp_tax_sale_10_type_3","10% Type 3","21","Simplified Taxpayer: Standard Rate","10","sale","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S4_3_1_1B||S5_3_9B","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：１０％（第三種）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_B3","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1B||S5_3_9B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_B3","","True","","","","","",""
"l10n_jp_tax_sale_8_type_3","8% Type 3","22","Simplified Taxpayer: Reduced Rate","8","sale","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S4_3_1_1A||S5_3_9A","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：８％（第三種）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_A3","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1A||S5_3_9A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_A3","","True","","","","","",""
"l10n_jp_tax_sale_10_type_4","10% Type 4","23","Simplified Taxpayer: Standard Rate","10","sale","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S4_3_1_1B||S5_3_10B","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：１０％（第四種）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_B4","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1B||S5_3_10B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_B4","","True","","","","","",""
"l10n_jp_tax_sale_8_type_4","8% Type 4","24","Simplified Taxpayer: Reduced Rate","8","sale","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S4_3_1_1A||S5_3_10A","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：８％（第四種）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_A4","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1A||S5_3_10A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_A4","","True","","","","","",""
"l10n_jp_tax_sale_10_type_5","10% Type 5","25","Simplified Taxpayer: Standard Rate","10","sale","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S4_3_1_1B||S5_3_11B","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：１０％（第五種）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_B5","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1B||S5_3_11B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_B5","","True","","","","","",""
"l10n_jp_tax_sale_8_type_5","8% Type 5","26","Simplified Taxpayer: Reduced Rate","8","sale","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S4_3_1_1A||S5_3_11A","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：８％（第五種）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_A5","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1A||S5_3_11A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_A5","","True","","","","","",""
"l10n_jp_tax_sale_10_type_6","10% Type 6","27","Simplified Taxpayer: Standard Rate","10","sale","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S4_3_1_1B||S5_3_12B","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：１０％（第六種）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_B6","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1B||S5_3_12B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_B6","","True","","","","","",""
"l10n_jp_tax_sale_8_type_6","8% Type 6","28","Simplified Taxpayer: Reduced Rate","8","sale","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S4_3_1_1A||S5_3_12A","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：８％（第六種）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S5_3_A6","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S4_3_1_1A||S5_3_12A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","S5_3_A6","","True","","","","","",""
"l10n_jp_tax_sale_0_st","0% ST","29","Simplified Taxpayer: Tax-free (Zero-rate)","0% Export","sale","","percent","0","l10n_jp_tax_group_0","","base","invoice","","F3_1_15S","0","","False","False","l10n_jp_overseas_fiscal_position","l10n_jp_tax_sale_10_type_1,l10n_jp_tax_sale_8_type_1,l10n_jp_tax_sale_10_type_2,l10n_jp_tax_sale_8_type_2,l10n_jp_tax_sale_10_type_3,l10n_jp_tax_sale_8_type_3,l10n_jp_tax_sale_10_type_4,l10n_jp_tax_sale_8_type_4,l10n_jp_tax_sale_10_type_5,l10n_jp_tax_sale_8_type_5,l10n_jp_tax_sale_10_type_6,l10n_jp_tax_sale_8_type_6","簡易課税：免税","0"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","","","True","","","","","",""
"","","","","","","","","","","","base","refund","","F3_1_15S","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","","","True","","","","","",""
"l10n_jp_tax_sale_0_exempt_st","0% EXEMPT ST","30","Simplified Taxpayer: Tax-exempt","Tax-exempt","sale","","percent","0","l10n_jp_tax_group_exempt","","base","invoice","","","0","","False","False","l10n_jp_domestic_fiscal_position","","簡易課税：非課税","0"
"","","","","","","","","","","100","tax","invoice","l10n_jp_330800","","","True","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_330800","","","True","","","","","",""
"l10n_jp_tax_purchase_10_taxable","10% Taxable","31","General Taxpayer: Standard Rate - Itemized Method. Taxable Purpose Only","10","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_9B","0","","False","False","l10n_jp_domestic_fiscal_position","","標準課税・個別対応方式：１０％（課税売上専用）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_10B||S2_3_19B","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_9B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_10B||S2_3_19B","","True","","","","","",""
"l10n_jp_tax_purchase_8_taxable","8% Taxable","32","General Taxpayer: Reduced Rate - Itemized Method. Taxable Purpose Only","8","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_9A","0","","False","False","l10n_jp_domestic_fiscal_position","","標準課税・個別対応方式：８％（課税売上専用）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_10A||S2_3_19A","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_9A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_10A||S2_3_19A","","True","","","","","",""
"l10n_jp_tax_purchase_10_taxable_non_taxable","10% Taxable + Non Taxable","33","General Taxpayer: Standard Rate - Itemized Method. Both Taxable and Non-Taxable Purpose Purchase","10","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_9B","0","","False","False","l10n_jp_domestic_fiscal_position","","標準課税・個別対応方式：１０％（課税売上・非課税売上共用）","10"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_10B||S2_3_20B","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_9B","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_10B||S2_3_20B","","True","","","","","",""
"l10n_jp_tax_purchase_8_taxable_non_taxable","8% Taxable + Non Taxable","34","General Taxpayer: Reduced Rate - Itemized Method. Both Taxable and Non-Taxable Purpose Purchase","8","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_9A","0","","False","False","l10n_jp_domestic_fiscal_position","","標準課税・個別対応方式：８％（課税売上・非課税売上共用）","8"
"","","","","","","","","","","100","tax","invoice","l10n_jp_123200","S2_3_10A||S2_3_20A","","True","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_9A","","","","","","","",""
"","","","","","","","","","","100","tax","refund","l10n_jp_123200","S2_3_10A||S2_3_20A","","True","","","","","",""
"l10n_jp_tax_purchase_10_nqi_80_taxable","10% NQI 80% Taxable","35","General Taxpayer: Standard Rate - Itemized Method. Taxable Purpose Only. Non-qualified Invoice (80%)","10% NQI","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_11B_80","0","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_10","標準課税・個別対応方式：１０％（課税売上専用・二割特例）","10"
"","","","","","","","","","","80","tax","invoice","l10n_jp_123200","S2_3_12B_80||S2_3_19B","","True","","","","","",""
"","","","","","","","","","","20","tax","invoice","l10n_jp_512700","S2_3_12B_80||S2_3_19B","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11B_80","","","","","","","",""
"","","","","","","","","","","80","tax","refund","l10n_jp_123200","S2_3_12B_80||S2_3_19B","","True","","","","","",""
"","","","","","","","","","","20","tax","refund","l10n_jp_512700","S2_3_12B_80||S2_3_19B","","False","","","","","",""
"l10n_jp_tax_purchase_8_nqi_80_taxable","8% NQI 80% Taxable","36","General Taxpayer: Reduced Rate - Itemized Method. Taxable Purpose Only. Non-qualified Invoice (80%)","8% NQI","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_11A_80","0","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_8","標準課税・個別対応方式：８％（課税売上専用・二割特例）","8"
"","","","","","","","","","","80","tax","invoice","l10n_jp_123200","S2_3_12A_80||S2_3_19A","","True","","","","","",""
"","","","","","","","","","","20","tax","invoice","l10n_jp_512700","S2_3_12A_80||S2_3_19A","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11A_80","","","","","","","",""
"","","","","","","","","","","80","tax","refund","l10n_jp_123200","S2_3_12A_80||S2_3_19A","","True","","","","","",""
"","","","","","","","","","","20","tax","refund","l10n_jp_512700","S2_3_12A_80||S2_3_19A","","False","","","","","",""
"l10n_jp_tax_purchase_10_nqi_80_taxable_non_taxable","10% NQI 80% Taxable and Non Taxable","37","General Taxpayer: Standard Rate - Itemized Method. Both Taxable and Non-Taxable Purpose Purchase. Non-qualified Invoice (80%)","10% NQI","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_11B_80","0","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_10","標準課税・個別対応方式：１０％（課税売上・非課税売上共用・二割特例）","10"
"","","","","","","","","","","80","tax","invoice","l10n_jp_123200","S2_3_12B_80||S2_3_20B","","True","","","","","",""
"","","","","","","","","","","20","tax","invoice","l10n_jp_512700","S2_3_12B_80||S2_3_20B","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11B_80","","","","","","","",""
"","","","","","","","","","","80","tax","refund","l10n_jp_123200","S2_3_12B_80||S2_3_20B","","True","","","","","",""
"","","","","","","","","","","20","tax","refund","l10n_jp_512700","S2_3_12B_80||S2_3_20B","","False","","","","","",""
"l10n_jp_tax_purchase_8_nqi_80_taxable_non_taxable","8% NQI 80% Taxable and Non Taxable","38","General Taxpayer: Reduced Rate - Itemized Method. Both Taxable and Non-Taxable Purpose Purchase. Non-qualified Invoice (80%)","8% NQI","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_11A_80","0","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_8","標準課税・個別対応方式：８％（課税売上・非課税売上共用・二割特例）","8"
"","","","","","","","","","","80","tax","invoice","l10n_jp_123200","S2_3_12A_80||S2_3_20A","","True","","","","","",""
"","","","","","","","","","","20","tax","invoice","l10n_jp_512700","S2_3_12A_80||S2_3_20A","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11A_80","","","","","","","",""
"","","","","","","","","","","80","tax","refund","l10n_jp_123200","S2_3_12A_80||S2_3_20A","","True","","","","","",""
"","","","","","","","","","","20","tax","refund","l10n_jp_512700","S2_3_12A_80||S2_3_20A","","False","","","","","",""
"l10n_jp_tax_purchase_10_nqi_50_taxable","10% NQI 50% Taxable","39","General Taxpayer: Standard Rate - Itemized Method. Taxable Purpose Only. Non-qualified Invoice (50%)","10% NQI","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_11B_50","0","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_10","標準課税・個別対応方式：１０％（課税売上専用・経過措置５割）","10"
"","","","","","","","","","","50","tax","invoice","l10n_jp_123200","S2_3_12B_50||S2_3_19B","","True","","","","","",""
"","","","","","","","","","","50","tax","invoice","l10n_jp_512700","S2_3_12B_50||S2_3_19B","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11B_50","","","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_123200","S2_3_12B_50||S2_3_19B","","True","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_512700","S2_3_12B_50||S2_3_19B","","False","","","","","",""
"l10n_jp_tax_purchase_8_nqi_50_taxable","8% NQI 50% Taxable","40","General Taxpayer: Reduced Rate - Itemized Method. Taxable Purpose Only. Non-qualified Invoice (50%)","8% NQI","purchase","","percent","8","l10n_jp_tax_group_8","","base","invoice","","S2_3_11A_50","0","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_8","標準課税・個別対応方式：８％（課税売上専用・経過措置５割）","8"
"","","","","","","","","","","50","tax","invoice","l10n_jp_123200","S2_3_12A_50||S2_3_19A","","True","","","","","",""
"","","","","","","","","","","50","tax","invoice","l10n_jp_512700","S2_3_12A_50||S2_3_19A","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11A_50","","","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_123200","S2_3_12A_50||S2_3_19A","","True","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_512700","S2_3_12A_50||S2_3_19A","","False","","","","","",""
"l10n_jp_tax_purchase_10_nqi_50_taxable_non_taxable","10% NQI 50% Taxable and Non Taxable","41","General Taxpayer: Standard Rate - Itemized Method. Both Taxable and Non-Taxable Purpose Purchase. Non-qualified Invoice (50%)","10% NQI","purchase","","percent","10","l10n_jp_tax_group_10","","base","invoice","","S2_3_11B_50","0","","False","False","l10n_jp_non_qii_fiscal_position","l10n_jp_tax_purchase_10","標準課税・個別対応方式：１０％（課税売上・非課税売上共用・経過措置５割）","10"
"","","","","","","","","","","50","tax","invoice","l10n_jp_123200","S2_3_12B_50||S2_3_20B","","True","","","","","",""
"","","","","","","","","","","50","tax","invoice","l10n_jp_512700","S2_3_12B_50||S2_3_20B","","False","","","","","",""
"","","","","","","","","","","","base","refund","","S2_3_11B_50","","","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_123200","S2_3_12B_50||S2_3_20B","","True","","","","","",""
"","","","","","","","","","","50","tax","refund","l10n_jp_512700","S2_3_12B_50||S2_3_20B","","False","","","","","",""
