"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","fiscal_position_ids","original_tax_ids"
"","","","","","","","","","","tax","refund","734","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-ECP-17","133","","17%","17% EC(P) G","17.0","percent","purchase","tax_group_17","","base","invoice","731","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","732","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","731","","","",""
"","","","","","","","","","","tax","refund","732","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-ECP-16","134","","16%","16% EC(P) G","16.0","percent","purchase","tax_group_16","False","base","invoice","931","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","932","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","931","","","",""
"","","","","","","","","","","tax","refund","932","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-ECP-13","135","","13%","13% EC(P) G","13.0","percent","purchase","tax_group_13","False","base","invoice","933","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","934","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","933","","","",""
"","","","","","","","","","","tax","refund","934","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-ECP-7","136","","7%","7% EC(P) G","7.0","percent","purchase","tax_group_7","False","base","invoice","935","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","936","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","935","","","",""
"","","","","","","","","","","tax","refund","936","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-ECP-3","137","","3%","3% EC(P) G","3.0","percent","purchase","tax_group_3","","base","invoice","063","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","073","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","063","","","",""
"","","","","","","","","","","tax","refund","073","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-ECP-8","142","","8%","8% EC(P) G","8.0","percent","purchase","tax_group_8","","base","invoice","735","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","736","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","735","","","",""
"","","","","","","","","","","tax","refund","736","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2011_tax_AB-IC-0","145","","0%","0% EX IC G","0.0","percent","purchase","tax_group_0","","base","invoice","194","","","account_fiscal_position_template_LU_IC","lu_2011_tax_AB-PA-0"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","194","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_AB-IC-14","149","","14%","14% IC G","14.0","percent","purchase","tax_group_14","","base","invoice","713","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AB-PA-14"
"","","","","","","","","","","tax","invoice","714","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","459","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","713","","","",""
"","","","","","","","","","","tax","refund","714","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","459","","lu_2020_account_421611","",""
"lu_2015_tax_AB-IC-17","155","","17%","17% IC G","17.0","percent","purchase","tax_group_17","","base","invoice","711","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AB-PA-17"
"","","","","","","","","","","tax","invoice","712","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","459","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","711","","","",""
"","","","","","","","","","","tax","refund","712","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","459","","lu_2020_account_421611","",""
"lu_2015_tax_AB-IC-16","155","","16%","16% IC G","16.0","percent","purchase","tax_group_16","False","base","invoice","911","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AB-PA-16"
"","","","","","","","","","","tax","invoice","912","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","459","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","911","","","",""
"","","","","","","","","","","tax","refund","912","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","459","","lu_2020_account_421611","",""
"lu_2015_tax_AB-IC-13","156","","13%","13% IC G","13.0","percent","purchase","tax_group_13","False","base","invoice","913","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AB-PA-13"
"","","","","","","","","","","tax","invoice","914","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","459","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","913","","","",""
"","","","","","","","","","","tax","refund","914","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","459","","lu_2020_account_421611","",""
"lu_2015_tax_AB-IC-7","157","","7%","7% IC G","7.0","percent","purchase","tax_group_7","False","base","invoice","915","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AB-PA-7"
"","","","","","","","","","","tax","invoice","916","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","459","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","915","","","",""
"","","","","","","","","","","tax","refund","916","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","459","","lu_2020_account_421611","",""
"lu_2011_tax_AB-IC-3","158","","3%","3% IC G","3.0","percent","purchase","tax_group_3","","base","invoice","049","","","account_fiscal_position_template_LU_IC","lu_2011_tax_AB-PA-3"
"","","","","","","","","","","tax","invoice","054","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","459","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","049","","","",""
"","","","","","","","","","","tax","refund","054","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","459","","lu_2020_account_421611","",""
"lu_2015_tax_AB-IC-8","164","","8%","8% IC G","8.0","percent","purchase","tax_group_8","","base","invoice","715","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AB-PA-8"
"","","","","","","","","","","tax","invoice","716","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","459","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","715","","","",""
"","","","","","","","","","","tax","refund","716","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","459","","lu_2020_account_421611","",""
"lu_2011_tax_AB-PA-0","167","","0%","0% G","0.0","percent","purchase","tax_group_0","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_AB-PA-14","169","","14%","14% G","14.0","percent","purchase","tax_group_14","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AB-PA-17","101","","17%","17% G","17.0","percent","purchase","tax_group_17","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AB-PA-16","102","","16%","16% G","16.0","percent","purchase","tax_group_16","False","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AB-PA-13","103","","13%","13% G","13.0","percent","purchase","tax_group_13","False","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AB-PA-8","174","","8%","8% G","8.0","percent","purchase","tax_group_8","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AB-PA-7","104","","7%","7% G","7.0","percent","purchase","tax_group_7","False","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2011_tax_AB-PA-3","172","","3%","3% G","3.0","percent","purchase","tax_group_3","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2011_tax_AP-EC-0","175","","0%","0% EX EC S","0.0","percent","purchase","tax_group_0","","base","invoice","445","","","account_fiscal_position_template_LU_EC","lu_2011_tax_AP-PA-0"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","445","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_AP-EC-14","179","","14%","14% EC S","14.0","percent","purchase","tax_group_14","","base","invoice","753","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AP-PA-14"
"","","","","","","","","","","tax","invoice","754","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","753","","","",""
"","","","","","","","","","","tax","refund","754","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-EC-17","185","","17%","17% EC S","17.0","percent","purchase","tax_group_17","","base","invoice","751","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AP-PA-17"
"","","","","","","","","","","tax","invoice","752","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","751","","","",""
"","","","","","","","","","","tax","refund","752","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-EC-16","185","","16%","16% EC S","16.0","percent","purchase","tax_group_16","False","base","invoice","951","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AP-PA-16"
"","","","","","","","","","","tax","invoice","952","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","951","","","",""
"","","","","","","","","","","tax","refund","952","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-EC-13","186","","13%","13% EC S","13.0","percent","purchase","tax_group_13","False","base","invoice","953","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AP-PA-13"
"","","","","","","","","","","tax","invoice","954","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","953","","","",""
"","","","","","","","","","","tax","refund","954","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-EC-7","187","","7%","7% EC S","7.0","percent","purchase","tax_group_7","False","base","invoice","955","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AP-PA-7"
"","","","","","","","","","","tax","invoice","956","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","955","","","",""
"","","","","","","","","","","tax","refund","956","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2011_tax_AP-EC-3","188","","3%","3% EC S","3.0","percent","purchase","tax_group_3","","base","invoice","441","","","account_fiscal_position_template_LU_EC","lu_2011_tax_AP-PA-3"
"","","","","","","","","","","tax","invoice","442","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","441","","","",""
"","","","","","","","","","","tax","refund","442","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-EC-8","194","","8%","8% EC S","8.0","percent","purchase","tax_group_8","","base","invoice","755","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AP-PA-8"
"","","","","","","","","","","tax","invoice","756","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","755","","","",""
"","","","","","","","","","","tax","refund","756","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2011_tax_AP-IC-0","197","","0%","0% EX IC S","0.0","percent","purchase","tax_group_0","","base","invoice","435","","","account_fiscal_position_template_LU_IC","lu_2011_tax_AP-PA-0"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","435","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_AP-IC-14","201","","14%","14% IC S","14.0","percent","purchase","tax_group_14","","base","invoice","743","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AP-PA-14"
"","","","","","","","","","","tax","invoice","744","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","743","","","",""
"","","","","","","","","","","tax","refund","744","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-IC-17","207","","17%","17% IC S","17.0","percent","purchase","tax_group_17","","base","invoice","741","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AP-PA-17"
"","","","","","","","","","","tax","invoice","742","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","741","","","",""
"","","","","","","","","","","tax","refund","742","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-IC-16","208","","16%","16% IC S","16.0","percent","purchase","tax_group_16","False","base","invoice","941","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AP-PA-16"
"","","","","","","","","","","tax","invoice","942","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","941","","","",""
"","","","","","","","","","","tax","refund","942","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-IC-13","209","","13%","13% IC S","13.0","percent","purchase","tax_group_13","False","base","invoice","943","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AP-PA-13"
"","","","","","","","","","","tax","invoice","944","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","943","","","",""
"","","","","","","","","","","tax","refund","944","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-IC-7","210","","7%","7% IC S","7.0","percent","purchase","tax_group_7","False","base","invoice","945","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AP-PA-7"
"","","","","","","","","","","tax","invoice","946","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","945","","","",""
"","","","","","","","","","","tax","refund","946","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2011_tax_AP-IC-3","211","","3%","3% IC S","3.0","percent","purchase","tax_group_3","","base","invoice","431","","","account_fiscal_position_template_LU_IC","lu_2011_tax_AP-PA-3"
"","","","","","","","","","","tax","invoice","432","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","431","","","",""
"","","","","","","","","","","tax","refund","432","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2015_tax_AP-IC-8","216","","8%","8% IC S","8.0","percent","purchase","tax_group_8","","base","invoice","745","","","account_fiscal_position_template_LU_IC","lu_2015_tax_AP-PA-8"
"","","","","","","","","","","tax","invoice","746","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","461","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","745","","","",""
"","","","","","","","","","","tax","refund","746","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","461","","lu_2020_account_421611","",""
"lu_2011_tax_AP-PA-0","219","","0%","0% S","0.0","percent","purchase","tax_group_0","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_AP-PA-14","221","","14%","14% S","14.0","percent","purchase","tax_group_14","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AP-PA-17","223","","17%","17% S","17.0","percent","purchase","tax_group_17","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AP-PA-16","223","","16%","16% S","16.0","percent","purchase","tax_group_16","False","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AP-PA-13","223","","13%","13% S","13.0","percent","purchase","tax_group_13","False","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AP-PA-7","223","","7%","7% S","7.0","percent","purchase","tax_group_7","False","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2011_tax_AP-PA-3","224","","3%","3% S","3.0","percent","purchase","tax_group_3","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2015_tax_AP-PA-8","226","","8%","8% S","8.0","percent","purchase","tax_group_8","","base","invoice","","","","account_fiscal_position_template_private_LU_IC,account_fiscal_position_template_LU_LU",""
"","","","","","","","","","","tax","invoice","458","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","458","","lu_2020_account_421611","",""
"lu_2011_tax_FB-EC-0","227","","0%","0% EX EC E G","0.0","percent","purchase","tax_group_0","False","base","invoice","195","","","account_fiscal_position_template_LU_EC","lu_2011_tax_FB-PA-0"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","195","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_FB-EC-14","231","","14%","14% EC E G","14.0","percent","purchase","tax_group_14","False","base","invoice","723","","","account_fiscal_position_template_LU_EC","lu_2015_tax_FB-PA-14"
"","","","","","","","","","","tax","invoice","724","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","723","","","",""
"","","","","","","","","","","tax","refund","724","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_FB-EC-17","237","","17%","17% EC E G","17.0","percent","purchase","tax_group_17","False","base","invoice","721","","","account_fiscal_position_template_LU_EC","lu_2015_tax_FB-PA-17"
"","","","","","","","","","","tax","invoice","722","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","721","","","",""
"","","","","","","","","","","tax","refund","722","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_FB-EC-16","238","","16%","16% EC E G","16.0","percent","purchase","tax_group_16","False","base","invoice","921","","","account_fiscal_position_template_LU_EC","lu_2015_tax_FB-PA-16"
"","","","","","","","","","","tax","invoice","922","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","921","","","",""
"","","","","","","","","","","tax","refund","922","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
