"id","sequence","name","description","invoice_label","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@hu"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_intra","",""
"","","","","","","","","","","100","tax","refund","","",""
"FEUT","81","0% EU G","0% Goods Intra-community Deliveries","0% Goods Intra-community Deliveries","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_intra","","0% áruk ICD"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_intra","",""
"","","","","","","","","","","100","tax","refund","","",""
"FEXS","90","0% S EX","0% Services Export","0% Services Export","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_exports","","0% Szolgáltatások exportálása"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_exports","",""
"","","","","","","","","","","100","tax","refund","","",""
"FEXT","91","0% G EX","0% Goods Export","0% Goods Export","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_exports","","0% áruexport"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_exports","",""
"","","","","","","","","","","100","tax","refund","","",""
"V27","100","27%","27% VAT","27% VAT","False","27.0","percent","purchase","tax_group_afa_27","100","base","invoice","+base_rec_27","","27% ÁFA"
"","","","","","","","","","","100","tax","invoice","+vat_rec_27","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_27","",""
"","","","","","","","","","","100","tax","refund","-vat_rec_27","l10n_hu_466",""
"V27TE","110","27% P P E","27% Property, plant and equipment","27% Property, plant and equipment","False","27.0","percent","purchase","tax_group_afa_27","100","base","invoice","+base_rec_27","","27% Ingatlanok, gépek és berendezések"
"","","","","","","","","","","100","tax","invoice","+vat_rec_27","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_27","",""
"","","","","","","","","","","100","tax","refund","-vat_rec_27","l10n_hu_466",""
"V18","120","18%","18% VAT","18% VAT","False","18.0","percent","purchase","tax_group_afa_18","100","base","invoice","+base_rec_18","","18% ÁFA"
"","","","","","","","","","","100","tax","invoice","+vat_rec_18","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_18","",""
"","","","","","","","","","","100","tax","refund","-vat_rec_18","l10n_hu_466",""
"V5","130","5%","5% VAT","5% VAT","False","5.0","percent","purchase","tax_group_afa_5","100","base","invoice","+base_rec_5","","5% ÁFA"
"","","","","","","","","","","100","tax","invoice","+vat_rec_5","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_5","",""
"","","","","","","","","","","100","tax","refund","-vat_rec_5","l10n_hu_466",""
"VKOMP7","140","7% C","7% Compensation Surcharge","7% Compensation Surcharge","False","7.0","percent","purchase","tax_group_afa_komp","100","base","invoice","+base_rec_compensation","","7% Komp."
"","","","","","","","","","","100","tax","invoice","+vat_rec_compensation","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_compensation","",""
"","","","","","","","","","","100","tax","refund","-vat_rec_compensation","l10n_hu_466",""
"VKOMP12","150","12% C","12% Compensation Surcharge","12% Compensation Surcharge","False","12.0","percent","purchase","tax_group_afa_komp","100","base","invoice","+base_rec_compensation","","12% Komp."
"","","","","","","","","","","100","tax","invoice","+vat_rec_compensation","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_compensation","",""
"","","","","","","","","","","100","tax","refund","-vat_rec_compensation","l10n_hu_466",""
"VA","160","0% Sub","0% Subject","0% Subject","False","0.0","percent","purchase","tax_group_afa_0","100","base","invoice","+base_rec_exempt_tax","","0% Tárgy"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_exempt_tax","",""
"","","","","","","","","","","100","tax","refund","","",""
"VT","170","0% Mat","0% Material","0% Material","False","0.0","percent","purchase","tax_group_afa_0","100","base","invoice","+base_rec_exempt_material","","0% Anyag"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_exempt_material","",""
"","","","","","","","","","","100","tax","refund","","",""
"VKKS","180","0% S EXEMPT","0% Services Exempt","0% Services Exempt","False","0.0","percent","purchase","tax_group_afa_0","100","base","invoice","+base_rec_exempt","","0% Szolgáltatásmentes"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_exempt","",""
"","","","","","","","","","","100","tax","refund","","",""
"VKKT","181","0% G EXEMPT","0% Goods Exempt","0% Goods Exempt","False","0.0","percent","purchase","tax_group_afa_0","100","base","invoice","+base_rec_exempt","","0% árumentes"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_exempt","",""
"","","","","","","","","","","100","tax","refund","","",""
"VF","190","0% R","0% VAT (Reverse)","0% VAT (Reverse)","False","0.0","percent","purchase","tax_group_afa_0","100","base","invoice","+base_rec_reverse","","0% ÁFA (fordított)"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_reverse","",""
"","","","","","","","","","","100","tax","refund","","",""
"VEU27S","200","27% EU S","27% Services Intra-community Acquisition","27% Services Intra-community Acquisition","False","27.0","percent","purchase","tax_group_afa_27","100","base","invoice","+base_rec_intra","","27% Szolgáltatások ICA"
"","","","","","","","","","","-100","tax","invoice","+vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","invoice","+vat_rec_27","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_intra","",""
"","","","","","","","","","","-100","tax","refund","-vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","refund","-vat_rec_27","l10n_hu_466",""
"VEU27T","201","27% EU G","27% Goods Intra-community Acquisition","27% Goods Intra-community Acquisition","False","27.0","percent","purchase","tax_group_afa_27","100","base","invoice","+base_rec_intra","","27% áruk ICA"
"","","","","","","","","","","-100","tax","invoice","+vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","invoice","+vat_rec_27","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_intra","",""
"","","","","","","","","","","-100","tax","refund","-vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","refund","-vat_rec_27","l10n_hu_466",""
"VEU27TE","210","27% EU P","27% ICA (Property)","27% ICA (Property)","False","27.0","percent","purchase","tax_group_afa_27","100","base","invoice","+base_rec_intra","","27% KBB (tulajdon)"
"","","","","","","","","","","-100","tax","invoice","+vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","invoice","+vat_rec_27","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_intra","",""
"","","","","","","","","","","-100","tax","refund","-vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","refund","-vat_rec_27","l10n_hu_466",""
"VEUM","220","0% ICA","0% Intra-community Acquisition","0% Intra-community Acquisition","False","0.0","percent","purchase","tax_group_afa_0","100","base","invoice","+base_rec_intra","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_intra","",""
"","","","","","","","","","","100","tax","refund","","",""
"VIMS","230","27% EX","27% Import","27% Import","False","27.0","percent","purchase","tax_group_afa_27","100","base","invoice","+base_rec_import","",""
"","","","","","","","","","","-100","tax","invoice","+vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","invoice","+vat_rec_27","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_import","",""
"","","","","","","","","","","-100","tax","refund","-vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","tax","refund","-vat_rec_27","l10n_hu_466",""
"VIMK","240","27% EX S","27% Import (Sourcing)","27% Import (Sourcing)","False","27.0","percent","purchase","tax_group_afa_27","100","base","invoice","+base_rec_import","","27% Import (beszerzés)"
"","","","","","","","","","","100","tax","invoice","+vat_rec_27","l10n_hu_466",""
"","","","","","","","","","","100","base","refund","-base_rec_import","",""
"","","","","","","","","","","100","tax","refund","-vat_rec_27","l10n_hu_466",""
"VIM","250","0% EX","0% Import","0% Import","False","0.0","percent","purchase","tax_group_afa_0","100","base","invoice","+base_rec_import","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_import","",""
"","","","","","","","","","","100","tax","refund","","",""
