id,code,name,parent_id:id,type,user_type:id,reconcile
lv_2012_account_5140,5140,Citi aizņēmumi,lv_2012_account_5_1,payable,account_type_2012_5,TRUE
lv_2012_account_5_2,52,No pircējiem saņemtie avansi,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5210,5210,No pircējiem saņemtie avansi,lv_2012_account_5_2,payable,account_type_2012_5,FALSE
lv_2012_account_5_3,53,Parādi piegādātājiem un darbuzņēmējiem,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5310,5310,Parādi piegādātājiem un darbuzņēmējiem,lv_2012_account_5_3,payable,account_type_2012_5,TRUE
lv_2012_account_5_4,54,Maksājamie vekseļi,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5410,5410,Maksājamie vekseļi,lv_2012_account_5_4,other,account_type_2012_5,FALSE
lv_2012_account_5_5,55,Norēķini ar sabiedrībām,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5510,5510,Parādi radniecīgajām sabiedrībām,lv_2012_account_5_5,payable,account_type_2012_5,TRUE
lv_2012_account_5520,5520,Parādi asociētajām sabiedrībām,lv_2012_account_5_5,payable,account_type_2012_5,TRUE
lv_2012_account_5_6,56,"Norēķini par darba samaksu, ieturējumiem (izņemot nodokļus) un parādiem personālam",lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5610,5610,Norēķini par darba algu,lv_2012_account_5_6,payable,account_type_2012_5,TRUE
lv_2012_account_5620,5620,Norēķini par ieturējumiem no darba algas (izņemot nodokļus),lv_2012_account_5_6,payable,account_type_2012_5,FALSE
lv_2012_account_5650,5650,Norēķini par parādiem personālam,lv_2012_account_5_6,payable,account_type_2012_5,TRUE
lv_2012_account_5_7,57,Nodokļi un valsts sociālās apdrošināšanas obligātās iemaksas,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5710,5710,Norēķini par uzņēmumu ienākuma nodokli,lv_2012_account_5_7,other,account_type_2012_5,FALSE
lv_2012_account_572,572,Norēķini par pievienotās vērtības nodokli,lv_2012_account_5_7,view,account.data_account_type_view,FALSE
lv_2012_account_5721,5721,Norēķini par pievienotās vērtības nodokli,lv_2012_account_572,other,account_type_2012_5,FALSE
lv_2012_account_5722,5722,Valsts budžetā samaksātais pievienotās vērtības nodoklis,lv_2012_account_572,payable,account_type_2012_5,FALSE
lv_2012_account_5723,5723,Aprēķinātas nokavējuma naudas par pievienotās vērtības nodokli,lv_2012_account_572,other,account_type_2012_5,FALSE
lv_2012_account_573,573,Norēķini par valsts sociālās apdrošināšanas obligātajām iemaksām,lv_2012_account_5_7,view,account.data_account_type_view,FALSE
lv_2012_account_5731,5731,Norēķini par valsts sociālās apdrošināšanas obligātajām iemaksām,lv_2012_account_573,other,account_type_2012_5,FALSE
lv_2012_account_5732,5732,Valsts budžetā samaksātās valsts sociālās apdrošināšanas obligātās iemaksas,lv_2012_account_573,payable,account_type_2012_5,FALSE
lv_2012_account_5733,5733,Aprēķinātās nokavējuma naudas par valsts sociālās apdrošināšanas obligātajām iemaksām,lv_2012_account_573,other,account_type_2012_5,FALSE
lv_2012_account_574,574,Norēķini par uzņēmējdarbības riska valsts nodevām,lv_2012_account_5_7,view,account.data_account_type_view,FALSE
lv_2012_account_5741,5741,Norēķini par uzņēmējdarbības riska valsts nodevām,lv_2012_account_574,other,account_type_2012_5,FALSE
lv_2012_account_5742,5742,Valsts budžetā samaksātās uzņēmējdarbības riska valsts nodevas,lv_2012_account_574,payable,account_type_2012_5,FALSE
lv_2012_account_5743,5743,Aprēķinātās nokavējuma naudas par uzņēmējdarbības riska valsts nodevām,lv_2012_account_574,other,account_type_2012_5,FALSE
lv_2012_account_575,575,Norēķini par iedzīvotāju ienākuma nodokli,lv_2012_account_5_7,view,account.data_account_type_view,FALSE
lv_2012_account_5751,5751,Norēķini par iedzīvotāju ienākuma nodokli,lv_2012_account_575,other,account_type_2012_5,FALSE
lv_2012_account_5752,5752,Valsts budžetā samaksātais iedzīvotāju ienākuma nodoklis,lv_2012_account_575,payable,account_type_2012_5,FALSE
lv_2012_account_5753,5753,Aprēķinātās nokavējuma naudas par iedzīvotāju ienākuma nodokli,lv_2012_account_575,other,account_type_2012_5,FALSE
lv_2012_account_5_8,58,Norēķini par dividendēm,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5810,5810,Norēķini par pārskata gada dividendēm,lv_2012_account_5_8,payable,account_type_2012_5,TRUE
lv_2012_account_5820,5820,Norēķini par iepriekšējo gadu neizmaksātajām dividendēm,lv_2012_account_5_8,payable,account_type_2012_5,TRUE
lv_2012_account_5_9,59,Citi kreditori,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5910,5910,Nākamo periodu ieņēmumi,lv_2012_account_5_9,other,account_type_2012_5,FALSE
lv_2012_account_5920,5920,Uzkrātās saistības,lv_2012_account_5_9,other,account_type_2012_5,FALSE
lv_2012_account_5930,5930,Atvasinātie finanšu instrumenti,lv_2012_account_5_9,other,account_type_2012_5,FALSE
lv_2012_account_6,6,Ieņēmumi no uzņēmuma saimnieciskās darbības,lv_2012_account_0,view,account.data_account_type_view,FALSE
lv_2012_account_6_1,61,"Ieņēmumi no pārdošanas, kas apliekami ar nodokļiem vispārējā kārtībā",lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6110,6110,Ieņēmumi no pamatdarbības produkcijas un pakalpojumu pārdošanas,lv_2012_account_6_1,other,account_type_2012_6,FALSE
lv_2012_account_6_2,62,"Ieņēmumi no pārdošanas, kas citādi apliekami ar nodokļiem",lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6210,6210,Ar nodokļiem neapliekamie pārdošanas ieņēmumi,lv_2012_account_6_2,other,account_type_2012_6,FALSE
lv_2012_account_6220,6220,Ar īpašiem nodokļiem apliekamie pārdošanas ieņēmumi,lv_2012_account_6_2,other,account_type_2012_6,FALSE
