"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_coop_pymes_694","Pérdidas por deterioro de créditos por operaciones comerciales",694,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_737","Trabajos realizados para el Fondo de Educación, Formación y Promoción",737,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_756","Ingresos por operaciones con socios",756,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_7570","Sanciones impuestas a socios imputables al Fondo de Educación, Formación y Promoción",7570,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_7571","Subvenciones imputables al Fondo de Educación, Formación y Promoción",7571,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_7572","Donaciones imputables al Fondo de Educación, Formación y Promoción",7572,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_7573","Otros ingresos imputables al Fondo de Educación, Formación y Promoción",7573,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_763","Beneficios por valoración de instrumentos financieros por su valor razonable",763,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_791","Reversión del deterioro del inmovilizado material",791,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_794","Reversión del deterioro de créditos por operaciones comerciales",794,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_7962","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas",7962,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_7963","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas",7963,"account.data_account_type_revenue","l10n_es.account_chart_template_coop_pymes","False"
