type,name,res_id,src,value
field,"account.transfer,account_src_id",0,Source Account,源账号
field,"account.transfer,change",0,Amount Changed,金额兑换
field,"campaign.campaign,info",0,Description,说明
field,"campaign.campaign,date_stop",0,Stop Date,终止日期
field,"campaign.campaign,name",0,Name,名称
field,"campaign.campaign,date_start",0,Start Date,开始日期
field,"campaign.campaign,planned_costs",0,Planned Costs,计划成本
field,"campaign.campaign,costs",0,Initial Costs,起始成本
field,"campaign.campaign,step_id",0,Campaign Steps,促销步骤
field,"campaign.campaign,planned_revenue",0,Planned Revenue,计划收入
field,"campaign.partner,part_adr_id",0,Partner Address,伙伴地址
field,"campaign.partner,info",0,Comments,评论
field,"campaign.partner,state",0,State,州/省
field,"campaign.partner,user_id",0,Attache Commercial,商业附加
field,"campaign.partner,name",0,Name / Reference,名称/参照
field,"campaign.partner,date_recall",0,Recall Later,退货
field,"campaign.partner,notes",0,Prospect Notes,前景注释
field,"campaign.partner,campaign_id",0,Campaign,促销
field,"campaign.partner,priority",0,Priority,优先级
field,"campaign.partner,step",0,Step,步骤
field,"campaign.partner,contact",0,Partner Contact,伙伴联系人
field,"campaign.partner,active",0,Active,活动的
field,"campaign.partner,partner_id",0,Partner,伙伴
field,"campaign.partner,history_id",0,History,历史
field,"campaign.partner.history,info",0,Comments,评论
field,"campaign.partner.history,name",0,History,历史
field,"campaign.partner.history,camp_partner_id",0,Prospect Fiche,前景卡片
field,"campaign.partner.history,step_attempt",0,Attempt,尝试
field,"campaign.partner.history,date",0,Date create,创建日期
field,"campaign.partner.history,step_id",0,Step,步骤
field,"campaign.step,info",0,Description,说明
field,"campaign.step,name",0,Step Name,步骤名称
field,"campaign.step,procent",0,Success Rate (0<x<1),成功率(0<x<1)
field,"campaign.step,stop_date",0,Stop Date,终止日期
field,"campaign.step,campaign_id",0,Campaign,促销
field,"campaign.step,priority",0,Order line,订单行
field,"campaign.step,costs",0,Step Costs,步骤成本
field,"campaign.step,active",0,Active,活动的
field,"campaign.step,max_try",0,Max Attemps,最大尝试
field,"campaign.step,start_date",0,Start Date,开始日期
field,"crm.case,date_closed",0,Date Closed,关闭日期
field,"crm.case,history_line",0,Case History,个案历史
field,"crm.case,partner_id",0,Partner,伙伴
field,"crm.case,user_id",0,User Responsible,责任人
field,"crm.case,name",0,Case Description,个案说明
field,"crm.case,probability",0,Probability (0.50),概率(0.50)
field,"crm.case,canal_id",0,Canal,销售渠道
field,"crm.case,categ_id",0,Category,类别
field,"crm.case,planned_cost",0,Planned Costs,计划成本
field,"crm.case,som",0,State of Mind,助记状态
field,"crm.case,state",0,State,状态
field,"crm.case,date_deadline",0,Date Next Action,下一日期
field,"crm.case,priority",0,Priority,优先级
field,"crm.case,date",0,Date,日期
field,"crm.case,planned_revenue",0,Planned Revenue,计划收入
field,"crm.case,active",0,Active,活动的
field,"crm.case,document",0,Document,文档
field,"crm.case,type",0,Case Type,个案类型
field,"crm.case,description",0,Description,说明
field,"crm.case.categ,case_type",0,Case Type,个案类型
field,"crm.case.categ,name",0,Case Category Name,个案类别名称
field,"crm.case.history,user_id",0,User Responsible,责任人
field,"crm.case.history,name",0,Name,名称
field,"crm.case.history,canal_id",0,Canal,销售渠道
field,"crm.case.history,som",0,State of Mind,助记状态
field,"crm.case.history,case_id",0,Case,个案
field,"crm.case.history,date",0,Date,日期
field,"crm.case.history,description",0,Description,说明
field,"crm.segmentation,name",0,Segmentation Name,分割名称
field,"crm.segmentation,som_interval_max",0,Max Interval for Computation,最大计算间隔
field,"crm.segmentation,categ_id",0,Partner Category,伙伴类别
field,"crm.segmentation,som_interval_default",0,Default Factor (0 = None),默认因子(0=None)
field,"crm.segmentation,segmentation_line",0,Criterions,准则
field,"crm.segmentation,som_interval_decrease",0,Decrease factor (0.0 > 1.0),下降因子(0.0>1.0)
field,"crm.segmentation,state",0,Execution State,执行状态
field,"crm.segmentation,exclusif",0,Exclusive Selection,选择性排除
field,"crm.segmentation,partner_id",0,Max Partner ID processed,已处理最大伙伴ID
field,"crm.segmentation,som_interval",0,Number of day per Periode,期间日编号
field,"crm.segmentation,description",0,Description,说明
field,"crm.segmentation.line,name",0,Segmentation Name,分节名称
field,"crm.segmentation.line,segmentation_id",0,Segmentation,分节
field,"crm.segmentation.line,expr_name",0,Control Variable,控制变量
field,"crm.segmentation.line,expr_value",0,Value,价值
field,"crm.segmentation.line,operator",0,Mandatory / Optionnal,强制的/可选的
field,"crm.segmentation.line,expr_operator",0,Operator,操作者
field,"hr.action.reason,name",0,Reason,理由
field,"hr.action.reason,action_type",0,Action's type,动作类型
field,"hr.attendance,action",0,Action,动作
field,"hr.attendance,employee_id",0,Employee,雇员
field,"hr.attendance,name",0,Date,日期
field,"hr.attendance,action_desc",0,Action's reason,动作理由
field,"hr.employee,address_id",0,Address,地址
field,"hr.employee,attendances",0,Employee's attendances,雇员出勤
field,"hr.employee,user_id",0,Tiny ERP User,TinyERP授权用户
field,"hr.employee,name",0,Employee's Full Name,雇员全名
field,"hr.employee,started",0,Started on,开始时间
field,"hr.employee,holiday_max",0,Number of holiday,假期天数
field,"hr.employee,notes",0,Notes,注解
field,"hr.employee,holidays",0,Employee's holidays,雇员假期
field,"hr.employee,state",0,Presence,出席
field,"hr.employee,active",0,Active,活动的
field,"hr.employee,expenses",0,Employee's expenses,雇员费用
field,"hr.employee,partner_id",0,Employee,雇员
field,"hr.employee,workgroups",0,Employee's work team,雇员工作小组
field,"hr.employee,regime",0,Workhours by week,周工作时数
field,"hr.expense,employee_id",0,Employee,雇员
field,"hr.expense,name",0,Short Description,简短说明
field,"hr.expense,state",0,State,州/省
field,"hr.expense,amount",0,Amount,金额
field,"hr.expense,date",0,Date,日期
field,"hr.expense,txt",0,Long Description,详细说明
field,"hr.expense,type",0,Expense type,费用类型
