"id","parent_id","active","name","code","account_type","reconcile","non_trade"
"l10n_mz_account_group_625","l10n_mz_account_group_62","False","Allowances","625","expense","",""
"l10n_mz_account_group_626","l10n_mz_account_group_62","False","Indemnities","626","expense","",""
"l10n_mz_account_group_63","l10n_mz_account_group_6","False","Purchased supplies and services","63","expense","",""
"l10n_mz_account_group_632","l10n_mz_account_group_63","False","Supplies of goods and services","632","expense","",""
"l10n_mz_account_group_63227","l10n_mz_account_group_632","False","Advertising","63227","expense","",""
"l10n_mz_account_group_63228","l10n_mz_account_group_632","False","Travel and accommodation","63228","expense","",""
"l10n_mz_account_group_63232","l10n_mz_account_group_632","False","Hire and rental charges","63232","expense","",""
"l10n_mz_account_group_63233","l10n_mz_account_group_632","False","Insurance","63233","expense","",""
"l10n_mz_account_group_64","l10n_mz_account_group_6","False","Adjustments for the period","64","expense","",""
"l10n_mz_account_group_644","l10n_mz_account_group_64","False","Receivables","644","expense","",""
"l10n_mz_account_group_65","l10n_mz_account_group_6","False","Depreciation and amortisation for the period","65","expense_depreciation","",""
"l10n_mz_account_group_66","l10n_mz_account_group_6","False","Provisions for the period","66","expense","",""
"l10n_mz_account_group_68","l10n_mz_account_group_6","False","Other operating expenses and losses","68","expense","",""
"l10n_mz_account_group_682","l10n_mz_account_group_68","False","Taxes and levies","682","expense","",""
"l10n_mz_account_group_683","l10n_mz_account_group_68","False","Losses in capital investments","683","expense","",""
"l10n_mz_account_group_684","l10n_mz_account_group_68","False","Losses in inventories and biological assets","684","expense","",""
"l10n_mz_account_group_689","l10n_mz_account_group_68","False","Other operating expenses","689","expense","",""
"l10n_mz_account_group_6895","l10n_mz_account_group_689","False","Donations","6895","expense","",""
"l10n_mz_account_group_69","l10n_mz_account_group_6","False","Finance costs and losses","69","expense","",""
"l10n_mz_account_group_691","l10n_mz_account_group_69","False","Interest expenses","691","expense","",""
"l10n_mz_account_group_6916","l10n_mz_account_group_691","False","Interest of default payments and compensatory","6916","expense","",""
"l10n_mz_account_group_694","l10n_mz_account_group_69","False","Foreign exchange losses","694","expense","",""
"l10n_mz_account_group_698","l10n_mz_account_group_69","False","Other finance costs and losses","698","expense","",""
"l10n_mz_account_group_7","","False","Revenue and gains","7","income","",""
"l10n_mz_account_group_71","l10n_mz_account_group_7","False","Sales","71","income_other","",""
"l10n_mz_account_group_72","l10n_mz_account_group_7","False","Services rendered","72","income_other","",""
"l10n_mz_account_group_73","l10n_mz_account_group_7","False","Work performed by the entity and capitalised","73","income","",""
"l10n_mz_account_group_74","l10n_mz_account_group_7","False","Reversals for the period","74","income_other","",""
"l10n_mz_account_group_741","l10n_mz_account_group_74","False","Reversals From adjustments","741","income_other","",""
"l10n_mz_account_group_742","l10n_mz_account_group_74","False","Reversals From depreciation and amortisation","742","income_other","",""
"l10n_mz_account_group_743","l10n_mz_account_group_74","False","Reversals From provisions","743","income_other","",""
"l10n_mz_account_group_76","l10n_mz_account_group_7","False","Other operating income and gains","76","income_other","",""
"l10n_mz_account_group_761","l10n_mz_account_group_76","False","Grants for investments","761","income_other","",""
"l10n_mz_account_group_762","l10n_mz_account_group_76","False","Operating grants","762","income_other","",""
"l10n_mz_account_group_763","l10n_mz_account_group_76","False","Gains from capital investments","763","income_other","",""
"l10n_mz_account_group_764","l10n_mz_account_group_76","False","Gains in inventories and biological assets","764","income_other","",""
"l10n_mz_account_group_769","l10n_mz_account_group_76","False","Other income non-related to value added","769","income_other","",""
"l10n_mz_account_group_78","l10n_mz_account_group_7","False","Finance income and gains","78","income","",""
"l10n_mz_account_group_781","l10n_mz_account_group_78","False","Interest received","781","income","",""
"l10n_mz_account_group_784","l10n_mz_account_group_78","False","Foreign exchange gains","784","income","",""
"l10n_mz_account_211","l10n_mz_account_group_21","True","Purchased Goods","211","asset_current","False",""
"l10n_mz_account_2121","l10n_mz_account_group_212","True","Purchased Raw materials","2121","asset_current","False",""
"l10n_mz_account_2122","l10n_mz_account_group_212","True","Purchased Ancillary materials","2122","asset_current","False",""
"l10n_mz_account_21231","l10n_mz_account_group_2123","True","Purchased Fuel and lubricants","21231","asset_current","False",""
"l10n_mz_account_21232","l10n_mz_account_group_2123","True","Purchased Packaging","21232","asset_current","False",""
"l10n_mz_account_21233","l10n_mz_account_group_2123","True","Purchased Spare parts","21233","asset_current","False",""
"l10n_mz_account_21239","l10n_mz_account_group_2123","True","Other Purchased materials","21239","asset_current","False",""
"l10n_mz_account_217","l10n_mz_account_group_21","True","Returned purchases","217","asset_current","False",""
"l10n_mz_account_218","l10n_mz_account_group_21","True","Discounts and rebates on purchases","218","asset_current","False",""
"l10n_mz_account_222","l10n_mz_account_group_22","True","Goods in transit","222","asset_current","False",""
"l10n_mz_account_223","l10n_mz_account_group_22","True","Goods held by third parties","223","asset_current","False",""
"l10n_mz_account_231","l10n_mz_account_group_23","True","Finished and intermediate goods","231","asset_current","False",""
"l10n_mz_account_232","l10n_mz_account_group_23","True","Finished goods held by third parties","232","asset_current","False",""
"l10n_mz_account_241","l10n_mz_account_group_24","True","By-products","241","asset_current","False",""
"l10n_mz_account_242","l10n_mz_account_group_24","True","Waste and scrap","242","asset_current","False",""
"l10n_mz_account_25","l10n_mz_account_group_2","True","Work in progress","25","asset_current","False",""
"l10n_mz_account_261","l10n_mz_account_group_26","True","Raw materials","261","asset_current","False",""
"l10n_mz_account_262","l10n_mz_account_group_26","True","Ancillary materials","262","asset_current","False",""
"l10n_mz_account_2631","l10n_mz_account_group_263","True","Fuel and lubricants","2631","asset_current","False",""
"l10n_mz_account_2632","l10n_mz_account_group_263","True","Packaging","2632","asset_current","False",""
"l10n_mz_account_2633","l10n_mz_account_group_263","True","Spare parts","2633","asset_current","False",""
"l10n_mz_account_2639","l10n_mz_account_group_263","True","Other materials","2639","asset_current","False",""
"l10n_mz_account_264","l10n_mz_account_group_26","True","Raw materials and other supplies in transit","264","asset_current","False",""
"l10n_mz_account_2711","l10n_mz_account_group_271","True","Livestock for production","2711","asset_non_current","False",""
"l10n_mz_account_2712","l10n_mz_account_group_271","True","Plants for production","2712","asset_non_current","False",""
"l10n_mz_account_2721","l10n_mz_account_group_272","True","Consumable livestock","2721","asset_current","False",""
"l10n_mz_account_2722","l10n_mz_account_group_272","True","Consumable Plants","2722","asset_current","False",""
"l10n_mz_account_282","l10n_mz_account_group_28","True","Inventory adjustments - Goods","282","asset_current","False",""
