"id","name","code","account_type","active","reconcile","non_trade","parent_id","description","name@ar_001","depreciation_model_id","description@ar"
"uae_account_131200","Prepaid Bank Guarantee","131200","asset_prepayments","True","False","","uae_account_130000","","الضمان البنكي المدفوع مسبقاً","",""
"uae_account_131300","Other Prepayments","131300","asset_prepayments","True","False","","uae_account_130000","","المدفوعات المسبقة الأخرى","",""
"uae_account_131400","Prepaid Finance charge for Loans","131400","asset_prepayments","True","False","","uae_account_130000","","رسوم التمويل المدفوعة مسبقًا للقروض","",""
"uae_account_131500","Prepaid Expenses","131500","asset_prepayments","True","False","","uae_account_130000","","النفقات المدفوعة مسبقاً","",""
"uae_account_140000","Short-Term Deposits","140000","asset_current","False","False","","","","","",""
"uae_account_140100","Deposit - Office Rent","140100","asset_current","True","False","","uae_account_140000","","الإيداع - إيجار المكتب","",""
"uae_account_140200","Deposits - Customs","140200","asset_current","True","False","","uae_account_140000","","الودائع - الجمارك","",""
"uae_account_140300","Deposit to Immigration (Visa)","140300","asset_current","True","False","","uae_account_140000","","إيداع في مصلحة الهجرة (تأشيرة)","",""
"uae_account_140400","Deposit Others","140400","asset_current","True","False","","uae_account_140000","","الإيداعات الأخرى","",""
"uae_account_150000","Receivables","150000","asset_receivable","False","True","","","","","",""
"uae_account_150100","Accounts Receivable","150100","asset_receivable","True","True","","uae_account_150000","","الحسابات مستحقة القبض","",""
"uae_account_150200","Accounts Receivable (PoS)","150200","asset_receivable","True","True","","uae_account_150000","","الحسابات مستحقة القبض (نقطة البيع)","",""
"uae_account_150300","Post Dated Cheques Received","150300","asset_current","True","False","","uae_account_150000","","الشيكات المؤجلة التي تم استلامها","",""
"uae_account_150400","Other Receivable","150400","asset_receivable","True","True","","uae_account_150000","","المستحقات الأخرى","",""
"account_journal_payment_debit_account_id","Outstanding Receipts","150800","asset_current","True","True","","uae_account_150000","","","",""
"account_journal_payment_credit_account_id","Outstanding Payments","150900","asset_current","True","True","","uae_account_150000","","","",""
"uae_account_151000","VAT Receivable","151000","asset_receivable","True","True","True","uae_account_150000","","ضريبة القيمة المضافة مستحقة القبض","",""
"uae_account_151100","VAT Input","151100","asset_current","True","False","","uae_account_150000","","مُدخلات ضريبة القيمة المضافة","",""
"uae_account_151101","Recoverable VAT Input - Postponed Payment","151101","asset_current","True","False","","uae_account_150000","","ضريبة القيمة المضافة القابلة للاسترداد - الدفع المؤجل","",""
"uae_account_151102","Recoverable VAT Input - Reverse Charge","151102","asset_current","True","False","","uae_account_150000","","ضريبة القيمة المضافة القابلة للاسترداد - عكس الرسوم","",""
"uae_account_151200","Other Debtors","151200","asset_current","True","False","","uae_account_150000","","المدينون الآخرون","",""
"uae_account_160000","Cash & Cash Equivalents","160000","asset_cash","False","True","","","","","",""
"uae_account_160100","Main Bank Account","160100","asset_cash","True","True","","uae_account_160000","","","",""
"uae_account_160101","Cash at Bank - Main AED Operating Account","160101","asset_cash","True","True","","uae_account_160000","","الخزنة الرئيسية","",""
"uae_account_160102","Cash at Bank - Main Foreign Currency Account","160102","asset_cash","True","True","","uae_account_160000","","الخزنة الرئيسية - بالعملة الأجنبية","",""
"account_journal_suspense_account_id","Bank Suspense","160103","asset_current","True","True","","uae_account_160000","","","",""
"uae_account_160200","Main Credit Card","160200","liability_credit_card","True","False","","uae_account_160000","","بطاقات ائتمان Visa و Master","",""
"uae_account_160300","Payment Gateway Credit Card","160300","liability_credit_card","True","False","","uae_account_160000","","بوابة بطاقات الائتمان","",""
"uae_account_160400","Payment Provider Account / Digital Wallet","160400","liability_credit_card","True","False","","uae_account_160000","","حساب PayPal","",""
"uae_account_160500","Manual Visa & Master Cards","160500","liability_credit_card","True","False","","uae_account_160000","","بطاقات ائتمان Visa و Master اليدوية","",""
"uae_account_160600","Stripe Issuing","160600","asset_cash","True","True","","uae_account_160000","","","",""
"uae_account_200000","Non-current Liabilities","200000","liability_non_current","False","False","","","","","",""
"uae_account_200100","Long-term Loans and Debts","200100","liability_non_current","True","False","","uae_account_200000","","","",""
"uae_account_200101","Vehicle Loans","200101","liability_non_current","True","False","","uae_account_200000","","","",""
"uae_account_210000","Tax & Statutory Liabilities and Provisions","210000","liability_current","False","False","","","","","",""
"uae_account_210100","Accrued - Salaries","210100","liability_current","True","False","","uae_account_210000","","المستحقات - الرواتب","",""
"uae_account_210101","Accrued - Commissions","210101","liability_current","True","False","","uae_account_210000","","المستحقات - العمولات","",""
"uae_account_210102","Accrued - Staff Bonus","210102","liability_current","True","False","","uae_account_210000","","المستحقات - مكافآت الموظفين","",""
"uae_account_210103","Accrued Salaries Increment","210103","liability_current","True","False","","uae_account_210000","","الزيادة في الرواتب المستحقة","",""
"uae_account_210104","Accrued Other Personnel Cost","210104","liability_current","True","False","","uae_account_210000","","تكاليف الموظفين الأخرى المستحقة","",""
"uae_account_210200","Accrued - Office Rent","210200","liability_current","True","False","","uae_account_210000","","المستحقات - إيجار المكتب","",""
"uae_account_210300","Accrued - Utilities","210300","liability_current","True","False","","uae_account_210000","","المستحقات - المرافق","",""
