"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","description@zh_TW","fiscal_position_ids","original_tax_ids","country_id"
"","","","","","","","","","","","","base","refund","","VAT EX 20","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_tw_tax_sale_0_zr_bonded_area","0% ZR Bonded Area","","0% - Bonded Area Sales","0%","sale","","percent","0","l10n_tw_tax_group_0_vat","False","","base","invoice","","T VAT 3||VAT 82","True","0% EX F A - 保稅區銷售","l10n_tw_fiscal_position_bonded_zone_area_sales","l10n_tw_tax_sale_5_tr_vat,l10n_tw_tax_sale_5_cr_t_vat,l10n_tw_tax_sale_0_dr_vat,l10n_tw_tax_sale_0_cr_t_vat,l10n_tw_tax_sale_5_dr_vat,l10n_tw_tax_sale_0_tr_vat,l10n_tw_tax_sale_tr_vat_exempt,l10n_tw_tax_sale_cr_t_vat_exempt,l10n_tw_tax_sale_dr_vat_exempt","base.tw"
"","","","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","","","","base","refund","","Z VAT 19||VAT 82","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_tw_tax_purchase_5_vat_pc_uid","5% VAT PC UID","","5% VAT P C - Unified Invoice Deduction","5%","purchase","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","P VAT 28","True","5% VAT P C - 統一發票抵扣","l10n_tw_fiscal_position_purchases_p_c_triplicate_cash_register","l10n_tw_tax_purchase_5_vat_pc_tr,l10n_tw_tax_purchase_5_vat_pc_otbd","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_1481","P VAT 29","","","","",""
"","","","","","","","","","","","","base","refund","","P VAT 40","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_1481","P VAT 41","","","","",""
"l10n_tw_tax_purchase_5_vat_fa_uid","5% VAT FA UID","","5% VAT FA - Unified Invoice Deduction","5%","purchase","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","P VAT 30","True","5% VAT FA - 統一發票抵扣","l10n_tw_fiscal_position_purchases_f_a_triplicate_cash_register","l10n_tw_tax_purchase_5_vat_fa_tr,l10n_tw_tax_purchase_5_vat_fa_otbd","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_1481","P VAT 31","","","","",""
"","","","","","","","","","","","","base","refund","","P VAT 42","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_1481","P VAT 43","","","","",""
"l10n_tw_tax_purchase_5_vat_pc_tr","5% VAT PC TR","","5% VAT P C - Triplicate Cash Register Invoice Credit","5%","purchase","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","P VAT 32","True","5% VAT P C - 三聯收銀機發票貸記","l10n_tw_fiscal_position_p_c_purchases_duplicate_cash_register","l10n_tw_tax_purchase_5_vat_pc_uid,l10n_tw_tax_purchase_5_vat_pc_otbd","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_1481","P VAT 33","","","","",""
"","","","","","","","","","","","","base","refund","","P VAT 40","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_1481","P VAT 41","","","","",""
"l10n_tw_tax_purchase_5_vat_fa_tr","5% VAT FA TR","","5% VAT F A - Triplicate Cash Register Invoice Credit","5%","purchase","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","P VAT 34","True","5% VAT FA - 三聯收銀機發票貸記","l10n_tw_fiscal_position_f_a_purchases_duplicate_cash_register","l10n_tw_tax_purchase_5_vat_fa_uid,l10n_tw_tax_purchase_5_vat_fa_otbd","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_1481","P VAT 35","","","","",""
"","","","","","","","","","","","","base","refund","","P VAT 42","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_1481","P VAT 43","","","","",""
"l10n_tw_tax_purchase_5_vat_pc_otbd","5% VAT PC OTBD","","5% VAT P C - Other Tax-Bearing Documents","5%","purchase","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","P VAT 36","True","5% VAT P C - 其他稅務文件","l10n_tw_fiscal_position_p_c_purchases_unified_invoices","l10n_tw_tax_purchase_5_vat_pc_tr,l10n_tw_tax_purchase_5_vat_pc_uid","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_1481","P VAT 37","","","","",""
"","","","","","","","","","","","","base","refund","","P VAT 40","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_1481","P VAT 41","","","","",""
"l10n_tw_tax_purchase_5_vat_fa_otbd","5% VAT FA OTBD","","5% VAT F A - Other Tax-Bearing Documents","5%","purchase","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","P VAT 38","True","5% VAT FA -其他稅務文件","l10n_tw_fiscal_position_f_a_purchases_unified_invoices","l10n_tw_tax_purchase_5_vat_fa_tr,l10n_tw_tax_purchase_5_vat_fa_uid","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_1481","P VAT 39","","","","",""
"","","","","","","","","","","","","base","refund","","P VAT 42","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_1481","P VAT 43","","","","",""
"l10n_tw_tax_purchase_imported_goods","Imported Goods","","0% Imported Tax-Exempt Goods","Imported Goods","purchase","","percent","0","l10n_tw_tax_group_vat_exempt","False","","base","invoice",""," P VAT EX 73","True","0%進口免稅商品","l10n_tw_fiscal_position_0_imported_goods","l10n_tw_tax_purchase_5_vat_pc_uid,l10n_tw_tax_purchase_5_vat_fa_uid,l10n_tw_tax_purchase_5_vat_pc_tr,l10n_tw_tax_purchase_5_vat_fa_tr,l10n_tw_tax_purchase_5_vat_pc_otbd,l10n_tw_tax_purchase_5_vat_fa_otbd","base.tw"
"","","","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","","","","base","refund",""," P VAT EX 73","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_tw_tax_purchase_foreign_services","Foreign Services","","0% Purchases of Foreign Services","Foreign Services","purchase","","percent","0","l10n_tw_tax_group_vat_exempt","False","","base","invoice",""," P VAT EX 74","True","0% 外國服務採購","l10n_tw_fiscal_position_0_purchase_of_foreign_services","l10n_tw_tax_purchase_5_vat_pc_uid,l10n_tw_tax_purchase_5_vat_fa_uid,l10n_tw_tax_purchase_5_vat_pc_tr,l10n_tw_tax_purchase_5_vat_fa_tr,l10n_tw_tax_purchase_5_vat_pc_otbd,l10n_tw_tax_purchase_5_vat_fa_otbd","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_1481","","","","","",""
"","","","","","","","","","","","","base","refund",""," P VAT EX 74","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_1481","","","","","",""
