"id","name","description"
"l10n_be_intrastat.intrastat_category_2014_01051200","01051200","Live domestic turkeys, weighing <= 185 g"
"l10n_be_intrastat.intrastat_category_2014_01051300","01051300","Live domestic ducks, weighing <= 185 g"
"l10n_be_intrastat.intrastat_category_2014_01051400","01051400","Live domestic geese, weighing <= 185 g"
"l10n_be_intrastat.intrastat_category_2014_01051500","01051500","Live domestic guinea fowls, weighing <= 185 g"
"l10n_be_intrastat.intrastat_category_2014_01059400","01059400","Live fowls of the species Gallus domesticus, weighing > 185"
"l10n_be_intrastat.intrastat_category_2014_01059910","01059910","Live domestic ducks, weighing > 185 g"
"l10n_be_intrastat.intrastat_category_2014_01059920","01059920","Live domestic geese, weighing > 185 g"
"l10n_be_intrastat.intrastat_category_2014_01059930","01059930","Live domestic turkeys, weighing > 185 g"
"l10n_be_intrastat.intrastat_category_2014_01059950","01059950","Live domestic guinea fowls, weighing > 185 g"
"l10n_be_intrastat.intrastat_category_2014_01061100","01061100","Live primates"
"l10n_be_intrastat.intrastat_category_2014_01061200","01061200","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"l10n_be_intrastat.intrastat_category_2014_01061300","01061300","Live camels and other camelids [Camelidae]"
"l10n_be_intrastat.intrastat_category_2014_01061410","01061410","Live domestic rabbits"
"l10n_be_intrastat.intrastat_category_2014_01061490","01061490","Live rabbits and hares (excl. domestic rabbits)"
"l10n_be_intrastat.intrastat_category_2014_01061900","01061900","Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
"l10n_be_intrastat.intrastat_category_2014_01062000","01062000","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
"l10n_be_intrastat.intrastat_category_2014_01063100","01063100","Live birds of prey"
"l10n_be_intrastat.intrastat_category_2014_01063200","01063200","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
"l10n_be_intrastat.intrastat_category_2014_01063300","01063300","Live ostriches, and emus [Dromaius novaehollandiae]"
"l10n_be_intrastat.intrastat_category_2014_01063910","01063910","Live pigeons"
"l10n_be_intrastat.intrastat_category_2014_01063980","01063980","Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)"
"l10n_be_intrastat.intrastat_category_2014_01064100","01064100","Live bees"
"l10n_be_intrastat.intrastat_category_2014_01064900","01064900","Live insects (excl. bees)"
"l10n_be_intrastat.intrastat_category_2014_01069000","01069000","Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
"l10n_be_intrastat.intrastat_category_2014_02011000","02011000","Carcases or half-carcases of bovine animals, fresh or chilled"
"l10n_be_intrastat.intrastat_category_2014_02012020","02012020","""Compensated"" quarters of bovine animals with bone in, fresh or chilled"
"l10n_be_intrastat.intrastat_category_2014_02012030","02012030","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled"
"l10n_be_intrastat.intrastat_category_2014_02012050","02012050","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled"
"l10n_be_intrastat.intrastat_category_2014_02012090","02012090","Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)"
"l10n_be_intrastat.intrastat_category_2014_02013000","02013000","Fresh or chilled bovine meat, boneless"
"l10n_be_intrastat.intrastat_category_2014_02021000","02021000","Frozen bovine carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02022010","02022010","Frozen ""compensated"" bovine quarters, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02022030","02022030","Frozen unseparated or separated bovine forequarters, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02022050","02022050","Frozen unseparated or separated bovine hindquarters, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02022090","02022090","Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)"
"l10n_be_intrastat.intrastat_category_2014_02023010","02023010","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece"
"l10n_be_intrastat.intrastat_category_2014_02023050","02023050","Frozen bovine boneless crop, chuck and blade and brisket cuts"
"l10n_be_intrastat.intrastat_category_2014_02023090","02023090","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)"
"l10n_be_intrastat.intrastat_category_2014_02031110","02031110","Fresh or chilled domestic swine carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02031190","02031190","Fresh or chilled non-domestic swine carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02031211","02031211","Fresh or chilled with bone in, domestic swine hams and cuts thereof"
"l10n_be_intrastat.intrastat_category_2014_02031219","02031219","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof"
"l10n_be_intrastat.intrastat_category_2014_02031290","02031290","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine"
"l10n_be_intrastat.intrastat_category_2014_02031911","02031911","Fresh or chilled fore-ends and cuts thereof of domestic swine"
"l10n_be_intrastat.intrastat_category_2014_02031913","02031913","Fresh or chilled loins and cuts thereof of domestic swine"
"l10n_be_intrastat.intrastat_category_2014_02031915","02031915","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine"
"l10n_be_intrastat.intrastat_category_2014_02031955","02031955","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02031959","02031959","Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02031990","02031990","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)"
"l10n_be_intrastat.intrastat_category_2014_02032110","02032110","Frozen domestic swine carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02032190","02032190","Frozen non-domestic swine carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02032211","02032211","Frozen hams and cuts thereof of domestic swine, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02032219","02032219","Frozen shoulders and cuts thereof of domestic swine, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02032290","02032290","Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02032911","02032911","Frozen fore-ends and cuts thereof of domestic swine"
"l10n_be_intrastat.intrastat_category_2014_02032913","02032913","Frozen loins and cuts thereof of domestic swine, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02032915","02032915","Frozen bellies ""streaky"" and cuts thereof of domestic swine"
"l10n_be_intrastat.intrastat_category_2014_02032955","02032955","Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02032959","02032959","Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02032990","02032990","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in)"
"l10n_be_intrastat.intrastat_category_2014_02041000","02041000","Fresh or chilled lamb carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02042100","02042100","Fresh or chilled sheep carcases and half-carcases (excl. lambs)"
"l10n_be_intrastat.intrastat_category_2014_02042210","02042210","Fresh or chilled sheep short forequarters"
"l10n_be_intrastat.intrastat_category_2014_02042230","02042230","Fresh or chilled sheep chines and/or best ends"
"l10n_be_intrastat.intrastat_category_2014_02042250","02042250","Fresh or chilled sheep legs"
"l10n_be_intrastat.intrastat_category_2014_02042290","02042290","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"l10n_be_intrastat.intrastat_category_2014_02042300","02042300","Fresh or chilled boneless cuts of sheep"
"l10n_be_intrastat.intrastat_category_2014_02043000","02043000","Frozen lamb carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02044100","02044100","Frozen sheep carcases and half-carcases (excl. lambs)"
"l10n_be_intrastat.intrastat_category_2014_02044210","02044210","Frozen sheep short forequarters"
"l10n_be_intrastat.intrastat_category_2014_02044230","02044230","Frozen sheep chines and/or best ends"
"l10n_be_intrastat.intrastat_category_2014_02044250","02044250","Frozen sheep legs"
"l10n_be_intrastat.intrastat_category_2014_02044290","02044290","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"l10n_be_intrastat.intrastat_category_2014_02044310","02044310","Frozen meat of lambs, boneless, frozen"
"l10n_be_intrastat.intrastat_category_2014_02044390","02044390","Frozen meat of sheep, boneless (excl. lamb)"
"l10n_be_intrastat.intrastat_category_2014_02045011","02045011","Fresh or chilled goat carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02045013","02045013","Fresh or chilled goat short forequarters"
"l10n_be_intrastat.intrastat_category_2014_02045015","02045015","Fresh or chilled goat chines and/or best ends"
"l10n_be_intrastat.intrastat_category_2014_02045019","02045019","Fresh or chilled legs of goat"
"l10n_be_intrastat.intrastat_category_2014_02045031","02045031","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"l10n_be_intrastat.intrastat_category_2014_02045039","02045039","Fresh or chilled boneless cuts of goat"
"l10n_be_intrastat.intrastat_category_2014_02045051","02045051","Frozen goat carcases and half-carcases"
"l10n_be_intrastat.intrastat_category_2014_02045053","02045053","Frozen goat short forequarters"
"l10n_be_intrastat.intrastat_category_2014_02045055","02045055","Frozen goat chines and/or best ends"
"l10n_be_intrastat.intrastat_category_2014_02045059","02045059","Frozen goat legs"
"l10n_be_intrastat.intrastat_category_2014_02045071","02045071","Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"l10n_be_intrastat.intrastat_category_2014_02045079","02045079","Frozen boneless cuts of goat"
"l10n_be_intrastat.intrastat_category_2014_02050020","02050020","Fresh or chilled meat of horses, asses, mules or hinnies"
"l10n_be_intrastat.intrastat_category_2014_02050080","02050080","Frozen meat of horses, asses, mules or hinnies"
"l10n_be_intrastat.intrastat_category_2014_02061010","02061010","Fresh or chilled edible bovine offal for manufacture of pharmaceutical products"
"l10n_be_intrastat.intrastat_category_2014_02061095","02061095","Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)"
"l10n_be_intrastat.intrastat_category_2014_02061098","02061098","Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt)"
"l10n_be_intrastat.intrastat_category_2014_02062100","02062100","Frozen edible bovine tongues"
"l10n_be_intrastat.intrastat_category_2014_02062200","02062200","Frozen edible bovine livers"
"l10n_be_intrastat.intrastat_category_2014_02062910","02062910","Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)"
"l10n_be_intrastat.intrastat_category_2014_02062991","02062991","Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)"
"l10n_be_intrastat.intrastat_category_2014_02062999","02062999","Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)"
"l10n_be_intrastat.intrastat_category_2014_02063000","02063000","Fresh or chilled edible offal of swine"
"l10n_be_intrastat.intrastat_category_2014_02064100","02064100","Frozen edible livers of swine"
"l10n_be_intrastat.intrastat_category_2014_02064900","02064900","Edible offal of swine, frozen (excl. livers)"
"l10n_be_intrastat.intrastat_category_2014_02068010","02068010","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products"
"l10n_be_intrastat.intrastat_category_2014_02068091","02068091","Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
"l10n_be_intrastat.intrastat_category_2014_02068099","02068099","Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)"
"l10n_be_intrastat.intrastat_category_2014_02069010","02069010","Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products"
"l10n_be_intrastat.intrastat_category_2014_02069091","02069091","Frozen edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
"l10n_be_intrastat.intrastat_category_2014_02069099","02069099","Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)"
"l10n_be_intrastat.intrastat_category_2014_02071110","02071110","Fresh or chilled, plucked and gutted fowls of species Gallus domesticus, with heads and feet, known as ""83% chickens"""
"l10n_be_intrastat.intrastat_category_2014_02071130","02071130","Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
"l10n_be_intrastat.intrastat_category_2014_02071190","02071190","Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fresh or chilled fowl, not cut in pieces (excl. ""83% and 70% chickens"")"
"l10n_be_intrastat.intrastat_category_2014_02071210","02071210","Frozen fowls of species Gallus domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
"l10n_be_intrastat.intrastat_category_2014_02071290","02071290","Frozen fowls of species Gallus domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fowl, not cut in pieces (excl. ""70% chickens"")"
"l10n_be_intrastat.intrastat_category_2014_02071310","02071310","Fresh or chilled boneless cuts of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071320","02071320","Fresh or chilled halves or quarters of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071330","02071330","Fresh or chilled whole wings, with or without tips, of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071340","02071340","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071350","02071350","Fresh or chilled breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02071360","02071360","Fresh or chilled legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02071370","02071370","Fresh or chilled cuts of fowls of the species Gallus domesticus, with bone in (excl. halves and quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and parts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02071391","02071391","Fresh or chilled edible livers of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071399","02071399","Fresh or chilled edible offal of fowls of the species Gallus domesticus (excl. livers)"
"l10n_be_intrastat.intrastat_category_2014_02071410","02071410","Frozen boneless cuts of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071420","02071420","Frozen halves or quarters of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071430","02071430","Frozen whole wings, with or without tips, of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071440","02071440","Frozen backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071450","02071450","Frozen breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02071460","02071460","Frozen legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02071470","02071470","Frozen cuts of fowls of the species Gallus domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02071491","02071491","Frozen edible livers of fowls of the species Gallus domesticus"
"l10n_be_intrastat.intrastat_category_2014_02071499","02071499","Frozen edible offal of fowls of the species Gallus domesticus (excl. livers)"
"l10n_be_intrastat.intrastat_category_2014_02072410","02072410","Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
"l10n_be_intrastat.intrastat_category_2014_02072490","02072490","Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of fresh or chilled turkeys, not cut in pieces (excl. ""80% turkeys"")"
"l10n_be_intrastat.intrastat_category_2014_02072510","02072510","Frozen turkeys of the species domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
"l10n_be_intrastat.intrastat_category_2014_02072590","02072590","Frozen turkeys of the species domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of turkeys, not cut in pieces (excl. ""80% turkeys"")"
"l10n_be_intrastat.intrastat_category_2014_02072610","02072610","Fresh or chilled boneless cuts of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072620","02072620","Fresh or chilled halves or quarters of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072630","02072630","Fresh or chilled whole wings, with or without tips, of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072640","02072640","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072650","02072650","Fresh or chilled breasts and cuts thereof of turkeys of the species domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02072660","02072660","Fresh or chilled drumsticks and cuts thereof of turkeys of the species domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02072670","02072670","Fresh or chilled legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)"
"l10n_be_intrastat.intrastat_category_2014_02072680","02072680","Fresh or chilled cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02072691","02072691","Fresh or chilled edible livers of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072699","02072699","Fresh or chilled edible offal of turkeys of the species domesticus (excl. livers)"
"l10n_be_intrastat.intrastat_category_2014_02072710","02072710","Frozen boneless cuts of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072720","02072720","Frozen halves and quarters of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072730","02072730","Frozen whole wings, with or without tips, of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072740","02072740","Frozen backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072750","02072750","Frozen breasts and cuts thereof of turkeys of the species domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02072760","02072760","Frozen drumsticks and cuts thereof of turkeys of the species domesticus, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02072770","02072770","Frozen legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)"
"l10n_be_intrastat.intrastat_category_2014_02072780","02072780","Frozen cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
"l10n_be_intrastat.intrastat_category_2014_02072791","02072791","Frozen edible livers of turkeys of the species domesticus"
"l10n_be_intrastat.intrastat_category_2014_02072799","02072799","Frozen edible offal of turkeys of the species domesticus (excl. livers)"
"l10n_be_intrastat.intrastat_category_2014_02074120","02074120","Fresh or chilled domestic ducks, not cut in pieces, plucked, bled, gutted but not drawn, with heads and feet ""85 % ducks"""
"l10n_be_intrastat.intrastat_category_2014_02074130","02074130","Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzard ""70 % ducks"""
"l10n_be_intrastat.intrastat_category_2014_02074180","02074180","Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented"
"l10n_be_intrastat.intrastat_category_2014_02074230","02074230","Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards ""70 % ducks"""
"l10n_be_intrastat.intrastat_category_2014_02074280","02074280","Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented"
"l10n_be_intrastat.intrastat_category_2014_02074300","02074300","Fatty livers of domestic ducks, fresh or chilled"
"l10n_be_intrastat.intrastat_category_2014_02074410","02074410","Fresh or chilled cuts of domestic ducks, boneless"
"l10n_be_intrastat.intrastat_category_2014_02074421","02074421","Fresh or chilled halves or quarters of domestic ducks"
"l10n_be_intrastat.intrastat_category_2014_02074431","02074431","Fresh or chilled whole wings of domestic ducks"
"l10n_be_intrastat.intrastat_category_2014_02074441","02074441","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks"
"l10n_be_intrastat.intrastat_category_2014_02074451","02074451","Fresh or chilled breasts and cuts thereof, of domestic ducks, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02074461","02074461","Fresh or chilled legs and cuts thereof, of domestic ducks, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02074471","02074471","Fresh or chilled paletots of domestic ducks, with bone in"
"l10n_be_intrastat.intrastat_category_2014_02074481","02074481","Fresh or chilled cuts of domestic ducks, with bone in, n.e.s."
"l10n_be_intrastat.intrastat_category_2014_02074491","02074491","Fresh or chilled livers of domestic ducks (excl. fatty)"
"l10n_be_intrastat.intrastat_category_2014_02074499","02074499","Fresh or chilled edible offal of domestic ducks (excl. livers)"
"l10n_be_intrastat.intrastat_category_2014_02074510","02074510","Frozen cuts of domestic ducks, boneless"
"l10n_be_intrastat.intrastat_category_2014_02074521","02074521","Frozen halves or quarters of domestic ducks"
"l10n_be_intrastat.intrastat_category_2014_02074531","02074531","Frozen whole wings of domestic ducks"
"l10n_be_intrastat.intrastat_category_2014_02074541","02074541","Frozen  backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks"
"l10n_be_intrastat.intrastat_category_2014_02074551","02074551","Frozen breasts and cuts thereof, of domestic ducks, with bone in"
