code,id,name,sign,notprintable,parent_id:id
R-IVA >> 15*16 - RS - nodesc-vd,atctn_r_iva_e_0240_rs_nodesc_DV,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - nodescontable - El Valor devolucionado,,,atctn_r_iva_e_0240_rs_nodesc
R-IVA >> 05*16,atctn_r_iva_e_0075,Retenciones >> 0.05*0.16 = 0.0075,,,atctn_r_iva_e
R-IVA >> 05*16 - RC,atctn_r_iva_e_0075_rc,Retenciones >> 0.05*0.16 = 0.0075 - regimen commun,,,atctn_r_iva_e_0075
R-IVA >> 05*16 - RC-b,atctn_r_iva_e_0075_rc_B,Retenciones >> 0.05*0.16 = 0.0075 - regimen commun - La Base,,,atctn_r_iva_e_0075_rc
R-IVA >> 05*16 - RC-v,atctn_r_iva_e_0075_rc_V,Retenciones >> 0.05*0.16 = 0.0075 - regimen commun - El Valor,,,atctn_r_iva_e_0075_rc
R-IVA >> 05*16 - RC-bd,atctn_r_iva_e_0075_rc_DB,Retenciones >> 0.05*0.16 = 0.0075 - regimen commun - La Base devolucionada,,,atctn_r_iva_e_0075_rc
R-IVA >> 05*16 - RC-vd,atctn_r_iva_e_0075_rc_DV,Retenciones >> 0.05*0.16 = 0.0075 - regimen commun - El Valor devolucionado,,,atctn_r_iva_e_0075_rc
R-IVA >> 05*16 - RS,atctn_r_iva_e_0075_rs,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado,,,atctn_r_iva_e_0075
R-IVA >> 05*16 - RS - directo,atctn_r_iva_e_0075_rs_directo,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - directo,,,atctn_r_iva_e_0075_rs
R-IVA >> 05*16 - RS - directo-b,atctn_r_iva_e_0075_rs_directo_B,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - directo - La Base,,,atctn_r_iva_e_0075_rs_directo
R-IVA >> 05*16 - RS - directo-v,atctn_r_iva_e_0075_rs_directo_V,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - directo - El Valor,,,atctn_r_iva_e_0075_rs_directo
R-IVA >> 05*16 - RS - directo-bd,atctn_r_iva_e_0075_rs_directo_DB,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - directo - La Base devolucionada,,,atctn_r_iva_e_0075_rs_directo
R-IVA >> 05*16 - RS - directo-vd,atctn_r_iva_e_0075_rs_directo_DV,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - directo - El Valor devolucionado,,,atctn_r_iva_e_0075_rs_directo
R-IVA >> 05*16 - RS  - commun,atctn_r_iva_e_0075_rs_commun,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - commun/proportional,,,atctn_r_iva_e_0075_rs
R-IVA >> 05*16 - RS - commun-b,atctn_r_iva_e_0075_rs_commun_B,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - commun/proportional - La Base,,,atctn_r_iva_e_0075_rs_commun
R-IVA >> 05*16 - RS - commun-v,atctn_r_iva_e_0075_rs_commun_V,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - commun/proportional - El Valor,,,atctn_r_iva_e_0075_rs_commun
R-IVA >> 05*16 - RS - commun-bd,atctn_r_iva_e_0075_rs_commun_DB,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - commun/proportional - La Base devolucionada,,,atctn_r_iva_e_0075_rs_commun
R-IVA >> 05*16 - RS - commun-vd,atctn_r_iva_e_0075_rs_commun_DV,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - commun/proportional - El Valor devolucionado,,,atctn_r_iva_e_0075_rs_commun
R-IVA >> 05*16 - RS  - nodesc,atctn_r_iva_e_0075_rs_nodesc,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - nodescontable,,,atctn_r_iva_e_0075_rs
R-IVA >> 05*16 - RS - nodesc-b,atctn_r_iva_e_0075_rs_nodesc_B,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - nodescontable - La Base,,,atctn_r_iva_e_0075_rs_nodesc
R-IVA >> 05*16 - RS - nodesc-v,atctn_r_iva_e_0075_rs_nodesc_V,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - nodescontable - El Valor,,,atctn_r_iva_e_0075_rs_nodesc
R-IVA >> 05*16 - RS - nodesc-bd,atctn_r_iva_e_0075_rs_nodesc_DB,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - nodescontable - La Base devolucionada,,,atctn_r_iva_e_0075_rs_nodesc
R-IVA >> 05*16 - RS - nodesc-vd,atctn_r_iva_e_0075_rs_nodesc_DV,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado - nodescontable - El Valor devolucionado,,,atctn_r_iva_e_0075_rs_nodesc
R-IVA >> 16,atctn_r_iva_e_1600,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado,,,atctn_r_iva_e
R-IVA >> 16 - directo,atctn_r_iva_e_1600_directo,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - directo,,,atctn_r_iva_e_1600
R-IVA >> 16 - directo-b,atctn_r_iva_e_1600_directo_B,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - directo - La Base,,,atctn_r_iva_e_1600_directo
R-IVA >> 16 - directo-v,atctn_r_iva_e_1600_directo_V,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - directo - El Valor,,,atctn_r_iva_e_1600_directo
R-IVA >> 16 - directo-bd,atctn_r_iva_e_1600_directo_DB,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - directo - La Base devolucionada,,,atctn_r_iva_e_1600_directo
R-IVA >> 16 - directo-vd,atctn_r_iva_e_1600_directo_DV,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - directo - El Valor devolucionado,,,atctn_r_iva_e_1600_directo
R-IVA >> 16 - commun,atctn_r_iva_e_1600_commun,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - commun/proportional,,,atctn_r_iva_e_1600
R-IVA >> 16 - commun-b,atctn_r_iva_e_1600_commun_B,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - commun/proportial - La Base,,,atctn_r_iva_e_1600_commun
R-IVA >> 16 - commun-v,atctn_r_iva_e_1600_commun_V,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - commun/proportial - El Valor,,,atctn_r_iva_e_1600_commun
R-IVA >> 16 - commun-bd,atctn_r_iva_e_1600_commun_DB,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - commun/proportial - La Base devolucionada,,,atctn_r_iva_e_1600_commun
R-IVA >> 16 - commun-vd,atctn_r_iva_e_1600_commun_DV,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - commun/proportial - El Valor devolucionado,,,atctn_r_iva_e_1600_commun
R-IVA >> 16 - nodesc,atctn_r_iva_e_1600_nodesc,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - nodescontable,,,atctn_r_iva_e_1600
R-IVA >> 16 - nodesc-b,atctn_r_iva_e_1600_nodesc_B,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - nodescontable - La Base,,,atctn_r_iva_e_1600_nodesc
R-IVA >> 16 - nodesc-v,atctn_r_iva_e_1600_nodesc_V,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - nodescontable - El Valor,,,atctn_r_iva_e_1600_nodesc
R-IVA >> 16 - nodesc-bd,atctn_r_iva_e_1600_nodesc_DB,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - nodescontable - La Base devolucionada,,,atctn_r_iva_e_1600_nodesc
R-IVA >> 16 - nodesc-vd,atctn_r_iva_e_1600_nodesc_DV,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado - nodescontable - El Valor devolucionado,,,atctn_r_iva_e_1600_nodesc
R-IVA <<,atctn_r_iva_t,Retenciones de IVA practicadas por un tercero,,,atctn_r_iva
R-IVA << 15*16,atctn_r_iva_t_0240,Retenciones << 0.15*0.16 = 0.024,,,atctn_r_iva_t
R-IVA << 15*16-b,atctn_r_iva_t_0240_B,Retenciones << 0.15*0.16 = 0.024 - La Base,,,atctn_r_iva_t_0240
R-IVA << 15*16-v,atctn_r_iva_t_0240_V,Retenciones << 0.15*0.16 = 0.024 - El Valor,,,atctn_r_iva_t_0240
R-IVA << 15*16-bd,atctn_r_iva_t_0240_DB,Retenciones << 0.15*0.16 = 0.024 - La Base devolucionada,,,atctn_r_iva_t_0240
R-IVA << 15*16-vd,atctn_r_iva_t_0240_DV,Retenciones << 0.15*0.16 = 0.024 - El Valor devolucionado,,,atctn_r_iva_t_0240
R-IVA << 05*16,atctn_r_iva_t_0075,Retenciones << 0.05*0.16 = 0.0075,,,atctn_r_iva_t
R-IVA << 05*16-b,atctn_r_iva_t_0075_B,Retenciones << 0.05*0.16 = 0.0075 - La Base,,,atctn_r_iva_t_0075
R-IVA << 05*16-v,atctn_r_iva_t_0075_V,Retenciones << 0.05*0.16 = 0.0075 - El Valor,,,atctn_r_iva_t_0075
R-IVA << 05*16-bd,atctn_r_iva_t_0075_DB,Retenciones << 0.05*0.16 = 0.0075 - La Base devolucionada,,,atctn_r_iva_t_0075
R-IVA << 05*16-vd,atctn_r_iva_t_0075_DV,Retenciones << 0.05*0.16 = 0.0075 - El Valor devolucionado,,,atctn_r_iva_t_0075
IVA,atctn_iva,Impuesto al Valor Agregado,,,atctn_root
CERV,atctn_iva_cerv,Juego de suerte y azar,,,atctn_iva
CERV-b,atctn_iva_cerv_B,Juego de suerte y azar - La Base,,,atctn_iva_cerv
CERV-v,atctn_iva_cerv_V,Juego de suerte y azar - El Valor,,,atctn_iva_cerv
CERV-bd,atctn_iva_cerv_DB,Juego de suerte y azar - La Base devolucionada,,,atctn_iva_cerv
CERV-vd,atctn_iva_cerv_DV,Juego de suerte y azar - El Valor devolucionado,,,atctn_iva_cerv
AZAR,atctn_iva_azar,Cerveza importada o nacional,,,atctn_iva
AZAR-b,atctn_iva_azar_B,Cerveza importada o nacional - La Base,,,atctn_iva_azar
AZAR-v,atctn_iva_azar_V,Cerveza importada o nacional - El Valor,,,atctn_iva_azar
AZAR-bd,atctn_iva_azar_DB,Cerveza importada o nacional - La Base devolucionada,,,atctn_iva_azar
AZAR-vd,atctn_iva_azar_DV,Cerveza importada o nacional - El Valor devolucionado,,,atctn_iva_azar
AIU,atctn_iva_aiu,A.I.U. operaciones gravadas con base especial,,,atctn_iva
AIU-b,atctn_iva_aiu_B,A.I.U. operaciones gravadas con base especial - La Base,,,atctn_iva_aiu
AIU-v,atctn_iva_aiu_V,A.I.U. operaciones gravadas con base especial - El Valor,,,atctn_iva_aiu
AIU-bd,atctn_iva_aiu_DB,A.I.U. operaciones gravadas con base especial - La Base devolucionada,,,atctn_iva_aiu
AIU-vd,atctn_iva_aiu_DV,A.I.U. operaciones gravadas con base especial - El Valor devolucionado,,,atctn_iva_aiu
B05,atctn_iva_B0500,IVA Bienes 5%,,,atctn_iva
B05c,atctn_iva_B0500_C,IVA Bienes 5% - Compra,,,atctn_iva_B0500
B05c-NAT,atctn_iva_B0500_C_NAT,IVA Bienes 5% - National,,,atctn_iva_B0500_C
B05c-EXT,atctn_iva_B0500_C_EXT,IVA Bienes 5% - Exterior,,,atctn_iva_B0500_C
B05c-SCI,atctn_iva_B0500_C_SCI,IVA Bienes 5% - Sociedad Commercio International,,,atctn_iva_B0500_C
B05c-ZFR,atctn_iva_B0500_C_ZFR,IVA Bienes 5% - Zona Franca,,,atctn_iva_B0500_C
B05c-NAT - dto,atctn_iva_B0500_C_NAT_directo,IVA Bienes 5% - National - directo,,,atctn_iva_B0500_C_NAT
B05c-NAT - dto-b,atctn_iva_B0500_C_NAT_directo_B,IVA Bienes 5% - National - directo - La Base,,,atctn_iva_B0500_C_NAT_directo
B05c-NAT - dto-v,atctn_iva_B0500_C_NAT_directo_V,IVA Bienes 5% - National - directo - El Valor,,,atctn_iva_B0500_C_NAT_directo
B05c-NAT - dto-bd,atctn_iva_B0500_C_NAT_directo_DB,IVA Bienes 5% - National - directo - La Base devolucionada,,,atctn_iva_B0500_C_NAT_directo
B05c-NAT - dto-vd,atctn_iva_B0500_C_NAT_directo_DV,IVA Bienes 5% - National - directo - El Valor devolucionado,,,atctn_iva_B0500_C_NAT_directo
B05c-EXT - dto,atctn_iva_B0500_C_EXT_directo,IVA Bienes 5% - Exterior - directo,,,atctn_iva_B0500_C_EXT
B05c-EXT - dto-b,atctn_iva_B0500_C_EXT_directo_B,IVA Bienes 5% - Exterior - directo - La Base,,,atctn_iva_B0500_C_EXT_directo
B05c-EXT - dto-v,atctn_iva_B0500_C_EXT_directo_V,IVA Bienes 5% - Exterior - directo - El Valor,,,atctn_iva_B0500_C_EXT_directo
B05c-EXT - dto-bd,atctn_iva_B0500_C_EXT_directo_DB,IVA Bienes 5% - Exterior - directo - La Base devolucionada,,,atctn_iva_B0500_C_EXT_directo
B05c-EXT - dto-vd,atctn_iva_B0500_C_EXT_directo_DV,IVA Bienes 5% - Exterior - directo - El Valor devolucionado,,,atctn_iva_B0500_C_EXT_directo
B05c-SCI - dto,atctn_iva_B0500_C_SCI_directo,IVA Bienes 5% - Sociedad Commercio International - directo,,,atctn_iva_B0500_C_SCI
B05c-SCI - dto-b,atctn_iva_B0500_C_SCI_directo_B,IVA Bienes 5% - Sociedad Commercio International - directo - La Base,,,atctn_iva_B0500_C_SCI_directo
B05c-SCI - dto-v,atctn_iva_B0500_C_SCI_directo_V,IVA Bienes 5% - Sociedad Commercio International - directo - El Valor,,,atctn_iva_B0500_C_SCI_directo
B05c-SCI - dto-bd,atctn_iva_B0500_C_SCI_directo_DB,IVA Bienes 5% - Sociedad Commercio International - directo - La Base devolucionada,,,atctn_iva_B0500_C_SCI_directo
B05c-SCI - dto-vd,atctn_iva_B0500_C_SCI_directo_DV,IVA Bienes 5% - Sociedad Commercio International - directo - El Valor devolucionado,,,atctn_iva_B0500_C_SCI_directo
B05c-ZFR - dto,atctn_iva_B0500_C_ZFR_directo,IVA Bienes 5% - Zona Franca - directo,,,atctn_iva_B0500_C_ZFR
B05c-ZFR - dto-b,atctn_iva_B0500_C_ZFR_directo_B,IVA Bienes 5% - Zona Franca - directo - La Base,,,atctn_iva_B0500_C_ZFR_directo
B05c-ZFR - dto-v,atctn_iva_B0500_C_ZFR_directo_V,IVA Bienes 5% - Zona Franca - directo - El Valor,,,atctn_iva_B0500_C_ZFR_directo
B05c-ZFR - dto-bd,atctn_iva_B0500_C_ZFR_directo_DB,IVA Bienes 5% - Zona Franca - directo - La Base devolucionada,,,atctn_iva_B0500_C_ZFR_directo
B05c-ZFR - dto-vd,atctn_iva_B0500_C_ZFR_directo_DV,IVA Bienes 5% - Zona Franca - directo - El Valor devolucionado,,,atctn_iva_B0500_C_ZFR_directo
B05c-NAT - cmn,atctn_iva_B0500_C_NAT_commun,IVA Bienes 5% - National - commun,,,atctn_iva_B0500_C_NAT
B05c-NAT - cmn-b,atctn_iva_B0500_C_NAT_commun_B,IVA Bienes 5% - National - commun - La Base,,,atctn_iva_B0500_C_NAT_commun
B05c-NAT - cmn-v,atctn_iva_B0500_C_NAT_commun_V,IVA Bienes 5% - National - commun - El Valor,,,atctn_iva_B0500_C_NAT_commun
B05c-NAT - cmn-bd,atctn_iva_B0500_C_NAT_commun_DB,IVA Bienes 5% - National - commun - La Base devolucionada,,,atctn_iva_B0500_C_NAT_commun
B05c-NAT - cmn-vd,atctn_iva_B0500_C_NAT_commun_DV,IVA Bienes 5% - National - commun - El Valor devolucionado,,,atctn_iva_B0500_C_NAT_commun
B05c-EXT - cmn,atctn_iva_B0500_C_EXT_commun,IVA Bienes 5% - Exterior - commun,,,atctn_iva_B0500_C_EXT
B05c-EXT - cmn-b,atctn_iva_B0500_C_EXT_commun_B,IVA Bienes 5% - Exterior - commun - La Base,,,atctn_iva_B0500_C_EXT_commun
B05c-EXT - cmn-v,atctn_iva_B0500_C_EXT_commun_V,IVA Bienes 5% - Exterior - commun - El Valor,,,atctn_iva_B0500_C_EXT_commun
B05c-EXT - cmn-bd,atctn_iva_B0500_C_EXT_commun_DB,IVA Bienes 5% - Exterior - commun - La Base devolucionada,,,atctn_iva_B0500_C_EXT_commun
B05c-EXT - cmn-vd,atctn_iva_B0500_C_EXT_commun_DV,IVA Bienes 5% - Exterior - commun - El Valor devolucionado,,,atctn_iva_B0500_C_EXT_commun
B05c-SCI - cmn,atctn_iva_B0500_C_SCI_commun,IVA Bienes 5% - Sociedad Commercio International - commun,,,atctn_iva_B0500_C_SCI
B05c-SCI - cmn-b,atctn_iva_B0500_C_SCI_commun_B,IVA Bienes 5% - Sociedad Commercio International - commun - La Base,,,atctn_iva_B0500_C_SCI_commun
B05c-SCI - cmn-v,atctn_iva_B0500_C_SCI_commun_V,IVA Bienes 5% - Sociedad Commercio International - commun - El Valor,,,atctn_iva_B0500_C_SCI_commun
B05c-SCI - cmn-bd,atctn_iva_B0500_C_SCI_commun_DB,IVA Bienes 5% - Sociedad Commercio International - commun - La Base devolucionada,,,atctn_iva_B0500_C_SCI_commun
B05c-SCI - cmn-vd,atctn_iva_B0500_C_SCI_commun_DV,IVA Bienes 5% - Sociedad Commercio International - commun - El Valor devolucionado,,,atctn_iva_B0500_C_SCI_commun
B05c-ZFR - cmn,atctn_iva_B0500_C_ZFR_commun,IVA Bienes 5% - Zona Franca - commun,,,atctn_iva_B0500_C_ZFR
B05c-ZFR - cmn-b,atctn_iva_B0500_C_ZFR_commun_B,IVA Bienes 5% - Zona Franca - commun - La Base,,,atctn_iva_B0500_C_ZFR_commun
B05c-ZFR - cmn-v,atctn_iva_B0500_C_ZFR_commun_V,IVA Bienes 5% - Zona Franca - commun - El Valor,,,atctn_iva_B0500_C_ZFR_commun
B05c-ZFR - cmn-bd,atctn_iva_B0500_C_ZFR_commun_DB,IVA Bienes 5% - Zona Franca - commun - La Base devolucionada,,,atctn_iva_B0500_C_ZFR_commun
B05c-ZFR - cmn-vd,atctn_iva_B0500_C_ZFR_commun_DV,IVA Bienes 5% - Zona Franca - commun - El Valor devolucionado,,,atctn_iva_B0500_C_ZFR_commun
B05c-NAT - ndc,atctn_iva_B0500_C_NAT_nodesc,IVA Bienes 5% - National,,,atctn_iva_B0500_C_NAT
B05c-NAT - ndc-b,atctn_iva_B0500_C_NAT_nodesc_B,IVA Bienes 5% - National - La Base,,,atctn_iva_B0500_C_NAT_nodesc
B05c-NAT - ndc-v,atctn_iva_B0500_C_NAT_nodesc_V,IVA Bienes 5% - National - El Valor,,,atctn_iva_B0500_C_NAT_nodesc
B05c-NAT - ndc-bd,atctn_iva_B0500_C_NAT_nodesc_DB,IVA Bienes 5% - National - La Base devolucionada,,,atctn_iva_B0500_C_NAT_nodesc
B05c-NAT - ndc-vd,atctn_iva_B0500_C_NAT_nodesc_DV,IVA Bienes 5% - National - El Valor devolucionado,,,atctn_iva_B0500_C_NAT_nodesc
B05c-EXT - ndc,atctn_iva_B0500_C_EXT_nodesc,IVA Bienes 5% - Exterior,,,atctn_iva_B0500_C_EXT
B05c-EXT - ndc-b,atctn_iva_B0500_C_EXT_nodesc_B,IVA Bienes 5% - Exterior - La Base,,,atctn_iva_B0500_C_EXT_nodesc
B05c-EXT - ndc-v,atctn_iva_B0500_C_EXT_nodesc_V,IVA Bienes 5% - Exterior - El Valor,,,atctn_iva_B0500_C_EXT_nodesc
B05c-EXT - ndc-bd,atctn_iva_B0500_C_EXT_nodesc_DB,IVA Bienes 5% - Exterior - La Base devolucionada,,,atctn_iva_B0500_C_EXT_nodesc
B05c-EXT - ndc-vd,atctn_iva_B0500_C_EXT_nodesc_DV,IVA Bienes 5% - Exterior - El Valor devolucionado,,,atctn_iva_B0500_C_EXT_nodesc
B05c-SCI - ndc,atctn_iva_B0500_C_SCI_nodesc,IVA Bienes 5% - Sociedad Commercio International,,,atctn_iva_B0500_C_SCI
B05c-SCI - ndc-b,atctn_iva_B0500_C_SCI_nodesc_B,IVA Bienes 5% - Sociedad Commercio International - La Base,,,atctn_iva_B0500_C_SCI_nodesc
B05c-SCI - ndc-v,atctn_iva_B0500_C_SCI_nodesc_V,IVA Bienes 5% - Sociedad Commercio International - El Valor,,,atctn_iva_B0500_C_SCI_nodesc
B05c-SCI - ndc-bd,atctn_iva_B0500_C_SCI_nodesc_DB,IVA Bienes 5% - Sociedad Commercio International - La Base devolucionada,,,atctn_iva_B0500_C_SCI_nodesc
B05c-SCI - ndc-vd,atctn_iva_B0500_C_SCI_nodesc_DV,IVA Bienes 5% - Sociedad Commercio International - El Valor devolucionado,,,atctn_iva_B0500_C_SCI_nodesc
B05c-ZFR - ndc,atctn_iva_B0500_C_ZFR_nodesc,IVA Bienes 5% - Zona Franca,,,atctn_iva_B0500_C_ZFR
B05c-ZFR - ndc-b,atctn_iva_B0500_C_ZFR_nodesc_B,IVA Bienes 5% - Zona Franca - La Base,,,atctn_iva_B0500_C_ZFR_nodesc
B05c-ZFR - ndc-v,atctn_iva_B0500_C_ZFR_nodesc_V,IVA Bienes 5% - Zona Franca - El Valor,,,atctn_iva_B0500_C_ZFR_nodesc
B05c-ZFR - ndc-bd,atctn_iva_B0500_C_ZFR_nodesc_DB,IVA Bienes 5% - Zona Franca - La Base devolucionada,,,atctn_iva_B0500_C_ZFR_nodesc
B05c-ZFR - ndc-vd,atctn_iva_B0500_C_ZFR_nodesc_DV,IVA Bienes 5% - Zona Franca - El Valor devolucionado,,,atctn_iva_B0500_C_ZFR_nodesc
B05v,atctn_iva_B0500_V,IVA Bienes 5% - Venta,,,atctn_iva_B0500
B05v-NAT,atctn_iva_B0500_V_NAT,IVA Bienes 5% - National,,,atctn_iva_B0500_V
B05v-NAT-b,atctn_iva_B0500_V_NAT_B,IVA Bienes 5% - National - La Base,,,atctn_iva_B0500_V_NAT
B05v-NAT-v,atctn_iva_B0500_V_NAT_V,IVA Bienes 5% - National - El Valor,,,atctn_iva_B0500_V_NAT
B05v-NAT-bd,atctn_iva_B0500_V_NAT_DB,IVA Bienes 5% - National - La Base devolucionada,,,atctn_iva_B0500_V_NAT
B05v-NAT-vd,atctn_iva_B0500_V_NAT_DV,IVA Bienes 5% - National - El Valor devolucionado,,,atctn_iva_B0500_V_NAT
B05v-EXT,atctn_iva_B0500_V_EXT,IVA Bienes 5% - Exterior,,,atctn_iva_B0500_V
B05v-EXT-b,atctn_iva_B0500_V_EXT_B,IVA Bienes 5% - Exterior - La Base,,,atctn_iva_B0500_V_EXT
B05v-EXT-v,atctn_iva_B0500_V_EXT_V,IVA Bienes 5% - Exterior - El Valor,,,atctn_iva_B0500_V_EXT
B05v-EXT-bd,atctn_iva_B0500_V_EXT_DB,IVA Bienes 5% - Exterior - La Base devolucionada,,,atctn_iva_B0500_V_EXT
B05v-EXT-vd,atctn_iva_B0500_V_EXT_DV,IVA Bienes 5% - Exterior - El Valor devolucionado,,,atctn_iva_B0500_V_EXT
B05v-SCI,atctn_iva_B0500_V_SCI,IVA Bienes 5% - Sociedad Commercio International,,,atctn_iva_B0500_V
