"id","name","description","invoice_label","amount","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@sv_SE","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"purchase_goods_tax_25_NEC","25% EX G","VAT Purchase of goods outside EU 25%","25%","25.0","purchase","tax_group_25","base","invoice","se_50","","","Beskattningsunderlag vid import 25%","fp_outside_euro","purchase_tax_25_goods",""
"","","","","","","","tax","invoice","se_60||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2615","-100","","","",""
"","","","","","","","base","refund","se_50","","","","","",""
"","","","","","","","tax","refund","se_60||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2615","-100","","","",""
"purchase_goods_tax_12_NEC","12% EX G","VAT Purchase of goods outside EU 12%","12%","12.0","purchase","tax_group_12","base","invoice","se_50","","","Beskattningsunderlag vid import 12%","fp_outside_euro","purchase_tax_12_goods",""
"","","","","","","","tax","invoice","se_61||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2625","-100","","","",""
"","","","","","","","base","refund","se_50","","","","","",""
"","","","","","","","tax","refund","se_61||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2625","-100","","","",""
"purchase_goods_tax_6_NEC","6% EX G","VAT Purchase of goods outside EU 6%","6%","6.0","purchase","tax_group_6","base","invoice","se_50","","","Beskattningsunderlag vid import 6%","fp_outside_euro","purchase_tax_6_goods",""
"","","","","","","","tax","invoice","se_62||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2635","-100","","","",""
"","","","","","","","base","refund","se_50","","","","","",""
"","","","","","","","tax","refund","se_62||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2635","-100","","","",""
"purchase_services_tax_25_NEC","25% EX S","VAT Purchase of services outside EU 25%","25%","25.0","purchase","tax_group_25","base","invoice","se_22","","","Inköp av tjänster utanför EU 25%","fp_outside_euro","purchase_tax_25_services",""
"","","","","","","","tax","invoice","se_30||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2614","-100","","","",""
"","","","","","","","base","refund","se_22","","","","","",""
"","","","","","","","tax","refund","se_30||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2614","-100","","","",""
"purchase_services_tax_12_NEC","12% EX S","VAT Purchase of services outside EU 12%","12%","12.0","purchase","tax_group_12","base","invoice","se_22","","","Inköp av tjänster utanför EU 12%","fp_outside_euro","purchase_tax_12_services",""
"","","","","","","","tax","invoice","se_31||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2624","-100","","","",""
"","","","","","","","base","refund","se_22","","","","","",""
"","","","","","","","tax","refund","se_31||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2624","-100","","","",""
"purchase_services_tax_6_NEC","6% EX S","VAT Purchase of services outside EU 6%","6%","6.0","purchase","tax_group_6","base","invoice","se_22","","","Inköp av tjänster utanför EU 6%","fp_outside_euro","purchase_tax_6_services",""
"","","","","","","","tax","invoice","se_32||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2634","-100","","","",""
"","","","","","","","base","refund","se_22","","","","","",""
"","","","","","","","tax","refund","se_32||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2634","-100","","","",""
"triangular_tax_25_goods","25% EU G Tr","VAT Triangular Sale of goods 25%","25%","25.0","sale","tax_group_25","base","invoice","se_37||se_38","","","Trepartshandel - moms 25%","fp_euro_b2b","",""
"","","","","","","","tax","invoice","","a2615","","","","",""
"","","","","","","","tax","invoice","","a2645","-100","","","",""
"","","","","","","","base","refund","se_37||se_38","","","","","",""
"","","","","","","","tax","refund","","a2615","","","","",""
"","","","","","","","tax","refund","","a2645","-100","","","",""
"triangular_tax_12_goods","12% EU G Tr","VAT Triangular Sale of goods 12%","12%","12.0","sale","tax_group_12","base","invoice","se_37||se_38","","","Trepartshandel - moms 12%","fp_euro_b2b","",""
"","","","","","","","tax","invoice","","a2625","","","","",""
"","","","","","","","tax","invoice","","a2645","-100","","","",""
"","","","","","","","base","refund","se_37||se_38","","","","","",""
"","","","","","","","tax","refund","","a2625","","","","",""
"","","","","","","","tax","refund","","a2645","-100","","","",""
"triangular_tax_6_goods","6% EU G Tr","VAT Triangular Sale of goods 6%","6%","6.0","sale","tax_group_6","base","invoice","se_37||se_38","","","Trepartshandel - moms 6%","fp_euro_b2b","",""
"","","","","","","","tax","invoice","","a2635","","","","",""
"","","","","","","","tax","invoice","","a2645","-100","","","",""
"","","","","","","","base","refund","se_37||se_38","","","","","",""
"","","","","","","","tax","refund","","a2635","","","","",""
"","","","","","","","tax","refund","","a2645","-100","","","",""
"triangular_tax_0_goods","0% EU G Tr","VAT Triangular Sale of goods 0%","0%","0.0","sale","tax_group_0","base","invoice","se_37||se_38","","","Trepartshandel - momsfrei","fp_euro_b2b","","Exempt triangular transaction - Article 141 of the Directive 2006/112/EC"
"","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","base","refund","se_37||se_38","","","","","",""
"","","","","","","","tax","refund","","","","","","",""
