"id","code","type","description","supplementary_unit","start_date","expiry_date","country_id:id"
"service_code_2022_B0202","B0202","service","Renting of railway rolling material with crew for the transport of goods",,,,"base.be"
"service_code_2022_B0302","B0302","service","Renting of lorries with driver for the transport of goods",,,,"base.be"
"service_code_2022_B0402","B0402","service","Renting of inland waterway vessels with crew for the transport of goods",,,,"base.be"
"service_code_2022_F6002","F6002","service","Renting of any means of transport without driver or crew for the transport of goods",,,,"base.be"
"service_code_2022_F6302","F6302","service","Financial leasing of means of goods transport",,,,"base.be"
"service_code_2022_B3000","B3000","service","Sea transport auxiliary services",,,,"base.be"
"service_code_2022_B3100","B3100","service","Air transport auxiliary services",,,,"base.be"
"service_code_2022_B3200","B3200","service","Rail transport auxiliary services",,,,"base.be"
"service_code_2022_B3300","B3300","service","Road transport auxiliary services",,,,"base.be"
"service_code_2022_B3400","B3400","service","Auxiliary services for inland waterway transport",,,,"base.be"
"service_code_2022_B4000","B4000","service","Auxiliary services for other means of transport",,,,"base.be"
"service_code_2022_E0003","E0003","service","Repairs to transport infrastructure",,,,"base.be"
"service_code_2022_A4200","A4200","service","Purchase and sale of fuel and supplies",,,,"base.be"
"service_code_2022_A0200","A0200","service","Purchase and sale of aircraft and ships registered under a foreign flag",,,,"base.be"
"service_code_2022_D0001","D0001","service","Postal services",,,,"base.be"
"service_code_2022_F5001","F5001","service","Financial services supplied by mail handling companies",,,,"base.be"
"service_code_2022_D0002","D0002","service","Messaging services",,,,"base.be"
"service_code_2022_D1000","D1000","service","Telecommunication services",,,,"base.be"
"service_code_2022_G1001","G1001","service","Press agency services",,,,"base.be"
"service_code_2022_G1002","G1002","service","Other information services",,,,"base.be"
"service_code_2022_G0001","G0001","service","Information technology services",,,,"base.be"
"service_code_2022_F6003","F6003","service","Operational leasing and hire of computer hardware",,,,"base.be"
"service_code_2022_F6303","F6303","service","Financial leasing of computer hardware",,,,"base.be"
"service_code_2022_F5002","F5002","service","Financial services, excluding insurance-related services and those provided by mail-handling companies",,,,"base.be"
"service_code_2022_H0000","H0000","service","Commission and brokerage services relating to trade",,,,"base.be"
"service_code_2022_H1000","H1000","service","Legal services",,,,"base.be"
"service_code_2022_H1100","H1100","service","Auditing, accounting, tax advice and secretarial work",,,,"base.be"
"service_code_2022_H1500","H1500","service","Business and management consultancy, public relations",,,,"base.be"
"service_code_2022_H2000","H2000","service","Advertising, market research and opinion polls",,,,"base.be"
"service_code_2022_H7000","H7000","service","Services and operating expenses relating to associated non-resident enterprises (intercompany)",,,,"base.be"
"service_code_2022_L1000","L1000","service","Transit invoicing of severance pay etc. between associated enterprises due to restructuring",,,,"base.be"
"service_code_2022_H3000","H3000","service","Research and development services",,,,"base.be"
"service_code_2022_H4001","H4001","service","Architecture services",,,,"base.be"
"service_code_2022_H4002","H4002","service","Engineering services",,,,"base.be"
"service_code_2022_H4003","H4003","service","Scientific services and other technical services",,,,"base.be"
"service_code_2022_H5000","H5000","service","Waste processing, pollution clean-up and environmental services",,,,"base.be"
"service_code_2022_H5101","H5101","service","Agricultural and mining services",,,,"base.be"
"service_code_2022_H5102","H5102","service","On-site processing",,,,"base.be"
"service_code_2022_F6004","F6004","service","Operational leasing and hire of movable property other than means of transport and computer hardware",,,,"base.be"
"service_code_2022_F6304","F6304","service","Financial leasing of movable property other than means of transport and computer hardware",,,,"base.be"
"service_code_2022_F6005","F6005","service","Renting of immovable property in Belgium to international institutions",,,,"base.be"
"service_code_2022_F6006","F6006","service","Renting of immovable property in Belgium to non-resident companies other than international institutions",,,,"base.be"
"service_code_2022_F6007","F6007","service","Renting of immovable property abroad with non-resident counterparties",,,,"base.be"
"service_code_2022_F0001","F0001","service","Premiums for life insurance, excluding pension fund contributions",,,,"base.be"
"service_code_2022_F0002","F0002","service","Pension fund contributions",,,,"base.be"
"service_code_2022_F1000","F1000","service","Premiums for freight insurances against theft, damage or loss of cargo",,,,"base.be"
"service_code_2022_F2000","F2000","service","Premiums for all other types of direct insurance",,,,"base.be"
"service_code_2022_F3000","F3000","service","Reinsurance premiums",,,,"base.be"
"service_code_2022_F4000","F4000","service","Commission, valuations, estimates and other insurance- and reinsurance-related services",,,,"base.be"
"service_code_2022_F0100","F0100","service","Interest and capital arising from life insurances, capitalisation insurances, group insurances, savings",,,,"base.be"
"service_code_2022_F1100","F1100","service","Reimbursements and compensations relating to freight insurance",,,,"base.be"
"service_code_2022_F2100","F2100","service","Reimbursements and compensations relating to all other types of direct insurance",,,,"base.be"
"service_code_2022_F3100","F3100","service","Reinsurance claims",,,,"base.be"
"service_code_2022_G5000","G5000","service","Franchise fees and similar fees for the use of registered trade marks",,,,"base.be"
"service_code_2022_G6000","G6000","service","Royalties and licence fees for the use of patents, copyrights and industrial processes and designs and",,,,"base.be"
"service_code_2022_G7000","G7000","service","Acquisition or assignment of property rights for franchises and registered trade marks",,,,"base.be"
"service_code_2022_G8000","G8000","service","Acquisition or assignment of green electricity certificates, heath power certificates, origin warranties and",,,,"base.be"
"service_code_2022_G8500","G8500","service","Acquisition or assignment of property rights for patents, copyrights and industrial processes and designs",,,,"base.be"
"service_code_2022_H8000","H8000","service","Audio-visual and related services",,,,"base.be"
"service_code_2022_H9000","H9000","service","Educational services provided remotely or abroad",,,,"base.be"
"service_code_2022_C9000","C9000","service","Educational services delivered to non-resident students in Belgium",,,,"base.be"
"service_code_2022_H9100","H9100","service","Health-related services provided remotely or abroad",,,,"base.be"
"service_code_2022_C9100","C9100","service","Health services delivered to non-resident patients in Belgium",,,,"base.be"
"service_code_2022_H9200","H9200","service","Cultural and leisure services provided remotely or abroad",,,,"base.be"
"service_code_2022_C0304","C0304","service","Cultural and leisure services such as purchase and sale of admission tickets to non-residents for shows,",,,,"base.be"
"service_code_2022_H9300","H9300","service","Other personal services and membership fees",,,,"base.be"
"service_code_2022_E0301","E0301","service","Construction services running less than one year carried out on a site in Belgium by non-residents +",,,,"base.be"
"service_code_2022_M5001","M5001","service","Construction services running for more than one year carried out in Belgium, by non-residents +",,,,"base.be"
"service_code_2022_M9900","M9900","service","Construction work carried out on a site in Belgium by a resident contractor on behalf of a non-resident",,,,"base.be"
"service_code_2022_E0001","E0001","service","Construction services running less than one year carried out abroad by residents + subcontracting",,,,"base.be"
"service_code_2022_M1001","M1001","service","Construction services running more than one year carried out abroad by residents + subcontracting",,,,"base.be"
"service_code_2022_X0002","X0002","service","Goods dispatched from Belgium to a foreign site, the value of the goods being included in the total value",,,,"base.be"
"service_code_2022_E0002","E0002","service","Goods and services (other than sub-contracting services), purchased locally, their value being included",,,,"base.be"
"service_code_2022_M4900","M4900","service","Construction work carried out on a foreign site by a non-resident contractor on behalf of a resident",,,,"base.be"
"service_code_2022_C0000","C0000","service","Costs for participating in seminars and symposiums",,,,"base.be"
"service_code_2022_C0003","C0003","service","Sojourn expenses for business travel abroad",,,,"base.be"
"service_code_2022_C0401","C0401","service","Purchase and sale of accommodation, meals, cultural, leisure and sports services, cruises and",,,,"base.be"
"service_code_2022_C0402","C0402","service","Purchase and sale of package tours (transport + stay) abroad (for tour operators)",,,,"base.be"
"service_code_2022_B2003","B2003","service","Purchase and sale of tickets for cross-border transport of passengers by sea transport (for tour",,,,"base.be"
"service_code_2022_B2103","B2103","service","Purchase and sale of tickets for cross-border transport of passengers by air transport (for tour operators)",,,,"base.be"
"service_code_2022_B2203","B2203","service","Purchase and sale of tickets for cross-border transport of passengers by rail transport (for tour",,,,"base.be"
"service_code_2022_B2303","B2303","service","Purchase and sale of tickets for cross-border transport of passengers by road transport (for tour",,,,"base.be"
"service_code_2022_B1103","B1103","service","Purchase and sale of tickets for cross-border transport of passengers by various combined modes (for",,,,"base.be"
"service_code_2022_K9000","K9000","service","Remunerations of non-resident staff, including social security and pension fund contributions",,,,"base.be"
"service_code_2022_L3001","L3001","service","Tax, customs duty and fines paid to or refunded by non-resident public authorities",,,,"base.be"
"service_code_2022_L3002","L3002","service","VAT and excise duty settlements with abroad",,,,"base.be"
"service_code_2022_L4001","L4001","service","Indemnities for the cancellation, break-off or non-execution of contracts",,,,"base.be"
"service_code_2022_L4002","L4002","service","Indemnities for copying patents, trademarks or manufacturing processes",,,,"base.be"
"service_code_2022_L4003","L4003","service","Allowances, gifts and subsidies",,,,"base.be"
"service_code_2022_G9000","G9000","service","Transfer fees for sportsmen/women",,,,"base.be"
"service_code_2022_L0000","L0000","service","Subsidies for the financing of investment projects",,,,"base.be"
"service_code_2022_A2300","A2300","service","On contract processing of goods, if the gross transport before or after the processing of these goods has",,,,"base.be"
"service_code_2022_A2301","A2301","service","On contract processing of goods, if the gross transport before or after the processing of these goods has",,,,"base.be"
"service_code_2022_A3300","A3300","service","Maintenance and repair services, with on-site technical support",,,,"base.be"
"service_code_2022_A3301","A3301","service","Maintenance and repair services, with the goods concerned being imported or exported",,,,"base.be"
"service_code_2022_H6100","H6100","service","Services of social secretary's offices and (temporary) employment agencies",,,,"base.be"
"service_code_2022_H6200","H6200","service","Security and investigation services",,,,"base.be"
"service_code_2022_H6300","H6300","service","Translation and interpreting services",,,,"base.be"
"service_code_2022_H6400","H6400","service","Photographic services, print-outs",,,,"base.be"
"service_code_2022_H6500","H6500","service","Cleaning of buildings",,,,"base.be"
"service_code_2022_H6600","H6600","service","Call centre services",,,,"base.be"
"service_code_2022_H6700","H6700","service","Real estate management services",,,,"base.be"
"service_code_2022_X0003","X0003","service","Services not specified elsewhere",,,,"base.be"
