id,name,applicability
tag_FP_EC_15_n,FP-EC-15-n,taxes
tag_FP_EC_15_p,FP-EC-15-p,taxes
tag_FP_EC_15,FP-EC-15,taxes
tag_FP_EC_17_n,FP-EC-17-n,taxes
tag_FP_EC_17_p,FP-EC-17-p,taxes
tag_FP_EC_17,FP-EC-17,taxes
tag_FP_EC_3_n,FP-EC-3-n,taxes
tag_FP_EC_3_p,FP-EC-3-p,taxes
tag_FP_EC_3,FP-EC-3,taxes
tag_FP_EC_6_n,FP-EC-6-n,taxes
tag_FP_EC_6_p,FP-EC-6-p,taxes
tag_FP_EC_6,FP-EC-6,taxes
tag_FP_EC_8_n,FP-EC-8-n,taxes
tag_FP_EC_8_p,FP-EC-8-p,taxes
tag_FP_EC_8,FP-EC-8,taxes
tag_FP_IC_0,FP-IC-0,taxes
tag_FP_IC_12_n,FP-IC-12-n,taxes
tag_FP_IC_12_p,FP-IC-12-p,taxes
tag_FP_IC_12,FP-IC-12,taxes
tag_FP_IC_14_n,FP-IC-14-n,taxes
tag_FP_IC_14_p,FP-IC-14-p,taxes
tag_FP_IC_14,FP-IC-14,taxes
tag_FP_IC_15_n,FP-IC-15-n,taxes
tag_FP_IC_15_p,FP-IC-15-p,taxes
tag_FP_IC_15,FP-IC-15,taxes
tag_FP_IC_17_n,FP-IC-17-n,taxes
tag_FP_IC_17_p,FP-IC-17-p,taxes
tag_FP_IC_17,FP-IC-17,taxes
tag_FP_IC_3_n,FP-IC-3-n,taxes
tag_FP_IC_3_p,FP-IC-3-p,taxes
tag_FP_IC_3,FP-IC-3,taxes
tag_FP_IC_6_n,FP-IC-6-n,taxes
tag_FP_IC_6_p,FP-IC-6-p,taxes
tag_FP_IC_6,FP-IC-6,taxes
tag_FP_IC_8_n,FP-IC-8-n,taxes
tag_FP_IC_8_p,FP-IC-8-p,taxes
tag_FP_IC_8,FP-IC-8,taxes
tag_FP_PA_0,FP-PA-0,taxes
tag_FP_PA_12,FP-PA-12,taxes
tag_FP_PA_14,FP-PA-14,taxes
tag_FP_PA_15,FP-PA-15,taxes
tag_FP_PA_17,FP-PA-17,taxes
tag_FP_PA_3,FP-PA-3,taxes
tag_FP_PA_6,FP-PA-6,taxes
tag_FP_PA_8,FP-PA-8,taxes
tag_IB_EC_0,IB-EC-0,taxes
tag_IB_EC_12_n,IB-EC-12-n,taxes
tag_IB_EC_12_p,IB-EC-12-p,taxes
tag_IB_EC_12,IB-EC-12,taxes
tag_IB_EC_14_n,IB-EC-14-n,taxes
tag_IB_EC_14_p,IB-EC-14-p,taxes
tag_IB_EC_14,IB-EC-14,taxes
tag_IB_EC_15_n,IB-EC-15-n,taxes
tag_IB_EC_15_p,IB-EC-15-p,taxes
tag_IB_EC_15,IB-EC-15,taxes
tag_IB_EC_17_n,IB-EC-17-n,taxes
tag_IB_EC_17_p,IB-EC-17-p,taxes
tag_IB_EC_17,IB-EC-17,taxes
tag_IB_EC_3_n,IB-EC-3-n,taxes
tag_IB_EC_3_p,IB-EC-3-p,taxes
tag_IB_EC_3,IB-EC-3,taxes
tag_IB_EC_6_n,IB-EC-6-n,taxes
tag_IB_EC_6_p,IB-EC-6-p,taxes
tag_IB_EC_6,IB-EC-6,taxes
tag_IB_EC_8_n,IB-EC-8-n,taxes
tag_IB_EC_8_p,IB-EC-8-p,taxes
tag_IB_EC_8,IB-EC-8,taxes
tag_IB_ECP_0,IB-ECP-0,taxes
tag_IB_ECP_12_n,IB-ECP-12-n,taxes
tag_IB_ECP_12_p,IB-ECP-12-p,taxes
tag_IB_ECP_12,IB-ECP-12,taxes
tag_IB_ECP_14_n,IB-ECP-14-n,taxes
tag_IB_ECP_14_p,IB-ECP-14-p,taxes
tag_IB_ECP_14,IB-ECP-14,taxes
tag_IB_ECP_15_n,IB-ECP-15-n,taxes
tag_IB_ECP_15_p,IB-ECP-15-p,taxes
tag_IB_ECP_15,IB-ECP-15,taxes
tag_IB_ECP_17_n,IB-ECP-17-n,taxes
tag_IB_ECP_17_p,IB-ECP-17-p,taxes
tag_IB_ECP_17,IB-ECP-17,taxes
tag_IB_ECP_3_n,IB-ECP-3-n,taxes
tag_IB_ECP_3_p,IB-ECP-3-p,taxes
tag_IB_ECP_3,IB-ECP-3,taxes
tag_IB_ECP_6_n,IB-ECP-6-n,taxes
tag_IB_ECP_6_p,IB-ECP-6-p,taxes
tag_IB_ECP_6,IB-ECP-6,taxes
tag_IB_ECP_8_n,IB-ECP-8-n,taxes
tag_IB_ECP_8_p,IB-ECP-8-p,taxes
tag_IB_ECP_8,IB-ECP-8,taxes
tag_IB_IC_0,IB-IC-0,taxes
tag_IB_IC_12_n,IB-IC-12-n,taxes
tag_IB_IC_12_p,IB-IC-12-p,taxes
tag_IB_IC_12,IB-IC-12,taxes
tag_IB_IC_14_n,IB-IC-14-n,taxes
tag_IB_IC_14_p,IB-IC-14-p,taxes
tag_IB_IC_14,IB-IC-14,taxes
tag_IB_IC_15_n,IB-IC-15-n,taxes
tag_IB_IC_15_p,IB-IC-15-p,taxes
tag_IB_IC_15,IB-IC-15,taxes
tag_IB_IC_17_n,IB-IC-17-n,taxes
tag_IB_IC_17_p,IB-IC-17-p,taxes
tag_IB_IC_17,IB-IC-17,taxes
tag_IB_IC_3_n,IB-IC-3-n,taxes
tag_IB_IC_3_p,IB-IC-3-p,taxes
tag_IB_IC_3,IB-IC-3,taxes
tag_IB_IC_6_n,IB-IC-6-n,taxes
tag_IB_IC_6_p,IB-IC-6-p,taxes
tag_IB_IC_6,IB-IC-6,taxes
tag_IB_IC_8_n,IB-IC-8-n,taxes
tag_IB_IC_8_p,IB-IC-8-p,taxes
tag_IB_IC_8,IB-IC-8,taxes
tag_IB_PA_0,IB-PA-0,taxes
tag_IB_PA_12,IB-PA-12,taxes
tag_IB_PA_14,IB-PA-14,taxes
tag_IB_PA_15,IB-PA-15,taxes
tag_IB_PA_17,IB-PA-17,taxes
tag_IB_PA_3,IB-PA-3,taxes
tag_IB_PA_6,IB-PA-6,taxes
tag_IB_PA_8,IB-PA-8,taxes
tag_IP_EC_0,IP-EC-0,taxes
tag_IP_EC_12_n,IP-EC-12-n,taxes
tag_IP_EC_12_p,IP-EC-12-p,taxes
tag_IP_EC_12,IP-EC-12,taxes
tag_IP_EC_14_n,IP-EC-14-n,taxes
tag_IP_EC_14_p,IP-EC-14-p,taxes
tag_IP_EC_14,IP-EC-14,taxes
tag_IP_EC_15_n,IP-EC-15-n,taxes
tag_IP_EC_15_p,IP-EC-15-p,taxes
tag_IP_EC_15,IP-EC-15,taxes
tag_IP_EC_17_n,IP-EC-17-n,taxes
tag_IP_EC_17_p,IP-EC-17-p,taxes
tag_IP_EC_17,IP-EC-17,taxes
tag_IP_EC_3_n,IP-EC-3-n,taxes
tag_IP_EC_3_p,IP-EC-3-p,taxes
tag_IP_EC_3,IP-EC-3,taxes
tag_IP_EC_6_n,IP-EC-6-n,taxes
tag_IP_EC_6_p,IP-EC-6-p,taxes
tag_IP_EC_6,IP-EC-6,taxes
tag_IP_EC_8_n,IP-EC-8-n,taxes
tag_IP_EC_8_p,IP-EC-8-p,taxes
tag_IP_EC_8,IP-EC-8,taxes
tag_IP_IC_0,IP-IC-0,taxes
tag_IP_IC_12_n,IP-IC-12-n,taxes
tag_IP_IC_12_p,IP-IC-12-p,taxes
tag_IP_IC_12,IP-IC-12,taxes
tag_IP_IC_14_n,IP-IC-14-n,taxes
tag_IP_IC_14_p,IP-IC-14-p,taxes
tag_IP_IC_14,IP-IC-14,taxes
tag_IP_IC_15_n,IP-IC-15-n,taxes
tag_IP_IC_15_p,IP-IC-15-p,taxes
tag_IP_IC_15,IP-IC-15,taxes
tag_IP_IC_17_n,IP-IC-17-n,taxes
tag_IP_IC_17_p,IP-IC-17-p,taxes
tag_IP_IC_17,IP-IC-17,taxes
tag_IP_IC_3_n,IP-IC-3-n,taxes
tag_IP_IC_3_p,IP-IC-3-p,taxes
tag_IP_IC_3,IP-IC-3,taxes
tag_IP_IC_6_n,IP-IC-6-n,taxes
tag_IP_IC_6_p,IP-IC-6-p,taxes
tag_IP_IC_6,IP-IC-6,taxes
tag_IP_IC_8_n,IP-IC-8-n,taxes
tag_IP_IC_8_p,IP-IC-8-p,taxes
tag_IP_IC_8,IP-IC-8,taxes
tag_IP_PA_0,IP-PA-0,taxes
tag_IP_PA_12,IP-PA-12,taxes
tag_IP_PA_14,IP-PA-14,taxes
tag_IP_PA_15,IP-PA-15,taxes
tag_IP_PA_17,IP-PA-17,taxes
tag_IP_PA_3,IP-PA-3,taxes
tag_IP_PA_6,IP-PA-6,taxes
tag_IP_PA_8,IP-PA-8,taxes
tag_V_ART_43_60b,V-ART-43_60b,taxes
tag_V_ART_44_56q,V-ART-44_56q,taxes
tag_VB_EC_0,VB-EC-0,taxes
tag_VB_EC_Tab,VB-EC-Tab,taxes
tag_VB_IC_0,VB-IC-0,taxes
tag_VB_IC_Tab,VB-IC-Tab,taxes
tag_VB_PA_0,VB-PA-0,taxes
tag_VB_PA_12,VB-PA-12,taxes
tag_VB_PA_14,VB-PA-14,taxes
tag_VB_PA_15,VB-PA-15,taxes
tag_VB_PA_17,VB-PA-17,taxes
tag_VB_PA_3,VB-PA-3,taxes
tag_VB_PA_6,VB-PA-6,taxes
tag_VB_PA_8,VB-PA-8,taxes
tag_VB_PA_Tab,VB-PA-Tab,taxes
tag_VB_TR_0,VB-TR-0,taxes
tag_VP_EC_0,VP-EC-0,taxes
tag_VP_IC_0,VP-IC-0,taxes
tag_VP_IC_EX,VP-IC-EX,taxes
tag_VP_PA_0,VP-PA-0,taxes
tag_VP_PA_12,VP-PA-12,taxes
tag_VP_PA_14,VP-PA-14,taxes
tag_VP_PA_15,VP-PA-15,taxes
tag_VP_PA_17,VP-PA-17,taxes
tag_VP_PA_3,VP-PA-3,taxes
tag_VP_PA_6,VP-PA-6,taxes
tag_VP_PA_8,VP-PA-8,taxes
tag_VP_PA_SANS,VP-PA-SANS,taxes
