"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@ro","fiscal_position_ids","original_tax_ids"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvad_05_s","42","VAT deductible 5% Services","VAT deductible 5% Services","5% S","5.0","percent","purchase","tax_group_tva_5","","","base","invoice","+26_1 - TAX BASE","","","TVA deductibil 5% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+26_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-26_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-26_1 - VAT","pcg_4426","","","",""
"tvad_09_s","41","VAT deductible 9% Services","VAT deductible 9% Services","9% S","9.0","percent","purchase","tax_group_tva_9","","","base","invoice","+25_1 - TAX BASE","","","TVA deductibil 9% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+25_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-25_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-25_1 - VAT","pcg_4426","","","",""
"tvad_11_s","41","VAT deductible 11% Services","VAT deductible 11% Services","11% S","11.0","percent","purchase","tax_group_tva_11","","","base","invoice","+25_1 - TAX BASE","","","TVA deductibil 11% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+25_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-25_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-25_1 - VAT","pcg_4426","","","",""
