"id","name","description","invoice_label","amount","type_tax_use","tax_group_id","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","fiscal_position_ids","original_tax_ids","tax_scope"
"","","","","","","","invoice","100","tax","","Exempt Tax","","",""
"","","","","","","","refund","100","base","","Exempt Base","","",""
"","","","","","","","refund","100","tax","","Exempt Tax","","",""
"l10n_np_purchase_goods_tax_exempt_template","Tax Exempt P Goods","","","0","purchase","tax_exempt_group","invoice","100","base","","Exempt Base","","l10n_np_purchase_goods_vat_template","consu"
"","","","","","","","invoice","100","tax","","Exempt Tax","","",""
"","","","","","","","refund","100","base","","Exempt Base","","",""
"","","","","","","","refund","100","tax","","Exempt Tax","","",""
"l10n_np_purchase_services_tax_exempt_template","Tax Exempt P Services","","","0","purchase","tax_exempt_group","invoice","100","base","","Exempt Base","","l10n_np_purchase_services_vat_template","service"
"","","","","","","","invoice","100","tax","","Exempt Tax","","",""
"","","","","","","","refund","100","base","","Exempt Base","","",""
"","","","","","","","refund","100","tax","","Exempt Tax","","",""
"l10n_np_tds_goods_purchase","1.5% TDS Goods Purchases","","","-1.5","purchase","tds_group","invoice","100","base","","","","","consu"
"","","","","","","","invoice","100","tax","","","","",""
"","","","","","","","refund","100","base","","","","",""
"","","","","","","","refund","100","tax","","","","",""
"l10n_np_tds_service","5% TDS Services","","","-5","purchase","tds_group","invoice","100","base","","","","","service"
"","","","","","","","invoice","100","tax","","","","",""
"","","","","","","","refund","100","base","","","","",""
"","","","","","","","refund","100","tax","","","","",""
"l10n_np_tds_rent_commission","10% TDS Rent/Commission","","","-10","purchase","tds_group","invoice","100","base","","","","",""
"","","","","","","","invoice","100","tax","","","","",""
"","","","","","","","refund","100","base","","","","",""
"","","","","","","","refund","100","tax","","","","",""
"l10n_np_tds_non_resident","15% TDS Non Resident","","","-15","purchase","tds_group","invoice","100","base","","","","",""
"","","","","","","","invoice","100","tax","","","","",""
"","","","","","","","refund","100","base","","","","",""
"","","","","","","","refund","100","tax","","","","",""
