id,code,name,internal_type,parent_id:id
service_type_1005,10.05,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.",normal,service_type_10
service_type_1006,10.06,Agenciamento marítimo.,normal,service_type_10
service_type_1007,10.07,Agenciamento de notícias.,normal,service_type_10
service_type_1008,10.08,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.",normal,service_type_10
service_type_1009,10.09,"Representação de qualquer natureza, inclusive comercial.",normal,service_type_10
service_type_1010,10.10,Distribuição de bens de terceiros.,normal,service_type_10
service_type_11,11,"Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.",view,
service_type_1101,11.01,"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.",normal,service_type_11
service_type_1102,11.02,"Vigilância, segurança ou monitoramento de bens e pessoas.",normal,service_type_11
service_type_1103,11.03,"Escolta, inclusive de veículos e cargas.",normal,service_type_11
service_type_1104,11.04,"Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.",normal,service_type_11
service_type_12,12,"Serviços de diversões, lazer, entretenimento e congêneres.",view,
service_type_1201,12.01,Espetáculos teatrais.,normal,service_type_12
service_type_1202,12.02,Exibições cinematográficas.,normal,service_type_12
service_type_1203,12.03,Espetáculos circenses.,normal,service_type_12
service_type_1204,12.04,Programas de auditório.,normal,service_type_12
service_type_1205,12.05,"Parques de diversões, centros de lazer e congêneres.",normal,service_type_12
service_type_1206,12.06,"Boates, taxi-dancing e congêneres.",normal,service_type_12
service_type_1207,12.07,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.",normal,service_type_12
service_type_1208,12.08,"Feiras, exposições, congressos e congêneres.",normal,service_type_12
service_type_1209,12.09,"Bilhares, boliches e diversões eletrônicas ou não.",normal,service_type_12
service_type_1210,12.10,Corridas e competições de animais.,normal,service_type_12
service_type_1211,12.11,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.",normal,service_type_12
service_type_1212,12.12,Execução de música.,normal,service_type_12
service_type_1213,12.13,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.",normal,service_type_12
service_type_1214,12.14,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.",normal,service_type_12
service_type_1215,12.15,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.",normal,service_type_12
service_type_1216,12.16,"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.",normal,service_type_12
service_type_1217,12.17,"Recreação e animação, inclusive em festas e eventos de qualquer natureza.",normal,service_type_12
service_type_13,13,"Serviços relativos a fonografia, fotografia, cinematografia e reprografia.",view,
service_type_1302,13.02,"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.",normal,service_type_13
service_type_1303,13.03,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.",normal,service_type_13
service_type_1304,13.04,"Reprografia, microfilmagem e digitalização.",normal,service_type_13
service_type_1305,13.05,"Composição gráfica, fotocomposição, clicheria, zincografia, litografia, fotolitografia.",normal,service_type_13
service_type_14,14,Serviços relativos a bens de terceiros.,view,
service_type_1401,14.01,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).",normal,service_type_14
service_type_1402,14.02,Assistência técnica.,normal,service_type_14
service_type_1403,14.03,"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).",normal,service_type_14
service_type_1404,14.04,Recauchutagem ou regeneração de pneus.,normal,service_type_14
service_type_1405,14.05,"Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação e congêneres, de objetos quaisquer.",normal,service_type_14
service_type_1406,14.06,"Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.",normal,service_type_14
service_type_1407,14.07,Colocação de molduras e congêneres.,normal,service_type_14
service_type_1408,14.08,"Encadernação, gravação e douração de livros, revistas e congêneres.",normal,service_type_14
service_type_1409,14.09,"Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.",normal,service_type_14
service_type_1410,14.10,Tinturaria e lavanderia.,normal,service_type_14
service_type_1411,14.11,Tapeçaria e reforma de estofamentos em geral.,normal,service_type_14
service_type_1412,14.12,Funilaria e lanternagem.,normal,service_type_14
service_type_1413,14.13,Carpintaria e serralheria.,normal,service_type_14
service_type_15,15,"Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.",view,
service_type_1501,15.01,"Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.",normal,service_type_15
service_type_1502,15.02,"Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.",normal,service_type_15
service_type_1503,15.03,"Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.",normal,service_type_15
service_type_1504,15.04,"Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.",normal,service_type_15
service_type_1505,15.05,"Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos–CCF ou em quaisquer outros bancos cadastrais.",normal,service_type_15
service_type_1506,15.06,"Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.",normal,service_type_15
service_type_1507,15.07,"Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.",normal,service_type_15
service_type_1508,15.08,"Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.",normal,service_type_15
service_type_1509,15.09,"Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).",normal,service_type_15
service_type_1510,15.10,"Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral.",normal,service_type_15
service_type_1511,15.11,"Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados.",normal,service_type_15
service_type_1512,15.12,"Custódia em geral, inclusive de títulos e valores mobiliários.",normal,service_type_15
service_type_1513,15.13,"Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio; emissão de registro de exportação ou de crédito; cobrança ou depósito no exterior; emissão, fornecimento e cancelamento de cheques de viagem; fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas; envio e recebimento de mensagens em geral relacionadas a operações de câmbio.",normal,service_type_15
service_type_1514,15.14,"Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.",normal,service_type_15
service_type_1515,15.15,"Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento.",normal,service_type_15
service_type_1516,15.16,"Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral.",normal,service_type_15
service_type_1517,15.17,"Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão.",normal,service_type_15
service_type_1518,15.18,"Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário.",normal,service_type_15
service_type_16,16,Serviços de transporte de natureza municipal.,view,
service_type_1601,16.01,Serviços de transporte de natureza municipal.,normal,service_type_16
service_type_17,17,"Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.",view,
service_type_1701,17.01,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.",normal,service_type_17
service_type_1702,17.02,"Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres.",normal,service_type_17
service_type_1703,17.03,"Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa.",normal,service_type_17
service_type_1704,17.04,"Recrutamento, agenciamento, seleção e colocação de mão-de-obra.",normal,service_type_17
service_type_1705,17.05,"Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.",normal,service_type_17
service_type_1706,17.06,"Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.",normal,service_type_17
service_type_1708,17.08,Franquia (franchising).,normal,service_type_17
service_type_1709,17.09,"Perícias, laudos, exames técnicos e análises técnicas.",normal,service_type_17
service_type_1710,17.10,"Planejamento, organização e administração de feiras, exposições, congressos e congêneres.",normal,service_type_17
service_type_1711,17.11,"Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS).",normal,service_type_17
service_type_1712,17.12,"Administração em geral, inclusive de bens e negócios de terceiros.",normal,service_type_17
service_type_1713,17.13,Leilão e congêneres.,normal,service_type_17
service_type_1714,17.14,Advocacia.,normal,service_type_17
service_type_1715,17.15,"Arbitragem de qualquer espécie, inclusive jurídica.",normal,service_type_17
service_type_1716,17.16,Auditoria.,normal,service_type_17
service_type_1717,17.17,Análise de Organização e Métodos.,normal,service_type_17
service_type_1718,17.18,Atuária e cálculos técnicos de qualquer natureza.,normal,service_type_17
service_type_1719,17.19,"Contabilidade, inclusive serviços técnicos e auxiliares.",normal,service_type_17
service_type_1720,17.20,Consultoria e assessoria econômica ou financeira.,normal,service_type_17
service_type_1721,17.21,Estatística.,normal,service_type_17
service_type_1722,17.22,Cobrança em geral.,normal,service_type_17
service_type_1723,17.23,"Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring).",normal,service_type_17
service_type_1724,17.24,"Apresentação de palestras, conferências, seminários e congêneres.",normal,service_type_17
service_type_18,18,Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.,view,
service_type_1801,18.01,Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.,normal,service_type_18
service_type_19,19,"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.",view,
service_type_1901,19.01,"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.",normal,service_type_19
service_type_20,20,"Serviços portuários, aeroportuários, ferroportuários, de terminais rodoviários, ferroviários e metroviários.",view,
service_type_2001,20.01,"Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres.",normal,service_type_20
service_type_2002,20.02,"Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres.",normal,service_type_20
service_type_2003,20.03,"Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive     suas operações, logística e congêneres.",normal,service_type_20
service_type_21,21,"Serviços de registros públicos, cartorários e notariais.",view,
service_type_2101,21.01,"Serviços de registros públicos, cartorários e notariais.",normal,service_type_21
service_type_22,22,Serviços de exploração de rodovia.,view,
service_type_2201,22.01,"Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços definidos em contratos, atos de concessão ou de permissão ou em normas oficiais.",normal,service_type_22
service_type_23,23,"Serviços de programação e comunicação visual, desenho industrial e congêneres.",view,
service_type_2301,23.01,"Serviços de programação e comunicação visual, desenho industrial e congêneres.",normal,service_type_23
service_type_24,24,"Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.",view,
service_type_2401,24.01,"Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.",normal,service_type_24
service_type_25,25,Serviços funerários.,view,
service_type_2501,25.01,"Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres.",normal,service_type_25
service_type_2502,25.02,Cremação de corpos e partes de corpos cadavéricos.,normal,service_type_25
service_type_2503,25.03,Planos ou convênio funerários.,normal,service_type_25
service_type_2504,25.04,Manutenção e conservação de jazigos e cemitérios.,normal,service_type_25
service_type_26,26,"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.",view,
service_type_2601,26.01,"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.",normal,service_type_26
service_type_27,27,Serviços de assistência social.,view,
service_type_2701,27.01,Serviços de assistência social.,normal,service_type_27
service_type_28,28,Serviços de avaliação de bens e serviços de qualquer natureza.,view,
service_type_2801,28.01,Serviços de avaliação de bens e serviços de qualquer natureza.,normal,service_type_28
service_type_29,29,Serviços de biblioteconomia.,view,
service_type_2901,29.01,Serviços de biblioteconomia.,normal,service_type_29
service_type_30,30,"Serviços de biologia, biotecnologia e química.",view,
service_type_3001,30.01,"Serviços de biologia, biotecnologia e química.",normal,service_type_30
service_type_31,31,"Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.",view,
service_type_3101,31.01,"Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.",normal,service_type_31
service_type_32,32,Serviços de desenhos técnicos.,view,
service_type_3201,32.01,Serviços de desenhos técnicos.,normal,service_type_32
service_type_33,33,"Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.",view,
service_type_3301,33.01,"Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.",normal,service_type_33
service_type_34,34,"Serviços de investigações particulares, detetives e congêneres.",view,
service_type_3401,34.01,"Serviços de investigações particulares, detetives e congêneres.",normal,service_type_34
service_type_35,35,"Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.",view,
service_type_3501,35.01,"Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.",normal,service_type_35
service_type_36,36,Serviços de meteorologia.,view,
service_type_3601,36.01,Serviços de meteorologia.,normal,service_type_36
service_type_37,37,"Serviços de artistas, atletas, modelos e manequins.",view,
service_type_3701,37.01,"Serviços de artistas, atletas, modelos e manequins.",normal,service_type_37
service_type_38,38,Serviços de museologia.,view,
service_type_3801,38.01,Serviços de museologia.,normal,service_type_38
service_type_39,39,Serviços de ourivesaria e lapidação.,view,
service_type_3901,39.01,Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).,normal,service_type_39
service_type_40,40,Serviços relativos a obras de arte sob encomenda.,view,
service_type_4001,40.01,Obras de arte sob encomenda.,normal,service_type_40
