"id","code","name","small_name","type_in_out","type_move","stock_move","finance_move","account_move","assent_move","ind_nfe","ind_cte","ind_comunica","ind_transp","ind_devol","ind_retor","ind_anula","ind_remes","ind_comb"
"cfop_1132","1132","Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização","Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1135","1135","Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.","Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1151","1151","Transferência para industrialização","Transferência para industrialização","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1152","1152","Transferência para comercialização","Transferência para comercialização","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1153","1153","Transferência de energia elétrica para distribuição","Transferência de energia elétrica para distribuição","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1154","1154","Transferência para utilização na prestação de serviço","Transferência para utilização na prestação de serviço","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1159","1159","Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo","Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo","in","other","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1201","1201","Devolução de venda de produção do estabelecimento","Devolução de venda de produção do estabelecimento","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1202","1202","Devolução de venda de mercadoria adquirida ou recebida de terceiros","Devolução de venda de mercadoria adquirida ou recebida de terceiros","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1203","1203","Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","in","sale_refund","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1204","1204","Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1205","1205","Anulação de valor relativo à prestação de serviço de comunicação","Anulação de valor relativo à prestação de serviço de comunicação","in","sale_refund","0","1","1","0","1","0","0","0","0","0","1","0","0"
"cfop_1206","1206","Anulação de valor relativo à prestação de serviço de transporte","Anulação de valor relativo à prestação de serviço de transporte","in","sale_refund","0","1","1","0","1","0","0","0","0","0","1","0","0"
"cfop_1207","1207","Anulação de valor relativo à venda de energia elétrica","Anulação de valor relativo à venda de energia elétrica","in","sale_refund","0","1","1","0","1","0","0","0","0","0","1","0","0"
"cfop_1208","1208","Devolução de produção do estabelecimento, remetida em transferência","Devolução de produção do estabelecimento, remetida em transferência","in","sale_refund","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1209","1209","Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência","Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência","in","sale_refund","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1212","1212","Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped)","Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped)","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1213","1213","Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.","Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.","in","sale_refund","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1214","1214","Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo.","Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo.","in","other","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1215","1215","Devolução de fornecimento de produção do estabelecimento de ato cooperativo","Devolução de fornecimento de produção do estabelecimento de ato cooperativo","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1216","1216","Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo","Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1251","1251","Compra de energia elétrica para distribuição ou comercialização","Compra de energia elétrica para distribuição ou comercialização","in","other","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1252","1252","Compra de energia elétrica por estabelecimento industrial","Compra de energia elétrica por estabelecimento industrial","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1253","1253","Compra de energia elétrica por estabelecimento comercial","Compra de energia elétrica por estabelecimento comercial","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1254","1254","Compra de energia elétrica por estabelecimento prestador de serviço de transporte","Compra de energia elétrica por estabelecimento prestador de serviço de transporte","in","purchase_service","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1255","1255","Compra de energia elétrica por estabelecimento prestador de serviço de comunicação","Compra de energia elétrica por estabelecimento prestador de serviço de comunicação","in","purchase_service","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1256","1256","Compra de energia elétrica por estabelecimento de produtor rural","Compra de energia elétrica por estabelecimento de produtor rural","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1257","1257","Compra de energia elétrica para consumo por demanda contratada","Compra de energia elétrica para consumo por demanda contratada","in","other","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1301","1301","Aquisição de serviço de comunicação para execução de serviço da mesma natureza","Aquisição de serviço de comunicação para execução de serviço da mesma natureza","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1302","1302","Aquisição de serviço de comunicação por estabelecimento industrial","Aquisição de serviço de comunicação por estabelecimento industrial","in","purchase_industry","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1303","1303","Aquisição de serviço de comunicação por estabelecimento comercial","Aquisição de serviço de comunicação por estabelecimento comercial","in","purchase_commerce","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1304","1304","Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte","Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1305","1305","Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica","Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1306","1306","Aquisição de serviço de comunicação por estabelecimento de produtor rural","Aquisição de serviço de comunicação por estabelecimento de produtor rural","in","purchase_industry","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1351","1351","Aquisição de serviço de transporte para execução de serviço da mesma natureza","Aquisição de serviço de transporte para execução de serviço da mesma natureza","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1352","1352","Aquisição de serviço de transporte por estabelecimento industrial","Aquisição de serviço de transporte por estabelecimento industrial","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1353","1353","Aquisição de serviço de transporte por estabelecimento comercial","Aquisição de serviço de transporte por estabelecimento comercial","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1354","1354","Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação","Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1355","1355","Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica","Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1356","1356","Aquisição de serviço de transporte por estabelecimento de produtor rural","Aquisição de serviço de transporte por estabelecimento de produtor rural","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1360","1360","Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte.","Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte.","in","other","0","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1401","1401","Compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária","Compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1403","1403","Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária","Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1406","1406","Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária","Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária","in","purchase_asset","1","1","1","1","1","0","0","0","0","0","0","0","0"
"cfop_1407","1407","Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária","Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária","in","purchase_ownuse","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1408","1408","Transferência para industrialização em operação com mercadoria sujeita ao regime de substituição tributária","Transferência para industrialização em operação com mercadoria sujeita ao regime de substituição tributária","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1409","1409","Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária","Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1410","1410","Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária","Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1411","1411","Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária","Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1414","1414","Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária","Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1415","1415","Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária","Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1451","1451","Entrada de animal - Sistema de Integração e Parceria Rural","Entrada de animal - Sistema de Integração e Parceria Rural","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1452","1452","Entrada de insumo - Sistema de Integração e Parceria Rural","Entrada de insumo - Sistema de Integração e Parceria Rural","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1453","1453","Retorno do animal ou da produção - Sistema de Integração e Parceria Rural","Retorno do animal ou da produção - Sistema de Integração e Parceria Rural","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1454","1454","Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural","Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural","in","return_in","0","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1455","1455","Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural","Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1456","1456","Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural","Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1501","1501","Entrada de mercadoria recebida com fim específico de exportação","Entrada de mercadoria recebida com fim específico de exportação","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1503","1503","Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento","Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento","in","other","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1504","1504","Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros","Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros","in","other","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1505","1505","Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.","Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.","in","other","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1506","1506","Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação","Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação","in","other","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1551","1551","Compra de bem para o ativo imobilizado","Compra de bem para o ativo imobilizado","in","purchase_asset","1","1","1","1","1","0","0","0","0","0","0","0","0"
"cfop_1552","1552","Transferência de bem do ativo imobilizado","Transferência de bem do ativo imobilizado","in","return_in","1","0","1","1","1","0","0","0","0","0","0","0","0"
"cfop_1553","1553","Devolução de venda de bem do ativo imobilizado","Devolução de venda de bem do ativo imobilizado","in","sale_refund","1","1","1","1","1","0","0","0","1","0","0","0","0"
"cfop_1554","1554","Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento","Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento","in","return_in","1","0","1","1","1","0","0","0","0","1","0","0","0"
"cfop_1555","1555","Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento","Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento","in","return_in","1","0","1","1","1","0","0","0","0","0","0","0","0"
"cfop_1556","1556","Compra de material para uso ou consumo","Compra de material para uso ou consumo","in","purchase_ownuse","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1557","1557","Transferência de material para uso ou consumo","Transferência de material para uso ou consumo","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1601","1601","Recebimento, por transferência, de crédito de ICMS","Recebimento, por transferência, de crédito de ICMS","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1602","1602","Recebimento, por transferência, de saldo credor de ICMS de outro estabelecimento da mesma empresa, para compensação de saldo devedor de ICMS","Recebimento, por transferência, de saldo credor de ICMS de outro estabelecimento da mesma empresa, para compensação de saldo devedor de ICMS","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1603","1603","Ressarcimento de ICMS retido por substituição tributária","Ressarcimento de ICMS retido por substituição tributária","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1604","1604","Lançamento do crédito relativo à compra de bem para o ativo imobilizado","Lançamento do crédito relativo à compra de bem para o ativo imobilizado","in","other","0","0","1","1","1","0","0","0","0","0","0","0","0"
"cfop_1605","1605","Recebimento, por transferência, de saldo devedor de ICMS de outro estabelecimento da mesma empresa.","Recebimento, por transferência, de saldo devedor de ICMS de outro estabelecimento da mesma empresa.","in","other","0","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1651","1651","Compra de combustível ou lubrificante para industrialização subseqüente","Compra de combustível ou lubrificante para industrialização subseqüente","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","2"
"cfop_1652","1652","Compra de combustível ou lubrificante para comercialização","Compra de combustível ou lubrificante para comercialização","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","2"
"cfop_1653","1653","Compra de combustível ou lubrificante por consumidor ou usuário final","Compra de combustível ou lubrificante por consumidor ou usuário final","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","2"
"cfop_1657","1657","Retorno de remessa de combustível ou lubrificante para venda fora do estabelecimento","Retorno de remessa de combustível ou lubrificante para venda fora do estabelecimento","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","2"
"cfop_1658","1658","Transferência de combustível e lubrificante para industrialização","Transferência de combustível e lubrificante para industrialização","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","2"
"cfop_1659","1659","Transferência de combustível e lubrificante para comercialização","Transferência de combustível e lubrificante para comercialização","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","2"
"cfop_1660","1660","Devolução de venda de combustível ou lubrificante destinado à industrialização subseqüente","Devolução de venda de combustível ou lubrificante destinado à industrialização subseqüente","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","2"
"cfop_1661","1661","Devolução de venda de combustível ou lubrificante destinado à comercialização","Devolução de venda de combustível ou lubrificante destinado à comercialização","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","2"
"cfop_1662","1662","Devolução de venda de combustível ou lubrificante destinado a consumidor ou usuário final","Devolução de venda de combustível ou lubrificante destinado a consumidor ou usuário final","in","sale_refund","1","1","1","0","1","0","0","0","1","0","0","0","2"
"cfop_1663","1663","Entrada de combustível ou lubrificante para armazenagem","Entrada de combustível ou lubrificante para armazenagem","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","1"
"cfop_1664","1664","Retorno de combustível ou lubrificante remetido para armazenagem","Retorno de combustível ou lubrificante remetido para armazenagem","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","1"
"cfop_1901","1901","Entrada para industrialização por encomenda","Entrada para industrialização por encomenda","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1902","1902","Retorno de mercadoria remetida para industrialização por encomenda","Retorno de mercadoria remetida para industrialização por encomenda","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1903","1903","Entrada de mercadoria remetida para industrialização e não aplicada no referido processo","Entrada de mercadoria remetida para industrialização e não aplicada no referido processo","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1904","1904","Retorno de remessa para venda fora do estabelecimento","Retorno de remessa para venda fora do estabelecimento","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1905","1905","Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral","Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1906","1906","Retorno de mercadoria remetida para depósito fechado ou armazém geral","Retorno de mercadoria remetida para depósito fechado ou armazém geral","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1907","1907","Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral","Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral","in","return_in","0","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1908","1908","Entrada de bem por conta de contrato de comodato ou locação","Entrada de bem por conta de contrato de comodato ou locação","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1909","1909","Retorno de bem remetido por conta de contrato de comodato ou locação","Retorno de bem remetido por conta de contrato de comodato ou locação","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1910","1910","Entrada de bonificação, doação ou brinde","Entrada de bonificação, doação ou brinde","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1911","1911","Entrada de amostra grátis","Entrada de amostra grátis","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1912","1912","Entrada de mercadoria ou bem recebido para demonstração","Entrada de mercadoria ou bem recebido para demonstração","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1913","1913","Retorno de mercadoria ou bem remetido para demonstração","Retorno de mercadoria ou bem remetido para demonstração","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1914","1914","Retorno de mercadoria ou bem remetido para exposição ou feira","Retorno de mercadoria ou bem remetido para exposição ou feira","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1915","1915","Entrada de mercadoria ou bem recebido para conserto ou reparo","Entrada de mercadoria ou bem recebido para conserto ou reparo","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1916","1916","Retorno de mercadoria ou bem remetido para conserto ou reparo","Retorno de mercadoria ou bem remetido para conserto ou reparo","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1917","1917","Entrada de mercadoria recebida em consignação mercantil ou industrial","Entrada de mercadoria recebida em consignação mercantil ou industrial","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1918","1918","Devolução de mercadoria remetida em consignação mercantil ou industrial","Devolução de mercadoria remetida em consignação mercantil ou industrial","in","return_in","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1919","1919","Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial","Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial","in","return_in","1","0","1","0","1","0","0","0","1","0","0","0","0"
"cfop_1920","1920","Entrada de vasilhame ou sacaria","Entrada de vasilhame ou sacaria","in","return_in","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1921","1921","Retorno de vasilhame ou sacaria","Retorno de vasilhame ou sacaria","in","return_in","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1922","1922","Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro","Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro","in","purchase_commerce","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1923","1923","Entrada de mercadoria recebida do vendedor remetente, em venda à ordem","Entrada de mercadoria recebida do vendedor remetente, em venda à ordem","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1924","1924","Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1925","1925","Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","in","other","1","0","1","0","1","0","0","0","0","1","0","0","0"
"cfop_1926","1926","Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação","Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
