"id","code","name","ncms","ncm_exception","not_in_ncms","piscofins_type","tax_pis_id:id","tax_pis_st_id:id","tax_cofins_id:id","tax_cofins_st_id:id"
"tax_piscofins_monofasico_37","421","Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 Volume de embalagem até 500 ml. Vendas às demais pessoas jurídicas",,,,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_38","422","Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 Volume de embalagem acima de 500 ml. Vendas às demais pessoas jurídicas",,,,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_39","423","Cervejas de malte Volume de embalagem até 400 ml. Vendas a PJ varejista ou consumidor final","2203",,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_40","424","Cervejas de malte Volume de embalagem acima de 400 ml. Vendas a PJ varejista ou consumidor final","2203",,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_41","425","Cervejas de malte Volume de embalagem até 400 ml. Vendas às demais pessoas jurídicas","2203",,,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_42","426","Cervejas de malte Volume de embalagem acima de 400 ml. Vendas às demais pessoas jurídicas","2203",,,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_43","427","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","2203",,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_44","427","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","22029000","03",,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_45","428","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","22029000","03",,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_46","428","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","2203",,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_47","429","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","2203",,,"product","tax_pis_monofasico_2_09",,"tax_cofins_monofasico_9_61",
"tax_piscofins_monofasico_48","429","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","22029000","03",,"product","tax_pis_monofasico_2_09",,"tax_cofins_monofasico_9_61",
"tax_piscofins_monofasico_49","430","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","2203",,,"product","tax_pis_monofasico_2_09",,"tax_cofins_monofasico_9_61",
"tax_piscofins_monofasico_50","430","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml. Vendas às pessoas jurídicas em geral (não varejistas)","22029000","03",,"product","tax_pis_monofasico_2_09",,"tax_cofins_monofasico_9_61",
"tax_piscofins_monofasico_51","431","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","22029000","03",,"product","tax_pis_monofasico_1_49",,"tax_cofins_monofasico_6_83",
"tax_piscofins_monofasico_52","431","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","2203",,,"product","tax_pis_monofasico_1_49",,"tax_cofins_monofasico_6_83",
"tax_piscofins_monofasico_53","432","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","2203",,,"product","tax_pis_monofasico_1_49",,"tax_cofins_monofasico_6_83",
"tax_piscofins_monofasico_54","432","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção até 5.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","22029000","03",,"product","tax_pis_monofasico_1_49",,"tax_cofins_monofasico_6_83",
"tax_piscofins_monofasico_55","433","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","22029000","03",,"product","tax_pis_monofasico_1_67",,"tax_cofins_monofasico_7_69",
"tax_piscofins_monofasico_56","433","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem até 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","2203",,,"product","tax_pis_monofasico_1_67",,"tax_cofins_monofasico_7_69",
"tax_piscofins_monofasico_57","434","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","22029000","03",,"product","tax_pis_monofasico_1_67",,"tax_cofins_monofasico_7_69",
"tax_piscofins_monofasico_58","434","Cervejas e chopes especiais classificados nos códigos 22.02.90.00 Ex 03 e 22.03 da TIPI (pessoa jurídica com volume total de produção acima de 5.000.000 e até 10.000.000 de litros, no ano-calendário anterior) - Volume de embalagem acima de 400 ml.Vendas às pessoas jurídicas varejistas ou consumidor final","2203",,,"product","tax_pis_monofasico_1_67",,"tax_cofins_monofasico_7_69",
"tax_pis_cofins_value_1","101","Gasolinas, Exceto Gasolina de Aviação","27101159;27101259",,,"product","tax_pis_value_141_10",,"tax_cofins_value_651_40",
"tax_pis_cofins_value_2","102","Óleo Diesel","27101921",,,"product","tax_pis_value_62_61",,"tax_cofins_value_288_89",
"tax_pis_cofins_value_3","103","Gás Liqüefeito de Petróleo - GLP","27111910",,,"product","tax_pis_value_29_8500",,"tax_cofins_value_137_8500",
"tax_pis_cofins_value_4","104","Querosene de Aviação","27101911",,,"product","tax_pis_value_12_6900",,"tax_cofins_value_58_5100",
"tax_pis_cofins_value_5","105","Correntes Destinadas à Formulação de Gasolinas",,,,"product","tax_pis_value_141_10",,"tax_cofins_value_651_40",
"tax_pis_cofins_value_6","106","Correntes Destinadas Exclusivamente à Formulação de Óleo Diesel",,,,"product","tax_pis_value_62_61",,"tax_cofins_value_288_89",
"tax_pis_cofins_value_7","107","Nafta Petroquímica Destinada à Formulação de Gasolina ou de Óleo Diesel",,,,"product","tax_pis_value_46_5800",,"tax_cofins_value_215_0200",
"tax_pis_cofins_value_8","108","Nafta Petroquímica Destinada à Formulação Exclusivamente de Óleo Diesel",,,,"product","tax_pis_value_26_3600",,"tax_cofins_value_121_6400",
"tax_pis_cofins_value_9","109","Biodiesel","38249029;38260000",,,"product","tax_pis_value_26_41",,"tax_cofins_value_121_59",
"tax_pis_cofins_value_10","109","Biodiesel","38249029;38260000","01",,"product","tax_pis_value_26_41",,"tax_cofins_value_121_59",
"tax_pis_cofins_value_11","110","Biodiesel de Matérias-Primas Produzidas nas Regiões Norte, Nordeste e Semi-Árido","38249029;38260000",,,"product","tax_pis_value_22_48",,"tax_cofins_value_103_51",
"tax_pis_cofins_value_12","110","Biodiesel de Matérias-Primas Produzidas nas Regiões Norte, Nordeste e Semi-Árido","38249029;38260000","01",,"product","tax_pis_value_22_48",,"tax_cofins_value_103_51",
"tax_pis_cofins_value_13","111","Biodiesel de Matérias-Primas Adquiridas de Agricultor Familiar Enquadrado no PRONAF","38249029;38260000",,,"product","tax_pis_value_10_39",,"tax_cofins_value_47_85",
"tax_pis_cofins_value_14","111","Biodiesel de Matérias-Primas Adquiridas de Agricultor Familiar Enquadrado no PRONAF","38249029;38260000","01",,"product","tax_pis_value_10_39",,"tax_cofins_value_47_85",
"tax_pis_cofins_value_15","112","Álcool, Inclusive para Fins Carburantes - Venda por Produtor ou Importador","22071000;22072010;220710;2207201",,,"product","tax_pis_value_23_38",,"tax_cofins_value_107_52",
"tax_pis_cofins_value_16","112","Álcool, Inclusive para Fins Carburantes - Venda por Produtor ou Importador","22089000","01",,"product","tax_pis_value_23_38",,"tax_cofins_value_107_52",
"tax_pis_cofins_value_17","113","Álcool, Inclusive para Fins Carburantes - Venda por Distribuidor ou Comerciante Não Varejista","22071000;22072010;220710;2207201",,,"product","tax_pis_value_19_81",,"tax_cofins_value_91_10",
"tax_pis_cofins_value_18","113","Álcool, Inclusive para Fins Carburantes - Venda por Distribuidor ou Comerciante Não Varejista","22089000","01",,"product","tax_pis_value_19_81",,"tax_cofins_value_91_10",
"tax_pis_cofins_value_19","114","Crédito referente à aquisição de álcool anidro para adição à gasolina, no caso de venda realizada por produtor ou importador",,,,"product","tax_pis_value_3_21",,"tax_cofins_value_14_79",
"tax_pis_cofins_value_20","115","Crédito referente à aquisição de álcool anidro para adição à gasolina, no caso de venda realizada por distribuidor",,,,"product","tax_pis_value_16_07",,"tax_cofins_value_73_93",
"tax_pis_cofins_value_21","611","Refrigerantes - PET Descartável - Até 350 ml","22021000",,,"product","tax_pis_value_0_0341",,"tax_cofins_value_0_157",
"tax_pis_cofins_value_22","612","Refrigerantes - PET Retornável - De 351 a 600 ml","22021000",,,"product","tax_pis_value_0_0292",,"tax_cofins_value_0_1346",
"tax_pis_cofins_value_23","613","Refrigerantes - PET Retornável - De 601 a 1000 ml","22021000",,,"product","tax_pis_value_0_0211",,"tax_cofins_value_0_0972",
"tax_pis_cofins_value_24","614","Refrigerantes - PET Retornável - De 1001 a 1500 ml","22021000",,,"product","tax_pis_value_0_0186",,"tax_cofins_value_0_0854",
"tax_pis_cofins_value_25","615","Refrigerantes - PET Retornável - De 1501 a 2200 ml","22021000",,,"product","tax_pis_value_0_0174",,"tax_cofins_value_0_0801",
"tax_pis_cofins_value_26","616","Refrigerantes - PET Retornável - Acima de 2200 ml","22021000",,,"product","tax_pis_value_0_0226",,"tax_cofins_value_0_1041",
"tax_pis_cofins_value_27","617","Refrigerantes - PET Retornável - Todas","22021000",,,"product","tax_pis_value_0_0253",,"tax_cofins_value_0_1164",
"tax_pis_cofins_value_28","618","Refrigerantes - Vidro - Até 350 ml","22021000",,,"product","tax_pis_value_0_0223",,"tax_cofins_value_0_1026",
"tax_pis_cofins_value_29","619","Refrigerantes - Vidro - De 351 a 600 ml","22021000",,,"product","tax_pis_value_0_0125",,"tax_cofins_value_0_0578",
"tax_pis_cofins_value_30","620","Refrigerantes - Vidro - Acima de 600 ml","22021000",,,"product","tax_pis_value_0_0122",,"tax_cofins_value_0_0563",
"tax_pis_cofins_value_31","621","Refrigerantes - Lata - Até 350 ml","22021000",,,"product","tax_pis_value_0_0338",,"tax_cofins_value_0_1555",
"tax_pis_cofins_value_32","631","Chá - PET Descartável - Até 500 ml","22021000",,,"product","tax_pis_value_0_0536",,"tax_cofins_value_0_2467",
"tax_pis_cofins_value_33","632","Chá - PET Descartável - Acima de 500 ml","22021000",,,"product","tax_pis_value_0_0243",,"tax_cofins_value_0_112",
"tax_pis_cofins_value_34","633","Chá - Copo Descartável - Todas","22021000",,,"product","tax_pis_value_0_0464",,"tax_cofins_value_0_2136",
"tax_pis_cofins_value_35","641","Refrescos - Todas - Todas","22021000","01",,"product","tax_pis_value_0_0177",,"tax_cofins_value_0_0815",
"tax_pis_cofins_value_36","651","Isotônico - Todas - Todas","22029000","04",,"product","tax_pis_value_0_0177",,"tax_cofins_value_0_0815",
"tax_pis_cofins_value_37","661","Energético - PET - Até 350 ml","22029000","05",,"product","tax_pis_value_0_0909",,"tax_cofins_value_0_4187",
"tax_pis_cofins_value_38","662","Energético - PET - De 351 a 600 ml","22029000","05",,"product","tax_pis_value_0_065",,"tax_cofins_value_0_299",
"tax_pis_cofins_value_39","663","Energético - PET - De 601 a 1000 ml","22029000","05",,"product","tax_pis_value_0_0568",,"tax_cofins_value_0_2617",
"tax_pis_cofins_value_40","664","Energético - PET - De 1001 a 1500 ml","22029000","05",,"product","tax_pis_value_0_0503",,"tax_cofins_value_0_2318",
"tax_pis_cofins_value_41","665","Energético - PET - Acima de 1500 ml","22029000","05",,"product","tax_pis_value_0_0455",,"tax_cofins_value_0_2093",
"tax_pis_cofins_value_42","666","Energético - Lata - Até 350 ml","22029000","05",,"product","tax_pis_value_0_1104",,"tax_cofins_value_0_5084",
"tax_pis_cofins_value_43","667","Energético - Lata - De 351 a 500 ml","22029000","05",,"product","tax_pis_value_0_0763",,"tax_cofins_value_0_3514",
"tax_pis_cofins_value_44","668","Energético - Lata - Acima de 500 ml","22029000","05",,"product","tax_pis_value_0_0715",,"tax_cofins_value_0_3289",
"tax_pis_cofins_value_45","671","Cerveja - Retornável - Todas","22030000",,,"product","tax_pis_value_0_0348",,"tax_cofins_value_0_1602",
"tax_pis_cofins_value_46","672","Cerveja - Descartável - Todas","22030000",,,"product","tax_pis_value_0_0371",,"tax_cofins_value_0_1709",
"tax_pis_cofins_value_47","681","Chopp - Todas - Todas","22030000","01",,"product","tax_pis_value_0_0348",,"tax_cofins_value_0_1602",
"tax_pis_cofins_st_1","101","Cigarros, de fumo (tabaco) ou dos seus sucedâneos","2402",,,"product",,"tax_pis_st_0_65",,"tax_cofins_st_3"
"tax_pis_cofins_st_2","102","Cigarrilhas","24021000",,,"product",,"tax_pis_st_0_65",,"tax_cofins_st_3"
"tax_pis_cofins_st_3","201","Motocicletas (incluídos os ciclomotores) e outros ciclos equipados com motor auxiliar, mesmo com carro lateral; carros laterais","8711",,,"product",,"tax_pis_st_0_65",,"tax_cofins_st_3"
"tax_pis_cofins_st_4","401","Álcool, inclusive para fins carburantes - Vendas por Produtor/Importador",,,,"product",,"tax_pis_st_8_57",,"tax_cofins_st_39_43"
"tax_pis_cofins_st_5","402","Álcool, inclusive para fins carburantes - Vendas por Distribuidor",,,,"product",,"tax_pis_st_21_43",,"tax_cofins_st_98_57"
"tax_pis_cofins_st_6","403","Gasolinas, Óleo Dieses e GLP",,,,"product",,,,
"tax_pis_cofins_st_7","404","Veiculos",,,,"product",,,,
"tax_pis_cofins_st_8","405","Autopeças",,,,"product",,,,
"tax_pis_cofins_st_9","406","Pneus",,,,"product",,,,
"tax_pis_cofins_st_10","407","Bebidas Frias",,,,"product",,,,
"tax_pis_cofins_st_11","408","Embalagens para bebidas Frias",,,,"product",,,,
"tax_pis_cofins_st_12","409","Artigos de Perfumaria",,,,"product",,,,
"tax_pis_cofins_0_1","101","Adubos ou fertilizantes classificados no Capítulo 31, exceto os produtos de uso veterinário, da TIPI, e suas matérias-primas",,,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_2","102","Defensivos agropecuários classificados na posição 38.08 da TIPI e suas matérias-primas",,,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_3","103","Sementes e mudas destinadas à semeadura e plantio, em conformidade com o disposto na Lei no 10.711/03, e produtos de natureza biológica utilizados em sua produção",,,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_4","104","Corretivo de solo de origem mineral classificado no Capítulo 25 da TIPI",,,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_5","105","Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas","07133319;07133329;07133399;100620;100630;110620",,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_6","106","Inoculantes agrícolas produzidos a partir de bactérias fixadoras de nitrogênio classificados no código 3002.90.99 da TIPI",,,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_7","107","Vacinas para medicina veterinária","300230",,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_8","108","Farinha, grumos e sêmolas, grãos esmagados ou em flocos, de milho, classificados, respectivamente, nos códigos 1102.20, 1103.13 e 1104.19, todos da TIPI","110220;110313",,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_9","109","Pintos de 1 (um) dia","010511",,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_10","110","Leite fluido pasteurizado ou industrializado, na forma de ultrapasteurizado,leite em pó,integral,semidesnatado ou desnatado,leite fermentado,bebidas e compostos lácteos e fórmulas infantis,assim definidas conforme previsão legal específica,destinados ao consumo humano ou utilizados na industrialização de produtos que se destinam ao consumo humano",,,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_11","111","Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão e queijo fresco não maturado",,,,"product","tax_pis_0",,"tax_cofins_0",
"tax_pis_cofins_0_12","112","Soro de leite fluido a ser empregado na industrialização de produtos destinados ao consumo humano",,,,"product","tax_pis_0",,"tax_cofins_0",
