"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","invoice_label@fr"
"","","","","","","","","","","","","tax","refund","-77T","pcg_4455","","",""
"vat_out_10_78","340","Feed for livestock and farmyard animals as well as oil cakes used in their manufacture, excluding other simple feed","10%","10% 78","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+78B","","","10% 78","Aliments destinés à l'alimentation du bétail et des animaux de basse-cour ainsi que les tourteaux servant à leur fabrication à l'exclusion des autres aliments simples"
"","","","","","","","","","","","","tax","invoice","+78T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-78B","","","",""
"","","","","","","","","","","","","tax","refund","-78T","pcg_4455","","",""
"vat_out_10_79","350","Equipment for exclusive agricultural use","10%","10% 79","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+79B","","","10% 79","Équipements à usage exclusivement agricole"
"","","","","","","","","","","","","tax","invoice","+79T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-79B","","","",""
"","","","","","","","","","","","","tax","refund","-79T","pcg_4455","","",""
"vat_out_10_85","360","Wood in logs, debarked or simply squared, cork in its natural state, firewood in bundles or sawn to short lengths and charcoal","10%","10% 85","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+85B","","","10% 85","Bois en grumes, écorcés ou simplement équarris, le liège à l'état naturel, les bois de feu en fagots ou sciés à petite longueur et le charbon de bois"
"","","","","","","","","","","","","tax","invoice","+85T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-85B","","","",""
"","","","","","","","","","","","","tax","refund","-85T","pcg_4455","","",""
"vat_out_10_86","370","Fishing gear and nets for professional marine fishermen","10%","10% 86","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+86B","","","10% 86","Engins et filets de pêche destinés aux professionnels de la pêche maritime"
"","","","","","","","","","","","","tax","invoice","+86T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-86B","","","",""
"","","","","","","","","","","","","tax","refund","-86T","pcg_4455","","",""
"vat_out_10_89","380","Accommodation and catering operations as well as services provided by cafes","10%","10% 89","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+89B","","","10% 89","Opérations d'hébergement et de restauration ainsi que les prestations fournies par les cafés"
"","","","","","","","","","","","","tax","invoice","+89T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-89B","","","",""
"","","","","","","","","","","","","tax","refund","-89T","pcg_4455","","",""
"vat_out_10_91","390","Services rendered by any soliciting agent or insurance broker in respect of contracts brought by him to an insurance company","10%","10% 91","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+91B","","","10% 91","Prestations de services rendues par tout agent démarcheur ou courtier d'assurances à raison des contrats apportés par lui à une entreprise d'assurances"
"","","","","","","","","","","","","tax","invoice","+91T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-91B","","","",""
"","","","","","","","","","","","","tax","refund","-91T","pcg_4455","","",""
"vat_out_10_92","400","Rental operations of buildings used as hotels","10%","10% 92","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+92B","","","10% 92","Opérations de location d'immeubles à usage d'hôtels"
"","","","","","","","","","","","","tax","invoice","+92T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-92B","","","",""
"","","","","","","","","","","","","tax","refund","-92T","pcg_4455","","",""
"vat_out_10_96","410","Cooking salt (rock or sea salt)","10%","10% 96","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+96B","","","10% 96","Sel de cuisine (gemme ou marin)"
"","","","","","","","","","","","","tax","invoice","+96T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-96B","","","",""
"","","","","","","","","","","","","tax","refund","-96T","pcg_4455","","",""
"vat_out_10_97","420","Milled rice and pasta","10%","10% 97","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+97B","","","10% 97","Riz usiné et les pâtes alimentaires"
"","","","","","","","","","","","","tax","invoice","+97T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-97B","","","",""
"","","","","","","","","","","","","tax","refund","-97T","pcg_4455","","",""
"vat_out_10_98","430","Food fluid oils excluding palm oil","10%","10% 98","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+98B","","","10% 98","Huiles fluides alimentaires à l'exclusion de l'huile de palme"
"","","","","","","","","","","","","tax","invoice","+98T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-98B","","","",""
"","","","","","","","","","","","","tax","refund","-98T","pcg_4455","","",""
"vat_out_10_99","440","Securities transactions","10%","10% 99","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+99B","","","10% 99","Transactions relatives aux valeurs mobilières"
"","","","","","","","","","","","","tax","invoice","+99T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-99B","","","",""
"","","","","","","","","","","","","tax","refund","-99T","pcg_4455","","",""
"vat_out_10_100","450","Banking and credit transactions and exchange commissions","10%","10% 100","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+100B","","","10% 100","Opérations de banque et de crédit et les commissions de change"
"","","","","","","","","","","","","tax","invoice","+100T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-100B","","","",""
"","","","","","","","","","","","","tax","refund","-100T","pcg_4455","","",""
"vat_out_10_101","460","Transactions involving shares and units shares","10%","10% 101","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+101B","","","10% 101","Transactions portant sur les actions et les parts sociales"
"","","","","","","","","","","","","tax","invoice","+101T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-101B","","","",""
"","","","","","","","","","","","","tax","refund","-101T","pcg_4455","","",""
"vat_out_10_103","470","Operations of sale and delivery of works and objects of art","10%","10% 103","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+103B","","","10% 103","Opérations de vente et de livraison des œuvres et objets d'art"
